"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
1060	0,3997566	0,4252177	0,1774070	0,5723553	0,5821025	0,5381422	0,0716249	0,5132708	0,5170027	0,6001583	0,7022327	0,7302329	0,1234195	0,5237070	0,4387642	0,6624680	0,5463752	0,7569931	0,7269982	0,4503605	0,5921783	0,3941273	0,3653714	0,4399051	0,6216927	0,7158846	0,3603108	0,5016120	0,5531128	0,7794643	0,5245879	0,3646057
1080	0,3698203	0,4422050	0,1307372	0,6402927	0,6651277	0,6335108	0,1276377	0,4517270	0,4336411	0,5334156	0,6645933	0,6306843	0,1800049	0,5656666	0,3600384	0,8245487	0,6122633	0,7109755	0,7457620	0,4415081	0,5077597	0,4685357	0,3464742	0,3585076	0,6464658	0,7270358	0,4211702	0,5075667	0,5712413	0,7173298	0,5257991	0,3344125
1100	0,3629017	0,3312343	0,1576554	0,6498961	0,6722674	0,6860870	0,0703964	0,3594006	0,4278349	0,4920759	0,6128451	0,6043625	0,0701542	0,5487093	0,5146019	0,4869103	0,6216286	0,6277231	0,7074053	0,4812106	0,5712337	0,5203390	0,3356169	0,3627505	0,6583519	0,6890368	0,4521202	0,5150029	0,4357946	0,7975239	0,5226995	0,3723820

0	0,4812075	0,4546694	0,1794666	0,6686080	0,7608941	0,6479599	0,0844555	0,4111322	0,5766311	0,5515646	0,7098731	0,5344497	0,1572260	0,6124098	0,4886858	0,7389599	0,5228338	0,5752064	0,6364402	0,3911400	0,4527914	0,4787421	0,2635580	0,4311605	0,7504787	0,5905581	0,4088395	0,5692830	0,4927335	0,6613134	0,5886867	0,3550624
20	0,3139601	0,2971417	0,0881403	0,6388404	0,7212530	0,6569772	0,0512659	0,4275333	0,6134557	0,5101733	0,7340341	0,7168325	0,1463680	0,5673422	0,4248905	0,7555089	0,4899995	0,5513556	0,7099840	0,4981825	0,5473771	0,4412530	0,3145595	0,5016885	0,5947130	0,4457237	0,3413635	0,6006736	0,5422107	0,6824841	0,4674183	0,3863060
40	0,1357749	0,3317415	0,0820482	0,5974911	0,5673917	0,7710526	0,0638876	0,5372023	0,5556873	0,5198428	0,6244987	0,7392208	0,1066113	0,6308287	0,4434301	0,6800158	0,5887338	0,7300043	0,5918611	0,4531979	0,4610066	0,4886259	0,2942728	0,3367747	0,7009956	0,3079762	0,3367630	0,6514672	0,4353419	0,7010104	0,5850643	0,3861953
60	0,1161978	0,2933939	0,0479397	0,5309102	0,6927403	0,6465897	0,0463172	0,4762910	0,5308607	0,5094773	0,6689567	0,7326749	0,0989259	0,5869991	0,4843180	0,7466014	0,6021749	0,5119270	0,5878599	0,3463648	0,5880720	0,5222000	0,2991967	0,3686020	0,6275961	0,2692280	0,4166903	0,6660491	0,4673647	0,6679917	0,4592697	0,4785365
80	0,0864339	0,1957815	0,0723619	0,5968011	0,4899978	0,7323777	0,0427218	0,4866476	0,5051552	0,4481196	0,7287040	0,8994039	0,1123484	0,6073767	0,3536639	0,6374565	0,5456132	0,5894990	0,5351111	0,3566423	0,4167033	0,5367055	0,3317256	0,2804902	0,7313579	0,1961388	0,4723192	0,7351822	0,4950958	0,6930706	0,4424672	0,6220999
100	0,0872519	0,1828463	0,0829571	0,6280400	0,6008918	0,9238429	0,0780691	0,5388143	0,4537139	0,4423952	0,6920722	0,7623424	0,0538181	0,4633718	0,3197639	0,4027923	0,4529034	0,6485801	0,5760326	0,3483943	0,4282118	0,5938749	0,2781985	0,2647631	0,7113512	0,2093871	0,5722356	0,5614491	0,5713416	0,7809468	0,4553014	0,7299137
120	0,0658788	0,1327780	0,0576635	0,7142834	0,5406867	0,7421069	0,0675684	0,5601347	0,4892746	0,5201152	0,6304460	0,7310463	0,0567007	0,5613902	0,3759785	0,3686532	0,4675458	0,7233520	0,5380015	0,3743979	0,3165295	0,6198695	0,2963006	0,1758239	0,7530625	0,1476246	0,4465406	0,6536319	0,4860144	0,6696734	0,4032039	0,8067952
140	0,1060616	0,0880453	0,0859998	0,5491958	0,5625944	0,7215470	0,0902298	0,6412732	0,3395781	0,5067373	0,4234587	0,8090836	0,0393935	0,4279223	0,4102058	0,1589654	0,3536040	0,6586078	0,5199666	0,3372588	0,3047358	0,6050528	0,2572717	0,1732132	0,6302069	0,1474440	0,5664250	0,8196076	0,5597205	0,7277656	0,4285637	0,7833550
160	0,1171172	0,1296443	0,0571994	0,5363517	0,5021124	0,7157380	0,0583037	0,5604307	0,4168420	0,6801863	0,4930082	0,6123459	0,0340654	0,4737325	0,3514864	0,0658437	0,3128876	0,5643333	0,5049564	0,2482742	0,2876461	0,6150247	0,2812147	0,1682751	0,7509399	0,1892244	0,6114222	0,7322794	0,5013526	0,6092511	0,3586231	0,6975520
180	0,0682602	0,0636960	0,0463390	0,6911245	0,5571806	0,7700745	0,0784237	0,6724780	0,3296502	0,5682684	0,4446082	0,6870692	0,0235328	0,3949188	0,2843853	0,0624334	0,3379132	0,5464171	0,5299487	0,2288764	0,3338458	0,7183631	0,3060523	0,0703112	0,7329643	0,1226468	0,5010011	0,7612322	0,4219860	0,7582472	0,3476681	0,6938589
