"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
660	0,4876604	0,1942337	0,4594846	0,6480188	0,7614567	0,9791683	0,8291050	0,7807796	0,5189833	0,7801926	0,9601794	0,8632452	0,7207593	0,9966088	0,7992284	0,5662418	0,3700761	0,2458341	0,7386485	0,2913529	0,4577428	0,4513846	0,0095969	0,1545856	0,6076460	0,3826113	0,7273985	0,3050977	0,1888780	0,9324074	0,8384889	0,8393540
680	0,4876604	0,1942337	0,4594846	0,6480196	0,7730672	0,9872053	0,8291050	0,7951884	0,4976788	0,8074833	0,9619846	0,8693100	0,6893173	0,9966411	0,7929741	0,5679400	0,3700761	0,1929853	0,8189049	0,2913529	0,4447565	0,4513846	0,0095969	0,1550065	0,6000604	0,4154191	0,7310952	0,3313976	0,2078124	0,9297206	0,8172741	0,8995043
700	0,4876604	0,1942337	0,4594846	0,6480203	0,7843271	0,9922739	0,8291050	0,8043216	0,4780162	0,8301647	0,9638915	0,8747898	0,6655476	0,9966828	0,7891145	0,5696376	0,3700761	0,1526261	0,8759545	0,2913529	0,4370422	0,4513846	0,0095969	0,1552482	0,5941018	0,4402558	0,7344688	0,3569268	0,2278209	0,9286805	0,7975498	0,9374921
720	0,4876604	0,1942337	0,4594846	0,6480209	0,7946156	0,9953953	0,8291050	0,8100017	0,4609929	0,8479275	0,9657844	0,8795006	0,6484277	0,9967307	0,7869149	0,5712332	0,3700761	0,1225375	0,9156011	0,2913529	0,4325173	0,4513846	0,0095969	0,1553870	0,5895325	0,4586095	0,7373860	0,3800106	0,2474496	0,9286646	0,7805035	0,9609223
740	0,4876604	0,1942338	0,4594846	0,6480213	0,8036314	0,9972840	0,8291050	0,8134882	0,4469276	0,8612719	0,9675810	0,8834172	0,6367175	0,9967817	0,7857943	0,5726666	0,3700761	0,1005050	0,9427025	0,2913528	0,4298836	0,4513846	0,0095969	0,1554667	0,5860909	0,4719303	0,7398155	0,3997877	0,2656180	0,9292096	0,7665408	0,9751230
760	0,4876604	0,1942338	0,4594846	0,6480218	0,8112963	0,9984115	0,8291050	0,8156086	0,4357123	0,8709986	0,9692295	0,8865985	0,6292008	0,9968326	0,7853342	0,5739112	0,3700761	0,0845940	0,9609988	0,2913528	0,4283578	0,4513846	0,0095969	0,1555125	0,5835346	0,4814642	0,7417850	0,4160328	0,2816713	0,9300041	0,7555590	0,9836155
780	0,4876604	0,1942338	0,4594846	0,6480221	0,8176686	0,9990773	0,8291050	0,8168894	0,4270160	0,8779293	0,9707030	0,8891409	0,6248020	0,9968811	0,7852521	0,5749637	0,3700761	0,0732302	0,9732321	0,2913528	0,4274766	0,4513846	0,0095969	0,1555387	0,5816566	0,4882123	0,7433500	0,4289359	0,2953306	0,9308565	0,7471893	0,9886410
800	0,4876604	0,1942338	0,4594846	0,6480224	0,8228785	0,9994671	0,8291050	0,8176594	0,4204230	0,8827821	0,9719929	0,8911494	0,6226297	0,9969256	0,7853672	0,5758357	0,3700761	0,0651868	0,9813493	0,2913528	0,4269685	0,4513846	0,0095969	0,1555538	0,5802895	0,4929454	0,7445750	0,4389090	0,3065975	0,9316606	0,7409671	0,9915900
820	0,4876604	0,1942338	0,4594845	0,6480226	0,8270845	0,9996938	0,8291050	0,8181206	0,4155163	0,8861334	0,9731031	0,8927235	0,6219799	0,9969653	0,7855700	0,5765466	0,3700761	0,0595360	0,9867026	0,2913528	0,4266760	0,4513846	0,0095969	0,1555625	0,5793016	0,4962402	0,7455229	0,4464465	0,3156539	0,9323656	0,7364329	0,9933086
840	0,4876604	0,1942338	0,4594845	0,6480228	0,8304477	0,9998248	0,8291050	0,8183961	0,4119207	0,8884222	0,9740456	0,8939503	0,6223172	0,9969999	0,7857976	0,5771190	0,3700761	0,0555910	0,9902154	0,2913528	0,4265076	0,4513846	0,0095969	0,1555675	0,5785923	0,4985194	0,7462499	0,4520379	0,3227765	0,9329549	0,7331819	0,9943045
860	0,4876604	0,1942338	0,4594845	0,6480230	0,8331174	0,9999001	0,8291050	0,8185603	0,4093202	0,8899711	0,9748365	0,8949031	0,6232491	0,9970293	0,7860168	0,5775752	0,3700761	0,0528516	0,9925112	0,2913528	0,4264108	0,4513846	0,0095969	0,1555703	0,5780857	0,5000874	0,7468035	0,4561207	0,3282755	0,9334313	0,7308820	0,9948789
880	0,4876604	0,1942338	0,4594845	0,6480232	0,8352248	0,9999432	0,8291050	0,8186581	0,4074606	0,8910114	0,9754937	0,8956413	0,6244971	0,9970540	0,7862120	0,5779361	0,3700761	0,0509582	0,9940065	0,2913528	0,4263551	0,4513846	0,0095969	0,1555720	0,5777256	0,5011611	0,7472229	0,4590621	0,3324539	0,9338068	0,7292729	0,9952088
