Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32
800	0.2778248	0.2656535	0.2179621	0.3707201	0.300142	0.5433714	0.1362251	0.4854859	0.6708569	0.7614488	0.6243626	0.6635201	0.1435445	0.443538	0.440143	0.6134855	0.49982	0.575147	0.4506201	0.2316868	0.3034064	0.109825	0.6345834	0.094036	0.719241	0.5226481	0.5427932	0.5709982	0.0728826	0.0259865	0.2472422	0.3161937
820	0.286349	0.3106851	0.1837341	0.3191089	0.3163943	0.4989228	0.1945323	0.3981184	0.5662411	0.647281	0.3774991	0.7340253	0.1396212	0.5254485	0.5447127	0.6069331	0.688889	0.5529221	0.4874443	0.195881	0.3819392	0.0918695	0.6608275	0.1729417	0.7148135	0.5534692	0.5319421	0.5152934	0.0499916	0.0176691	0.2795441	0.3981299
840	0.3321791	0.2416423	0.1937561	0.305194	0.2496164	0.5711777	0.1549187	0.4869115	0.6707239	0.7089538	0.4870958	0.8215995	0.1281365	0.4007829	0.453642	0.5895331	0.6572599	0.4608016	0.4789582	0.2077167	0.2926587	0.0657704	0.7149194	0.1217798	0.8481516	0.3889395	0.5321804	0.6451503	0.0510172	0.0440998	0.2183067	0.3817468
860	0.2778733	0.2536431	0.1724677	0.3252467	0.3782437	0.5433026	0.1746323	0.3635055	0.6170526	0.6748356	0.4197576	0.7679382	0.1194085	0.4061109	0.4978506	0.5797621	0.6879663	0.4963863	0.3616438	0.1794527	0.3229353	0.0864619	0.6997484	0.1510501	0.7708951	0.5076428	0.5017633	0.571292	0.0836154	0.0505342	0.1658193	0.3252071
880	0.3371617	0.3566101	0.198624	0.3208159	0.2891576	0.5646469	0.1599121	0.4186856	0.6868382	0.6608077	0.3681895	0.7338774	0.0988629	0.4594729	0.4828594	0.5839715	0.6068955	0.6072988	0.4583102	0.1727612	0.351345	0.0806701	0.5919123	0.1068035	0.6107933	0.471225	0.5451845	0.4906638	0.0580635	0.0355207	0.2566706	0.2754775
900	0.3439012	0.3158161	0.1618638	0.2678091	0.2422178	0.6368615	0.1293045	0.3979904	0.6125076	0.5693618	0.504379	0.7577903	0.0978204	0.4731624	0.5123803	0.7222326	0.7070761	0.5328232	0.36334	0.195816	0.2782038	0.0942256	0.7347124	0.0998936	0.7659791	0.5001713	0.5510252	0.5759968	0.0656364	0.0179436	0.170317	0.3305007
920	0.2957165	0.2880752	0.1898055	0.2387627	0.2550989	0.570893	0.1441323	0.3950262	0.7459059	0.7970731	0.5246814	0.7990512	0.1636437	0.411249	0.5273305	0.625525	0.6857679	0.5562556	0.4768084	0.174165	0.2780766	0.1195342	0.5881331	0.0934836	0.7322832	0.5461355	0.6044811	0.6074981	0.0488562	0.0220532	0.2510577	0.4188305
940	0.2976575	0.2533193	0.1781657	0.3232303	0.2625051	0.5205454	0.0936208	0.5059621	0.7248314	0.679349	0.4993032	0.7132747	0.0838833	0.3804981	0.6106521	0.6608288	0.6588647	0.5453608	0.3459317	0.1589361	0.2815455	0.1116361	0.6706656	0.0682966	0.7778929	0.4559833	0.4908824	0.6335192	0.0994789	0.0302374	0.2183769	0.3718843
960	0.2692567	0.2818539	0.2195384	0.3225742	0.2722075	0.5491884	0.0872304	0.4151514	0.7337009	0.645507	0.5001656	0.8834758	0.0963278	0.4253992	0.4897525	0.5965091	0.7592719	0.5104999	0.4113115	0.2183832	0.2176451	0.1248001	0.5939215	0.1181417	0.7071734	0.6967952	0.5720028	0.5380913	0.0764401	0.0199316	0.1457722	0.3473841
980	0.2596829	0.2623107	0.1765161	0.2572699	0.2267834	0.5245899	0.1002059	0.4843412	0.6724037	0.8061679	0.4092644	0.588599	0.1596357	0.5656867	0.5267775	0.6659778	0.5991238	0.4660485	0.4444774	0.1626945	0.2409702	0.087087	0.5113928	0.1229957	0.7132012	0.7184091	0.5227506	0.6573903	0.041198	0.0159685	0.2221301	0.4742578
1000	0.3233812	0.3046185	0.1761304	0.3102796	0.2949814	0.6910653	0.0909064	0.555165	0.7559017	0.7051484	0.4516062	0.7273297	0.211491	0.4431497	0.4789164	0.7138347	0.5143175	0.5995109	0.4375155	0.1554492	0.249278	0.0948955	0.5863578	0.1243784	0.7195689	0.5504473	0.5619752	0.6963174	0.1667972	0.033844	0.2640957	0.4822025
1020	0.3719497	0.2775851	0.2211077	0.2852148	0.2278408	0.5265698	0.1375513	0.4540046	0.6861589	0.6236112	0.3542628	0.6791703	0.1673518	0.4618961	0.4276334	0.541932	0.6609998	0.5042328	0.4264439	0.1682877	0.1955871	0.0553417	0.7497897	0.0710222	0.6011581	0.4374632	0.5104776	0.6478313	0.0608248	0.0282428	0.2291051	0.4282714
1040	0.302359	0.2599405	0.155416	0.3193569	0.2265706	0.5584645	0.0930576	0.4435359	0.7219552	0.7210594	0.2736128	0.7476237	0.1747764	0.5105482	0.4104533	0.5930645	0.6581957	0.3909461	0.4458768	0.1589493	0.208701	0.0631642	0.6906415	0.0740662	0.7345744	0.4927648	0.5935223	0.5950154	0.0487057	0.0225041	0.199167	0.4063306
