"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
820	0,6052116	0,9941021	0,8096434	0,9673999	0,9545106	0,2815510	0,7257466	0,6982800	0,9351674	0,9997091	0,0935867	0,9391158	0,2388242	0,3670929	0,9999999	0,9978306	0,3711273	0,7666421	0,9136299	0,2975150	0,8239892	0,4401772	0,5888320	0,9975538	0,7878765	0,9955902	0,5077841	0,9999661	0,5631953	0,8488814	0,9985659	0,6044508
840	0,6052116	0,9941021	0,8094498	0,9673021	0,9545106	0,2815510	0,7245307	0,6982800	0,9351674	0,9997091	0,0935867	0,9391156	0,2388242	0,3659553	0,9999999	0,9978306	0,3703185	0,7664103	0,9136299	0,2975150	0,8269852	0,4401772	0,5889820	0,9974290	0,7876904	0,9955902	0,5077841	0,9999660	0,5624192	0,8488814	0,9985648	0,6044508
860	0,6052116	0,9941021	0,8092992	0,9672370	0,9545106	0,2815510	0,7236644	0,6982800	0,9351674	0,9997091	0,0935867	0,9391155	0,2388242	0,3652008	0,9999999	0,9978306	0,3697062	0,7662693	0,9136299	0,2975150	0,8290335	0,4401772	0,5890812	0,9973252	0,7875493	0,9955902	0,5077841	0,9999659	0,5619284	0,8488814	0,9985641	0,6044508
880	0,6052116	0,9941021	0,8091833	0,9671938	0,9545106	0,2815510	0,7230469	0,6982800	0,9351674	0,9997091	0,0935867	0,9391154	0,2388242	0,3647007	0,9999999	0,9978306	0,3692464	0,7661838	0,9136299	0,2975150	0,8304276	0,4401772	0,5891469	0,9972402	0,7874437	0,9955902	0,5077841	0,9999659	0,5616184	0,8488814	0,9985636	0,6044508
900	0,6052116	0,9941021	0,8090948	0,9671651	0,9545106	0,2815510	0,7226068	0,6982800	0,9351674	0,9997091	0,0935867	0,9391153	0,2388242	0,3643695	0,9999999	0,9978306	0,3689034	0,7661322	0,9136299	0,2975150	0,8313728	0,4401772	0,5891903	0,9971714	0,7873655	0,9955902	0,5077841	0,9999658	0,5614227	0,8488814	0,9985632	0,6044508
920	0,6052116	0,9941021	0,8090278	0,9671461	0,9545106	0,2815510	0,7222929	0,6982800	0,9351674	0,9997091	0,0935867	0,9391153	0,2388242	0,3641500	0,9999999	0,9978306	0,3686493	0,7661010	0,9136299	0,2975150	0,8320114	0,4401772	0,5892190	0,9971163	0,7873083	0,9955902	0,5077841	0,9999658	0,5612992	0,8488814	0,9985630	0,6044508
940	0,6052116	0,9941021	0,8089773	0,9671334	0,9545106	0,2815510	0,7220691	0,6982800	0,9351674	0,9997091	0,0935867	0,9391152	0,2388242	0,3640048	0,9999999	0,9978306	0,3684620	0,7660822	0,9136299	0,2975150	0,8324416	0,4401772	0,5892380	0,9970725	0,7872667	0,9955902	0,5077841	0,9999658	0,5612214	0,8488814	0,9985629	0,6044508
960	0,6052116	0,9941021	0,8089396	0,9671251	0,9545106	0,2815510	0,7219095	0,6982800	0,9351674	0,9997091	0,0935867	0,9391152	0,2388242	0,3639086	0,9999999	0,9978306	0,3683247	0,7660710	0,9136299	0,2975150	0,8327306	0,4401772	0,5892506	0,9970380	0,7872367	0,9955902	0,5077841	0,9999658	0,5611723	0,8488814	0,9985628	0,6044508
980	0,6052116	0,9941021	0,8089114	0,9671195	0,9545106	0,2815510	0,7217957	0,6982800	0,9351674	0,9997091	0,0935867	0,9391152	0,2388242	0,3638449	0,9999999	0,9978306	0,3682245	0,7660642	0,9136299	0,2975150	0,8329244	0,4401772	0,5892589	0,9970110	0,7872152	0,9955902	0,5077841	0,9999658	0,5611413	0,8488814	0,9985627	0,6044508
1000	0,6052116	0,9941021	0,8088904	0,9671158	0,9545106	0,2815510	0,7217145	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3638027	0,9999999	0,9978306	0,3681518	0,7660601	0,9136299	0,2975150	0,8330539	0,4401772	0,5892644	0,9969900	0,7871999	0,9955902	0,5077841	0,9999657	0,5611218	0,8488814	0,9985627	0,6044508
