"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
840	0,5876572	0,9795178	0,7924532	0,8980036	1,0597843	0,2503255	0,6644401	0,7089896	0,9207077	0,9462910	0,0927061	0,8668761	0,3321020	0,3620200	0,9980118	0,9151697	0,3578618	0,8365856	0,9533211	0,3143352	0,8090479	0,4186297	0,5962460	0,9721949	0,7715134	1,0175408	0,4491169	1,0042667	0,5667044	0,8231921	1,0038112	0,5503011
860	0,5644817	1,0396920	0,9135550	0,9148630	1,0117585	0,2814721	0,6496755	0,7537193	0,8773589	0,8933250	0,0933367	0,8560674	0,3069904	0,3738814	0,9591513	0,8964730	0,3758626	0,8904123	0,9711413	0,3426361	0,8113303	0,4357373	0,5972808	1,0583775	0,7417220	1,0003753	0,4699933	0,9408757	0,5317420	0,8040852	0,9943844	0,5669115
880	0,6257054	0,9863211	0,7731955	0,9321706	1,0648930	0,2652631	0,7012746	0,7059320	0,9424524	0,8775950	0,0728200	0,8380859	0,3119240	0,3473569	1,0070052	0,9070058	0,3775645	0,8410543	0,9213630	0,3479320	0,8043424	0,4048017	0,6112017	1,0246538	0,7981250	0,9792421	0,4994126	0,9819842	0,5542944	0,7163141	0,9293120	0,5316244
900	0,6069633	1,0342286	0,7669738	0,9373213	0,9979835	0,2624481	0,7177236	0,6579016	0,8616166	0,9747894	0,0755313	0,9060259	0,3071472	0,3639228	0,9250983	0,9792592	0,3984542	0,7877968	0,8636938	0,3084475	0,7540395	0,4215138	0,5817613	1,0022945	0,7867873	0,9825224	0,5337386	0,9592937	0,5320945	0,7977134	0,9870778	0,5575302
920	0,5697939	1,0944185	0,6743797	0,9975807	1,0100004	0,2725370	0,7523745	0,6655092	0,8729035	0,9191443	0,0942991	0,9271388	0,2328208	0,4054844	0,8939897	0,9856958	0,4069849	0,7772071	0,8413976	0,3411085	0,8079458	0,4568669	0,5792485	0,9895834	0,7687261	1,0254286	0,5286528	0,9058070	0,5550102	0,8203788	0,9988332	0,6052871
940	0,6255273	1,0557798	0,7441749	0,9344922	0,9208119	0,2814140	0,7476496	0,7143503	0,8984405	0,9990408	0,0828517	0,8994461	0,2170271	0,4321252	0,8952970	1,0612072	0,4236467	0,8160628	0,9011596	0,3061122	0,8650823	0,4481900	0,5459361	0,9477346	0,7529050	1,0197337	0,5001016	0,9304485	0,5919465	0,8256911	1,0062314	0,5598821
960	0,5750682	1,0330847	0,7751753	0,9205823	0,9154104	0,3009914	0,6840761	0,6975354	0,9416792	1,0135121	0,0700019	0,9371805	0,1951017	0,4044423	0,9440785	0,9781359	0,4069573	0,8443592	0,9445682	0,3078705	0,8102065	0,3784720	0,6210945	0,9227676	0,7395441	0,9831693	0,4714938	0,9531258	0,5946162	0,9515888	0,9856836	0,5782105
980	0,5857407	1,0109533	0,8054054	0,9113775	1,0500197	0,3012629	0,6816957	0,7713804	0,8968086	1,0665192	0,0773452	0,9692227	0,1782980	0,3532481	1,0415548	0,9331125	0,4059764	0,8071691	0,9635774	0,2879806	0,8172949	0,3996143	0,6308590	0,9603874	0,7880208	0,9968430	0,4842032	0,9971150	0,6139415	0,9879117	1,0248515	0,6152283
1000	0,5359988	1,0125273	0,8311123	0,9735373	1,0431298	0,3014038	0,7048063	0,7403578	0,9427891	1,0370938	0,0929337	0,9872596	0,1730296	0,4012642	1,0827511	1,0188016	0,3726717	0,7760185	0,9704596	0,2748860	0,8524128	0,4587598	0,5985832	1,0721341	0,7362236	1,0298467	0,5307956	1,0458215	0,5872667	0,9125086	1,0527670	0,6750221
1020	0,5930429	1,0143505	0,8337724	0,9672026	1,0356844	0,3112715	0,7192151	0,7481464	0,9305788	1,0596521	0,0675846	0,9745527	0,1679802	0,3221294	0,9720489	1,0351214	0,4068715	0,6750294	0,9183301	0,3258802	0,8571646	0,4014737	0,6321187	1,0457635	0,7678726	1,0212631	0,6018524	1,0811452	0,5911052	0,7878719	1,0393299	0,7120824
