"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
780	0,1152792	0,0507687	0,6817458	1,0492808	1,0158622	0,1470799	1,1297219	0,0492329	0,3149385	0,9299826	0,5397920	1,0214238	0,8627007	0,6382391	0,8387942	0,0139791	0,1014613	0,4040719	0,0830822	0,0202531	0,8897239	0,5196872	0,5103435	0,0151467	0,1241265	1,0002008	0,3420735	0,9513866	0,0232056	0,5117075	0,1284107	0,0110429
800	0,1113624	0,0393783	0,6666018	1,0372033	1,0582591	0,1240811	1,0451905	0,0378197	0,3114272	0,8466391	0,5434239	0,9352798	0,8353375	0,6145228	0,8271472	0,0268205	0,1197530	0,4216166	0,0831458	0,0207721	0,8556050	0,4975727	0,5246843	0,0140326	0,1439602	0,9501392	0,3442500	0,9969828	0,0349563	0,5114807	0,1534051	0,0057481
820	0,1194678	0,0347026	0,7221032	0,9893625	1,0099751	0,1188394	0,9940388	0,0365669	0,3224208	0,9283527	0,5619348	0,9128724	0,7915485	0,6275141	0,8953113	0,0362368	0,1028969	0,4387173	0,0953537	0,0223948	0,8836547	0,4892118	0,5449331	0,0141653	0,1272308	0,9545202	0,3787581	1,0864121	0,0180788	0,4616887	0,1313449	0,0021641
840	0,1049744	0,0448016	0,7790309	0,9703173	1,0294324	0,1105155	1,0240318	0,0373909	0,3577308	0,9976708	0,6576445	0,9102771	0,8615847	0,5954260	0,8627781	0,0295810	0,0613481	0,4355982	0,0731692	0,0196208	0,8571323	0,4930767	0,5112611	0,0161505	0,1396968	0,8676999	0,3901666	1,0685046	0,0211811	0,4863020	0,1134679	0,0073551
860	0,1031636	0,0403937	0,7968969	0,9953291	1,0262315	0,1444028	0,9967890	0,0399151	0,3535135	1,0023923	0,6764933	0,9245466	0,8525482	0,5805398	0,8178644	0,0207680	0,0645827	0,4357366	0,0840109	0,0185800	0,9029566	0,5527450	0,5297157	0,0084684	0,1473844	0,9155402	0,3518531	1,0034387	0,0330040	0,5144814	0,1245259	0,0068057
880	0,0905989	0,0491044	0,7808873	1,0822456	1,0616248	0,1262772	1,0455837	0,0556575	0,3347971	1,0752881	0,6216310	0,9125500	0,8180533	0,5865095	0,7675150	0,0242215	0,0835997	0,4228146	0,0898025	0,0123510	0,9146557	0,5239085	0,5070034	0,0125219	0,1312291	0,8923549	0,3411796	1,0188982	0,0463400	0,5409958	0,0965264	0,0065930
900	0,0997979	0,0451294	0,7364172	1,0036113	1,0158721	0,1236078	1,0317527	0,0545072	0,3360580	1,0366848	0,6917103	0,9497848	0,8427258	0,6126132	0,7874613	0,0328115	0,1220945	0,4346727	0,0845609	0,0070343	0,9016078	0,5121370	0,5059671	0,0082333	0,1281394	0,9101423	0,3855940	1,0616983	0,0369003	0,5779803	0,1136789	0,0031621
920	0,1000833	0,0545052	0,6628532	0,9649225	0,9646127	0,1025310	1,0154422	0,0579068	0,2768868	1,0329788	0,7048867	0,9835177	0,8175974	0,6243503	0,7999573	0,0375284	0,1745359	0,4242519	0,0968968	0,0054446	0,8655649	0,5290003	0,5019397	0,0051553	0,1197134	0,9015155	0,3437032	1,0046506	0,0271694	0,5547074	0,0951818	0,0014421
940	0,0978476	0,0553167	0,6483641	0,9559378	0,9834979	0,1077218	1,0525230	0,0514271	0,3211340	0,9888906	0,7198015	1,0153002	0,8705248	0,5730382	0,7730624	0,0393758	0,1813117	0,4296729	0,0829410	0,0117492	0,8422043	0,5326843	0,5070606	0,0066818	0,1292972	0,9165201	0,3603712	0,9698850	0,0216749	0,5800503	0,1198626	0,0006310
960	0,1151092	0,0407092	0,6959997	1,0523617	0,9773192	0,1034276	1,0528714	0,0423108	0,3116873	0,9887289	0,7046671	0,9533850	0,8912068	0,5414202	0,7195695	0,0310586	0,1463865	0,4143712	0,0902547	0,0097610	0,8277593	0,5112981	0,5607071	0,0033476	0,1339112	1,0125523	0,3683266	0,9667434	0,0239482	0,5116158	0,1351975	0,0022001
