"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
60	0,2778313	1,0000000	0,5002163	0,1551521	0,9081050	0,6210314	0,6400573	0,3790419	0,3955130	0,7000610	0,9842364	0,6401208	0,9260180	0,7958428	0,7674740	0,6772072	0,0587442	0,9197970	0,8124133	0,8288456	0,1108108	0,1435282	0,0586111	0,8312614	0,6218137	0,2045565	0,8096677	0,7471127	0,9819880	0,6431338	0,6824293	0,6113308
80	0,2710610	1,0000000	0,5002163	0,1551595	0,8883112	0,6210314	0,6400573	0,3821446	0,3955130	0,6979042	0,9841109	0,6369355	0,9240841	0,7947590	0,7603118	0,6767561	0,0587434	0,9172470	0,8106439	0,8336882	0,1108108	0,1350416	0,0441797	0,8294148	0,6038823	0,2037098	0,8096677	0,7451817	0,9894034	0,7165185	0,7428914	0,6113308
100	0,2646673	1,0000000	0,5002163	0,1551660	0,8744907	0,6210314	0,6400573	0,3853627	0,3955130	0,6953471	0,9839040	0,6326482	0,9215204	0,7932936	0,7522942	0,6760158	0,0587423	0,9139990	0,8082775	0,8364709	0,1108108	0,1273876	0,0325902	0,8272255	0,5887892	0,2025156	0,8096677	0,7431452	0,9939187	0,7760698	0,7929913	0,6113308
120	0,2587700	1,0000000	0,5002163	0,1551716	0,8651631	0,6210314	0,6400573	0,3882412	0,3955130	0,6927199	0,9836263	0,6276820	0,9185891	0,7915793	0,7444950	0,6749994	0,0587412	0,9104323	0,8055508	0,8376474	0,1108108	0,1208275	0,0237577	0,8249992	0,5767222	0,2010120	0,8096677	0,7413119	0,9965320	0,8220857	0,8324427	0,6113308
140	0,2533881	1,0000000	0,5002163	0,1551766	0,8589615	0,6210314	0,6400573	0,3905794	0,3955130	0,6902468	0,9833038	0,6225045	0,9155595	0,7897554	0,7375612	0,6737635	0,0587401	0,9068846	0,8027037	0,8377324	0,1108108	0,1153905	0,0172588	0,8229541	0,5673973	0,1992619	0,8096677	0,7398276	0,9979955	0,8565358	0,8624846	0,6113308
160	0,2485000	1,0000000	0,5002163	0,1551809	0,8548573	0,6210314	0,6400573	0,3923575	0,3955130	0,6880406	0,9829667	0,6175153	0,9126512	0,7879400	0,7317613	0,6723882	0,0587391	0,9035937	0,7999291	0,8371541	0,1108108	0,1109904	0,0125983	0,8212051	0,5603636	0,1973360	0,8096677	0,7387119	0,9987968	0,8817690	0,8848259	0,6113308
180	0,2440690	1,0000000	0,5002163	0,1551847	0,8521392	0,6210314	0,6400573	0,3936480	0,3955130	0,6861344	0,9826417	0,6129932	0,9100119	0,7862190	0,7271121	0,6709557	0,0587381	0,9006927	0,7973576	0,8362222	0,1108108	0,1074917	0,0093228	0,8197848	0,5551533	0,1953012	0,8096677	0,7379165	0,9992284	0,8999596	0,9011512	0,6113308
200	0,2400548	1,0000000	0,5002163	0,1551880	0,8503333	0,6210314	0,6400573	0,3945538	0,3955130	0,6845156	0,9823473	0,6090899	0,9077199	0,7846464	0,7234953	0,6695373	0,0587373	0,8982315	0,7950617	0,8351417	0,1108108	0,1047475	0,0070593	0,8186750	0,5513474	0,1932161	0,8096677	0,7373702	0,9994583	0,9129166	0,9129203	0,6113308
220	0,2364183	1,0000000	0,5002163	0,1551909	0,8491292	0,6210314	0,6400573	0,3951743	0,3955130	0,6831520	0,9820934	0,6058513	0,9057986	0,7832497	0,7207396	0,6681865	0,0587366	0,8962031	0,7930690	0,8340393	0,1108108	0,1026182	0,0055190	0,8178327	0,5485983	0,1911283	0,8096677	0,7370040	0,9995797	0,9220596	0,9213145	0,6113308
240	0,2331232	1,0000000	0,5002163	0,1551934	0,8483238	0,6210314	0,6400573	0,3955915	0,3955130	0,6820059	0,9818832	0,6032502	0,9042335	0,7820362	0,7186682	0,6669382	0,0587361	0,8945684	0,7913758	0,8329868	0,1108108	0,1009805	0,0044868	0,8172073	0,5466306	0,1890747	0,8096677	0,7367621	0,9996434	0,9284624	0,9272502	0,6113308
