"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
740	0,5864662	0,5843858	0,1874262	0,8904082	0,8620020	0,9829379	0,1256886	0,4985460	0,9252502	0,6266934	1,1386837	0,9649450	0,1669174	0,7852640	0,5555222	0,9951314	0,7547942	0,8430612	0,9162180	0,6189489	0,7681877	0,6915215	0,4191076	0,5876703	0,9909371	0,8479886	0,5065376	0,4573286	0,6278182	0,8069238	0,6768533	0,4349460
760	0,5804319	0,5572557	0,2223720	0,8918663	0,9327920	0,9980944	0,1232827	0,6090354	0,7892837	0,6796199	1,0598076	0,9267141	0,1776352	0,7668515	0,6078444	1,0603242	0,7208248	0,7560788	0,9311826	0,6705565	0,7729880	0,7066421	0,4303077	0,6080765	0,9858230	0,8902740	0,5861745	0,5208951	0,6454351	0,8256506	0,6146366	0,5019702
780	0,6192387	0,5856872	0,2195460	0,8787703	0,9400990	1,0533611	0,1155620	0,6597065	0,7919860	0,6537672	0,9928787	1,0024735	0,1998356	0,7636845	0,6382547	1,0300754	0,7397868	0,8321615	0,9468319	0,6805058	0,7577826	0,6313524	0,3761824	0,4746533	0,9717204	0,9246049	0,5963741	0,5465449	0,6451468	0,8590292	0,6598961	0,4721199
800	0,6296789	0,5558076	0,2305055	0,8923815	0,9454266	1,0168003	0,1034050	0,7021753	0,8089614	0,7124682	1,0779405	0,9731361	0,1883306	0,7563793	0,6128899	0,9984128	0,7713478	0,8812223	0,9193176	0,7012369	0,7552967	0,6366692	0,4217163	0,4667839	0,9585496	0,9835662	0,5823058	0,6504133	0,6315010	0,8720597	0,6758238	0,4890723
820	0,6087251	0,5859548	0,2105459	0,8906602	0,8946546	0,9133471	0,0852202	0,6234958	0,7892023	0,7230068	1,0265703	1,0540544	0,2142020	0,7766114	0,6286101	1,0228595	0,9083909	0,8447311	0,8502850	0,7266276	0,7935722	0,6514634	0,4178606	0,4494552	0,9031997	0,9693141	0,5325045	0,7298512	0,7107561	0,8344855	0,7129270	0,4894914
840	0,5637492	0,6347753	0,2130151	0,8877941	0,9110558	0,9225210	0,1075427	0,6221300	0,7924630	0,7629155	1,1046687	1,1051876	0,2094165	0,7285316	0,5752610	1,0836881	0,8761617	0,8403729	0,9476228	0,7573713	0,7780453	0,6714139	0,3996084	0,4759122	0,9910341	0,8643660	0,5534009	0,7471332	0,7779475	0,8044533	0,6990635	0,5052878
860	0,5879210	0,5809969	0,2308228	0,9009686	0,9050815	0,9466517	0,1234865	0,6562342	0,7254645	0,7924465	0,9866134	1,1102993	0,2002752	0,7915889	0,5452790	1,0352206	0,7874535	0,9393880	0,9634694	0,7270597	0,7548521	0,6752003	0,3858198	0,5551972	0,9998557	0,8288638	0,5536583	0,8249439	0,8170829	0,9011879	0,6710057	0,5214033
880	0,5960636	0,5765181	0,2130253	0,9449468	0,8769831	0,9843424	0,0943992	0,5963000	0,7911120	0,7870128	0,9587846	1,1171496	0,1752063	0,8627487	0,5861884	1,0165783	0,7526960	0,8959070	0,9500847	0,7267066	0,7897759	0,6691905	0,3723960	0,5867528	1,0769191	0,8760699	0,5614083	0,8393624	0,7370923	0,8958894	0,6826763	0,5521016
900	0,5143885	0,6011040	0,2417367	0,8711744	0,9222964	0,9614589	0,1066960	0,6562175	0,7714494	0,7725651	1,0281320	1,1400355	0,1467066	0,8501820	0,6288800	1,0183150	0,7349989	0,9179458	0,8624293	0,7835758	0,7849822	0,6785338	0,3808951	0,6023114	1,1315920	0,8923796	0,5735031	0,8628978	0,7673018	0,9268477	0,6660429	0,5157152
920	0,5209572	0,5813581	0,2279167	0,8934768	0,9796742	0,9019562	0,1034801	0,6299720	0,7509033	0,7518077	1,0003813	1,1075563	0,1718548	0,8316378	0,6301619	0,9971321	0,7479363	0,8117243	0,9948803	0,7472331	0,7720641	0,6614887	0,3980607	0,5453023	1,0774759	0,9412659	0,5784396	0,8897083	0,7945292	0,9912766	0,6497381	0,5571365
