"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
920	0,6457319	0,4010351	0,2250068	0,4173563	0,2653718	0,2285830	0,1522652	0,5746382	0,6320971	0,6842417	0,8812764	0,1671666	0,7519520	0,1542894	0,0767598	0,2235883	0,5327305	0,4234240	0,9264090	0,1308703	0,8562948	0,2074369	0,4461784	0,7324626	0,2001981	0,6390429	0,9550490	0,8356886	0,3961224	0,7087485	0,3392703	0,6802469
940	0,6925162	0,3841338	0,2967847	0,4224600	0,2557953	0,2146075	0,1846491	0,5681406	0,6492535	0,6504043	0,8845727	0,1387558	0,8428136	0,1885899	0,0792418	0,2070884	0,4609958	0,5260903	0,9037449	0,1157168	0,7916834	0,1958158	0,4748870	0,7044369	0,1678778	0,6377743	0,9073772	0,8417507	0,3880844	0,7204615	0,3241783	0,6187352
960	0,6984181	0,3738850	0,2785301	0,4466239	0,2129190	0,1854843	0,1778576	0,5499406	0,5637981	0,6852430	0,8428685	0,1555538	0,7951696	0,1767725	0,0714618	0,1608521	0,4079612	0,5064211	0,9341155	0,1150750	0,8238130	0,1829417	0,4542020	0,6942769	0,1814902	0,6572754	0,9110354	0,8493085	0,4252347	0,7293139	0,2788598	0,6063001
980	0,6941314	0,3593686	0,2855927	0,4648799	0,2191574	0,1750277	0,1598217	0,5500477	0,5768757	0,7095081	0,8625475	0,1313593	0,7944814	0,1905739	0,0760760	0,1706020	0,4327782	0,5018727	0,9327096	0,1162345	0,8200901	0,1679578	0,5446430	0,6632778	0,1530959	0,6846592	0,9719166	0,8581382	0,4053075	0,7655966	0,2182042	0,5940447
1000	0,7197260	0,3681024	0,2817716	0,4151245	0,2672368	0,1748934	0,1762454	0,5661827	0,6860238	0,7284038	0,8411339	0,1618901	0,7584246	0,1520196	0,0625819	0,1627839	0,4247260	0,4834287	0,8813949	0,1105340	0,8281142	0,1522341	0,5130428	0,5940892	0,1473405	0,6729022	0,9311365	0,8832557	0,4285013	0,7297129	0,2383052	0,5351497
1020	0,6998227	0,3471298	0,2975131	0,4122670	0,3003449	0,1575706	0,1463515	0,5129498	0,7187361	0,7183717	0,8641138	0,1906437	0,7688614	0,1555770	0,0583426	0,1481154	0,4570933	0,4393961	0,9129061	0,1040541	0,8625316	0,1542927	0,5095206	0,6455119	0,1473217	0,6137142	0,8764203	0,8424539	0,4030955	0,7266787	0,2730943	0,6233915
1040	0,7161233	0,3674702	0,2846461	0,4046147	0,2450135	0,1682563	0,1640644	0,4874297	0,6665760	0,7779871	0,8796927	0,1921493	0,6943102	0,1439549	0,0780813	0,1669486	0,4279160	0,5268446	0,9044791	0,1090164	0,8269429	0,1257507	0,5124854	0,6153202	0,1391291	0,6211169	0,9459835	0,9034962	0,4113700	0,7498890	0,2883177	0,6163327
1060	0,7009454	0,3778661	0,2849900	0,4567186	0,2291013	0,1986002	0,1923455	0,4689293	0,6440218	0,7792744	0,8141797	0,1416113	0,7036348	0,1505434	0,0962254	0,2132868	0,3949450	0,5655297	0,8412518	0,1067072	0,8052725	0,1362930	0,5185621	0,6169071	0,1268136	0,6945389	0,9854632	0,8861946	0,3934739	0,8129296	0,2801577	0,5652393
1080	0,7070202	0,3714343	0,2789517	0,4202225	0,1872303	0,1925213	0,1716319	0,5110032	0,6608375	0,7575558	0,7514269	0,1962949	0,7518076	0,1100468	0,1059572	0,1741756	0,3484894	0,5147645	0,8663576	0,1037946	0,8021164	0,1295275	0,5506934	0,5787076	0,1287119	0,7154174	0,9988937	0,8052870	0,4036426	0,9119115	0,3120901	0,5946441
1100	0,7147442	0,3855970	0,2658589	0,4487283	0,1638138	0,1993892	0,1571570	0,5074367	0,6382416	0,6947956	0,7785483	0,1703549	0,7454015	0,1200052	0,0783312	0,1660154	0,3570580	0,5574771	0,9082462	0,1269725	0,7601571	0,1660721	0,5595875	0,5707051	0,1360717	0,6863564	1,0531687	0,8184294	0,4082649	0,9168987	0,3214114	0,5337072
