"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
1040	0,0150223	0,6324820	0,0385160	0,0265700	0,2691932	0,6141769	1,0135729	0,5409556	0,4560682	0,5091453	0,3795899	0,7513077	0,1225204	0,6185899	0,5043449	0,5010588	0,3181098	0,3217101	0,9299306	0,0431434	0,9700744	0,0265016	0,0592273	0,3373184	0,8091894	0,0399742	0,7897528	0,6987459	0,9323114	0,0029621	1,0513282	0,3467759
1060	0,0102184	0,6233036	0,0520860	0,0164728	0,2809964	0,6147830	1,0636488	0,5530872	0,4917252	0,4958267	0,3515123	0,7559695	0,1117327	0,5809124	0,4937570	0,5195723	0,3120213	0,2959237	0,9221158	0,0282003	0,9527360	0,0338117	0,0493014	0,3521779	0,7728822	0,0366988	0,9375145	0,7601934	0,9697568	0,0000000	1,0014261	0,3840117
1080	0,0133111	0,6129302	0,0500709	0,0200067	0,2999589	0,5973856	1,0481715	0,5604195	0,4555215	0,5140314	0,3818656	0,8093924	0,0921577	0,6241621	0,4705038	0,5447622	0,2874326	0,3074271	0,9919784	0,0419234	0,9720387	0,0294062	0,0427226	0,3781094	0,8135143	0,0492975	0,9256500	0,8050732	0,9562184	0,0022896	1,0014038	0,4066239
1100	0,0093089	0,6289118	0,0371005	0,0218472	0,3065757	0,6426112	0,9823334	0,6434801	0,4831814	0,5235342	0,3154851	0,8168849	0,0924423	0,5513219	0,5701726	0,5443038	0,3116178	0,2976590	0,9849976	0,0330192	0,9564552	0,0348122	0,0590473	0,3423976	0,8208018	0,0516540	0,9266079	0,8141983	0,9653001	0,0014377	0,9693349	0,3978413

0	0,0165560	0,5628153	0,0424296	0,0423128	0,2418162	0,6149208	1,0392047	0,6020201	0,4073352	0,5551740	0,3328529	0,6381809	0,1367937	0,5341895	0,5713432	0,5225727	0,3261282	0,2603819	0,9859102	0,0466636	1,0309538	0,0303956	0,0618098	0,3599461	0,8942311	0,0596532	1,0218946	0,8213454	1,0174443	0,0037278	1,0001837	0,4305779
20	0,3703416	0,5589228	0,0392805	0,4187676	0,2342494	0,6366897	0,7849806	0,5302657	0,3853326	0,5155128	0,2115997	0,6260932	0,1159832	0,5558835	0,4509010	0,4064882	0,4716766	0,2936636	1,0142389	0,0621889	0,9623320	0,0190975	0,3637180	0,3417769	0,8752377	0,0740220	1,0171881	0,8267727	1,0150943	0,4284206	1,0013979	0,4161487
40	0,5390909	0,6205372	0,0479670	0,6240285	0,2626080	0,7090427	0,6670189	0,5533934	0,3434389	0,5144553	0,1639501	0,6772344	0,1171642	0,5665568	0,3777322	0,3189495	0,5244080	0,2831816	0,9874721	0,0767607	0,9907413	0,0284574	0,4822217	0,3496188	0,8472288	0,0603811	1,0343931	0,7932223	1,0081761	0,6298306	1,0672080	0,4171215
60	0,5763982	0,5914323	0,0468473	0,7319305	0,2790424	0,6764087	0,6651778	0,5432826	0,3253718	0,5559762	0,1372395	0,6782769	0,1222610	0,5613872	0,4388975	0,2687466	0,5966449	0,3210209	1,0314137	0,0584255	0,9918095	0,0433210	0,6288262	0,3322371	0,8229159	0,0727043	1,0045492	0,8434161	0,9765523	0,7308729	1,0223660	0,4543112
80	0,5709875	0,5913600	0,0551923	0,8290236	0,3325691	0,7991222	0,6374103	0,5273715	0,3274654	0,4645690	0,1488471	0,6950262	0,1216005	0,5432147	0,3750808	0,2297343	0,6230744	0,3060024	0,9759698	0,0444891	1,0263130	0,0489659	0,6342255	0,2961803	0,7781665	0,0691075	1,0275687	0,8168622	0,9441286	0,7954228	0,9743606	0,3645425
