"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
700	0,0920401	0,0436353	0,6465058	1,0000000	1,0000000	0,1375817	0,9937277	0,0471991	0,3429190	1,0000000	0,6735594	0,9765351	0,8731051	0,5990065	0,7717078	0,0293284	0,0899082	0,5103019	0,0781027	0,0158817	0,8271934	0,6012069	0,5096916	0,1496766	0,1419158	0,9677475	0,3564943	0,9977553	0,0321621	0,5429194	0,1145768	0,0041872
720	0,0920402	0,0436353	0,6454495	1,0000000	1,0000000	0,1414809	0,9955479	0,0471991	0,3429089	1,0000000	0,6625908	0,9764048	0,8729364	0,5907675	0,7717078	0,0293284	0,0902474	0,4832598	0,0781027	0,0158817	0,8267306	0,5751285	0,5098432	0,1096406	0,1419158	0,9677135	0,3491672	0,9977545	0,0321622	0,5437313	0,1145769	0,0041872
740	0,0920403	0,0436353	0,6445668	1,0000000	1,0000000	0,1438707	0,9968654	0,0471991	0,3428996	1,0000000	0,6544232	0,9762836	0,8727793	0,5853970	0,7717078	0,0293284	0,0905103	0,4640276	0,0781027	0,0158817	0,8262359	0,5554659	0,5099783	0,0809973	0,1419158	0,9676771	0,3450201	0,9977536	0,0321623	0,5444503	0,1145770	0,0041872
760	0,0920404	0,0436353	0,6438556	1,0000000	1,0000000	0,1453169	0,9978072	0,0471991	0,3428914	1,0000000	0,6483873	0,9761754	0,8726390	0,5819296	0,7717078	0,0293284	0,0907084	0,4505396	0,0781027	0,0158817	0,8257410	0,5408540	0,5100940	0,0607902	0,1419158	0,9676407	0,3428286	0,9977526	0,0321624	0,5450618	0,1145771	0,0041872
780	0,0920405	0,0436353	0,6432985	1,0000000	1,0000000	0,1461835	0,9984740	0,0471991	0,3428844	1,0000000	0,6439476	0,9760820	0,8725175	0,5797067	0,7717078	0,0293284	0,0908544	0,4411852	0,0781027	0,0158817	0,8252713	0,5301211	0,5101901	0,0466932	0,1419158	0,9676062	0,3417874	0,9977516	0,0321625	0,5455657	0,1145772	0,0041872
800	0,0920405	0,0436353	0,6428718	1,0000000	1,0000000	0,1466987	0,9989426	0,0471991	0,3428786	1,0000000	0,6406912	0,9760034	0,8724152	0,5782892	0,7717078	0,0293284	0,0909603	0,4347563	0,0781027	0,0158817	0,8248442	0,5223125	0,5102679	0,0369481	0,1419158	0,9675749	0,3413897	0,9977507	0,0321625	0,5459701	0,1145773	0,0041872
820	0,0920406	0,0436353	0,6425508	1,0000000	1,0000000	0,1470031	0,9992699	0,0471991	0,3428738	1,0000000	0,6383065	0,9759388	0,8723308	0,5773890	0,7717078	0,0293285	0,0910361	0,4303713	0,0781027	0,0158817	0,8244691	0,5166768	0,5103296	0,0302625	0,1419158	0,9675474	0,3413282	0,9977498	0,0321626	0,5462880	0,1145773	0,0041872
840	0,0920406	0,0436353	0,6423128	1,0000000	1,0000000	0,1471820	0,9994973	0,0471991	0,3428700	1,0000000	0,6365617	0,9758867	0,8722625	0,5768191	0,7717078	0,0293285	0,0910899	0,4273995	0,0781027	0,0158817	0,8241492	0,5126371	0,5103776	0,0257051	0,1419158	0,9675241	0,3414248	0,9977489	0,0321626	0,5465334	0,1145773	0,0041873
860	0,0920407	0,0436353	0,6421385	1,0000000	1,0000000	0,1472867	0,9996548	0,0471991	0,3428670	1,0000000	0,6352856	0,9758453	0,8722081	0,5764594	0,7717078	0,0293285	0,0911277	0,4253963	0,0781027	0,0158817	0,8238831	0,5097584	0,5104145	0,0226156	0,1419158	0,9675047	0,3415806	0,9977482	0,0321627	0,5467200	0,1145773	0,0041873
880	0,0920407	0,0436353	0,6420122	1,0000000	1,0000000	0,1473478	0,9997634	0,0471991	0,3428646	1,0000000	0,6343528	0,9758129	0,8721653	0,5762329	0,7717078	0,0293285	0,0911541	0,4240525	0,0781027	0,0158817	0,8236663	0,5077175	0,5104425	0,0205310	0,1419158	0,9674889	0,3417447	0,9977475	0,0321627	0,5468601	0,1145773	0,0041873
900	0,0920407	0,0436353	0,6419215	1,0000000	1,0000000	0,1473833	0,9998381	0,0471991	0,3428628	1,0000000	0,6336711	0,9757879	0,8721321	0,5760904	0,7717078	0,0293285	0,0911725	0,4231546	0,0781027	0,0158817	0,8234929	0,5062772	0,5104635	0,0191303	0,1419158	0,9674764	0,3418934	0,9977469	0,0321627	0,5469641	0,1145774	0,0041873
920	0,0920407	0,0436353	0,6418567	1,0000000	1,0000000	0,1474040	0,9998894	0,0471991	0,3428615	1,0000000	0,6331731	0,9757688	0,8721065	0,5760011	0,7717078	0,0293285	0,0911852	0,4225569	0,0781027	0,0158817	0,8233564	0,5052647	0,5104791	0,0181925	0,1419158	0,9674666	0,3420180	0,9977464	0,0321628	0,5470405	0,1145774	0,0041873
940	0,0920408	0,0436353	0,6418109	1,0000000	1,0000000	0,1474159	0,9999245	0,0471991	0,3428604	1,0000000	0,6328097	0,9757542	0,8720871	0,5759451	0,7717078	0,0293285	0,0911940	0,4221603	0,0781027	0,0158817	0,8232504	0,5045556	0,5104906	0,0175668	0,1419158	0,9674589	0,3421175	0,9977460	0,0321628	0,5470963	0,1145774	0,0041873
960	0,0920408	0,0436353	0,6417785	1,0000000	1,0000000	0,1474228	0,9999486	0,0471991	0,3428597	1,0000000	0,6325447	0,9757433	0,8720724	0,5759101	0,7717078	0,0293285	0,0912000	0,4218978	0,0781027	0,0158817	0,8231691	0,5040606	0,5104990	0,0171504	0,1419158	0,9674531	0,3421944	0,9977457	0,0321628	0,5471366	0,1145774	0,0041873
980	0,0920408	0,0436353	0,6417559	1,0000000	1,0000000	0,1474267	0,9999650	0,0471991	0,3428591	1,0000000	0,6323516	0,9757352	0,8720613	0,5758882	0,7717078	0,0293285	0,0912042	0,4217247	0,0781027	0,0158817	0,8231073	0,5037161	0,5105051	0,0168740	0,1419158	0,9674487	0,3422524	0,9977454	0,0321628	0,5471657	0,1145774	0,0041873
1000	0,0920408	0,0436353	0,6417400	1,0000000	1,0000000	0,1474290	0,9999762	0,0471991	0,3428587	1,0000000	0,6322112	0,9757292	0,8720531	0,5758745	0,7717078	0,0293285	0,0912070	0,4216106	0,0781027	0,0158817	0,8230609	0,5034770	0,5105095	0,0166911	0,1419158	0,9674455	0,3422954	0,9977452	0,0321628	0,5471864	0,1145774	0,0041873
1020	0,0920408	0,0436353	0,6417290	1,0000000	1,0000000	0,1474304	0,9999838	0,0471991	0,3428584	1,0000000	0,6321091	0,9757247	0,8720470	0,5758661	0,7717078	0,0293285	0,0912090	0,4215357	0,0781027	0,0158817	0,8230264	0,5033114	0,5105127	0,0165702	0,1419158	0,9674430	0,3423269	0,9977450	0,0321628	0,5472011	0,1145774	0,0041873
1040	0,0920408	0,0436353	0,6417214	1,0000000	1,0000000	0,1474311	0,9999890	0,0471991	0,3428581	1,0000000	0,6320351	0,9757215	0,8720425	0,5758608	0,7717078	0,0293285	0,0912103	0,4214866	0,0781027	0,0158817	0,8230008	0,5031970	0,5105150	0,0164905	0,1419158	0,9674412	0,3423496	0,9977449	0,0321628	0,5472116	0,1145774	0,0041873
1060	0,0920408	0,0436353	0,6417161	1,0000000	1,0000000	0,1474315	0,9999925	0,0471991	0,3428580	1,0000000	0,6319815	0,9757191	0,8720392	0,5758575	0,7717078	0,0293285	0,0912112	0,4214544	0,0781027	0,0158817	0,8229820	0,5031181	0,5105166	0,0164380	0,1419158	0,9674399	0,3423658	0,9977448	0,0321628	0,5472189	0,1145774	0,0041873
1080	0,0920408	0,0436353	0,6417124	1,0000000	1,0000000	0,1474318	0,9999949	0,0471991	0,3428578	1,0000000	0,6319427	0,9757174	0,8720368	0,5758555	0,7717078	0,0293285	0,0912118	0,4214334	0,0781027	0,0158817	0,8229683	0,5030639	0,5105177	0,0164035	0,1419158	0,9674390	0,3423774	0,9977447	0,0321629	0,5472241	0,1145774	0,0041873
1100	0,0920408	0,0436353	0,6417099	1,0000000	1,0000000	0,1474319	0,9999966	0,0471991	0,3428578	1,0000000	0,6319148	0,9757162	0,8720350	0,5758542	0,7717078	0,0293285	0,0912122	0,4214197	0,0781027	0,0158817	0,8229584	0,5030266	0,5105186	0,0163809	0,1419158	0,9674383	0,3423855	0,9977446	0,0321629	0,5472277	0,1145774	0,0041873

0	0,0918060	0,0436353	0,6417045	1,0000000	1,0000000	0,1474323	1,0000000	0,0471991	0,3428668	1,0000000	0,6318644	0,9757080	0,8720337	0,5758523	0,7717085	0,0293163	0,0912131	0,4206564	0,0780975	0,0158817	0,8229369	0,5029228	0,5105184	0,0163381	0,1419158	0,9674358	0,3424041	0,9976695	0,0319251	0,5472353	0,1145774	0,0041873
20	0,0918413	0,0436353	0,6418394	1,0000000	0,9464129	0,1477211	0,9846332	0,0471991	0,3434395	0,7821229	0,6318163	0,9757172	0,8719902	0,5758443	0,7717083	0,0413849	0,0910727	0,4634148	0,0780984	0,0158817	0,8229363	0,5088774	0,5105071	0,0163381	0,1504669	0,9679603	0,3421615	0,9976905	0,0743593	0,5900594	0,3068246	0,0174547
40	0,0918714	0,0436353	0,6431624	1,0000000	0,8390547	0,1507831	0,9539523	0,0471991	0,3488229	0,5321747	0,6313636	0,9757916	0,8715459	0,5757653	0,7717083	0,0671963	0,0900142	0,5481945	0,0780991	0,0158817	0,8229622	0,5211146	0,5103820	0,0163381	0,1686983	0,9689261	0,3397811	0,9977057	0,1629619	0,6693837	0,5616855	0,0457328
60	0,0918968	0,0436353	0,6468264	1,0000000	0,7245789	0,1603391	0,9213132	0,0471991	0,3634708	0,3620055	0,6299803	0,9759906	0,8702547	0,5755461	0,7717086	0,0967949	0,0878962	0,6376843	0,0780998	0,0158817	0,8231362	0,5342546	0,5100102	0,0163382	0,1895300	0,9698726	0,3333360	0,9977168	0,2619777	0,7468414	0,7387568	0,0780512
80	0,0919185	0,0436353	0,6531176	1,0000000	0,6226394	0,1794874	0,8922701	0,0471991	0,3887299	0,2527680	0,6272996	0,9763165	0,8679488	0,5751694	0,7717096	0,1251676	0,0853111	0,7165719	0,0781002	0,0158817	0,8236790	0,5457014	0,5093250	0,0163382	0,2094261	0,9706647	0,3226568	0,9977253	0,3544983	0,8098672	0,8444410	0,1089435
100	0,0919369	0,0436353	0,6615047	1,0000000	0,5394274	0,2100199	0,8685415	0,0471991	0,4232458	0,1832775	0,6231627	0,9767302	0,8647448	0,5746622	0,7717113	0,1501065	0,0828267	0,7803178	0,0781006	0,0158817	0,8248157	0,5544977	0,5083359	0,0163382	0,2268495	0,9712995	0,3088967	0,9977325	0,4338053	0,8567919	0,9039498	0,1360356
