"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
960	0,3301789	1,0000000	0,5002171	0,1534246	0,9817686	0,6210314	0,6400573	0,3754998	0,3955130	0,7016838	0,9842939	0,6426914	0,9275920	0,7964564	0,7746648	0,6768083	0,0587448	0,9219308	0,8134683	0,8094687	0,1108098	0,1629298	0,0862862	0,8329842	0,6677166	0,2256679	0,8096661	0,7492207	0,9477918	0,4406299	0,5230910	0,6112974
980	0,3261702	1,0000000	0,5002166	0,1536485	0,9817703	0,6210314	0,6400573	0,3754998	0,3955130	0,7017690	0,9842984	0,6427128	0,9276065	0,7965089	0,7747243	0,6769401	0,0587448	0,9219533	0,8135517	0,8095941	0,1108102	0,1629081	0,0873683	0,8329899	0,6677253	0,2237399	0,8096669	0,7492222	0,9477920	0,4408128	0,5230910	0,6113092
1000	0,3225870	1,0000000	0,5002164	0,1538443	0,9817712	0,6210314	0,6400573	0,3755006	0,3955130	0,7018409	0,9843013	0,6427255	0,9276158	0,7965536	0,7747713	0,6770508	0,0587449	0,9219706	0,8136189	0,8096984	0,1108104	0,1628934	0,0883836	0,8329939	0,6677309	0,2219630	0,8096673	0,7492234	0,9477923	0,4409635	0,5230910	0,6113168
1020	0,3193819	1,0000000	0,5002163	0,1540156	0,9817716	0,6210314	0,6400573	0,3755017	0,3955130	0,7019016	0,9843034	0,6427326	0,9276215	0,7965914	0,7748088	0,6771439	0,0587449	0,9219842	0,8136736	0,8097854	0,1108106	0,1628835	0,0893316	0,8329967	0,6677346	0,2203293	0,8096675	0,7492243	0,9477927	0,4410883	0,5230910	0,6113217
1040	0,3165136	1,0000000	0,5002163	0,1541654	0,9817717	0,6210314	0,6400573	0,3755030	0,3955130	0,7019529	0,9843047	0,6427362	0,9276250	0,7966234	0,7748390	0,6772221	0,0587449	0,9219950	0,8137183	0,8098581	0,1108107	0,1628768	0,0902134	0,8329986	0,6677370	0,2188304	0,8096676	0,7492251	0,9477931	0,4411920	0,5230910	0,6113249
1060	0,3139452	1,0000000	0,5002163	0,1542965	0,9817717	0,6210314	0,6400573	0,3755044	0,3955130	0,7019961	0,9843056	0,6427376	0,9276270	0,7966503	0,7748635	0,6772878	0,0587449	0,9220037	0,8137551	0,8099190	0,1108107	0,1628723	0,0910306	0,8330000	0,6677386	0,2174580	0,8096677	0,7492258	0,9477936	0,4412783	0,5230910	0,6113270
1080	0,3116444	1,0000000	0,5002163	0,1544112	0,9817716	0,6210314	0,6400573	0,3755056	0,3955130	0,7020327	0,9843062	0,6427378	0,9276281	0,7966729	0,7748836	0,6773431	0,0587449	0,9220107	0,8137856	0,8099702	0,1108108	0,1628692	0,0917859	0,8330010	0,6677396	0,2162035	0,8096677	0,7492263	0,9477940	0,4413505	0,5230910	0,6113283
1100	0,3095824	1,0000000	0,5002163	0,1545114	0,9817714	0,6210314	0,6400573	0,3755068	0,3955130	0,7020635	0,9843066	0,6427373	0,9276286	0,7966920	0,7749001	0,6773896	0,0587449	0,9220164	0,8138108	0,8100131	0,1108108	0,1628672	0,0924819	0,8330017	0,6677403	0,2150586	0,8096677	0,7492268	0,9477944	0,4414110	0,5230910	0,6113292

0	0,2930945	1,0000000	0,5002163	0,1551520	0,9817709	0,6210314	0,6400573	0,3755098	0,3955130	0,7021378	0,9843073	0,6427348	0,9276292	0,7967381	0,7749392	0,6775015	0,0587450	0,9220298	0,8138710	0,8101162	0,1108108	0,1628629	0,0987826	0,8330033	0,6677415	0,2051423	0,8096677	0,7492279	0,9477953	0,4415557	0,5230910	0,6113308
20	0,2813064	1,0000000	0,5002163	0,1551594	0,9067846	0,6210314	0,6400573	0,3761930	0,3955130	0,7015652	0,9842998	0,6421181	0,9272064	0,7965048	0,7734505	0,6774682	0,0587447	0,9213777	0,8135407	0,8297118	0,1108108	0,1411281	0,0628140	0,8325976	0,6233538	0,2049203	0,8096677	0,7488697	0,9738678	0,6628649	0,6835631	0,6113308
40	0,2723348	1,0000000	0,5002163	0,1551659	0,8745495	0,6210314	0,6400573	0,3788259	0,3955130	0,6992218	0,9842454	0,6393829	0,9253498	0,7954258	0,7674930	0,6771855	0,0587438	0,9186409	0,8119922	0,8388629	0,1108108	0,1264546	0,0401921	0,8308871	0,5946338	0,2042406	0,8096677	0,7473951	0,9868461	0,7871398	0,7823840	0,6113308
60	0,2649897	1,0000000	0,5002163	0,1551716	0,8605418	0,6210314	0,6400573	0,3824929	0,3955130	0,6958128	0,9840993	0,6346809	0,9222619	0,7936036	0,7587477	0,6765338	0,0587424	0,9143486	0,8093245	0,8419616	0,1108108	0,1165483	0,0259789	0,8282731	0,5760513	0,2030308	0,8096677	0,7452075	0,9933038	0,8567562	0,8432393	0,6113308
