"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
880	0,3731965	1,1258641	0,4512062	0,2022674	0,9761633	0,5740219	0,6892002	0,3032348	0,4043191	0,6188989	0,9063890	0,6992580	0,8986295	0,7832373	0,7956352	0,6630371	0,0695973	0,9380602	0,7887275	0,8240304	0,1370308	0,1364051	0,0974962	0,9007548	0,7143365	0,2601436	0,8624917	0,7723330	0,8015885	0,4465790	0,5635783	0,6155772
900	0,3505229	1,0561273	0,4809449	0,1785697	0,9570770	0,6224411	0,6833059	0,3167434	0,4065806	0,6284430	0,8997989	0,6842081	0,8715816	0,8604475	0,8108283	0,6572128	0,0725871	0,8992624	0,8015510	0,7499375	0,1331587	0,1373998	0,1032516	0,8672083	0,7220078	0,2766357	0,9079720	0,7881529	0,9331722	0,3959861	0,5572130	0,5898775
920	0,3674040	1,0314365	0,5305679	0,1674881	1,0168574	0,6350306	0,7175582	0,3653026	0,4081641	0,6349565	0,8973627	0,7005979	0,9887079	0,7810057	0,7519775	0,6674760	0,0549015	0,9617948	0,7592176	0,7855079	0,1541757	0,1595309	0,1071364	0,8204942	0,7085594	0,2685542	0,8718596	0,7859239	0,9422305	0,4187449	0,5225469	0,5879607
940	0,3801339	1,0472511	0,5099742	0,1921132	0,8719535	0,6141467	0,7077281	0,3469419	0,3578655	0,6672378	0,8955822	0,6008861	0,8912778	0,7709891	0,7637115	0,7122775	0,0504360	0,8594463	0,7339924	0,8022741	0,1251220	0,1624504	0,0902039	0,8602272	0,6739737	0,2659002	0,8480318	0,7959765	0,8784764	0,4027888	0,5009256	0,6159063
960	0,4197400	0,9032702	0,5169070	0,1697414	1,0204335	0,6347511	0,7062473	0,3445289	0,3439705	0,7061062	0,9416852	0,6315881	0,8897299	0,7616964	0,8067160	0,6512637	0,0636381	0,9096120	0,7559223	0,7893980	0,1162555	0,1405221	0,0934864	0,8671002	0,5787790	0,2531933	0,8445193	0,7802380	0,9255464	0,3931255	0,5255175	0,5819937
980	0,4020808	0,9164769	0,4673298	0,1607106	0,9956656	0,6315292	0,6772305	0,3766425	0,3736928	0,7079415	0,9333904	0,5960007	0,9363804	0,6884622	0,7520257	0,6514284	0,0654610	0,7951791	0,7723014	0,7525870	0,1032593	0,1272831	0,1106219	0,8527902	0,6108987	0,2546784	0,8604631	0,7625700	0,9876878	0,4057023	0,4754227	0,5385446
1000	0,4226922	1,0135747	0,5233165	0,1695301	1,0465919	0,6297330	0,7129539	0,3837250	0,3665900	0,6836910	0,9244398	0,6225611	0,8786613	0,6929358	0,7839132	0,6360865	0,0558139	0,9328006	0,7954279	0,7250131	0,1129087	0,1902738	0,1149646	0,8635395	0,6323373	0,2441652	0,8087189	0,7404807	0,8512066	0,4404948	0,4761636	0,5485583
1020	0,3784116	0,9193456	0,4790630	0,1675394	1,0722893	0,6373349	0,7039754	0,3866317	0,3851269	0,6786475	0,9104298	0,6438830	0,9565723	0,7193646	0,8152016	0,6682802	0,0594239	0,9872385	0,7876244	0,7185353	0,1021758	0,2030178	0,1272049	0,7838393	0,6106707	0,2479725	0,8510967	0,7355482	0,7959867	0,4270837	0,4806144	0,6095571
1040	0,3322971	1,0193006	0,4968845	0,1687500	1,0842415	0,6428945	0,6767464	0,3858743	0,3531382	0,8031415	0,9008526	0,6876712	0,9888601	0,7100250	0,7626077	0,7351253	0,0589536	0,9601452	0,8146740	0,7488788	0,0915687	0,2034683	0,1192758	0,8181933	0,5986749	0,2154815	0,8377632	0,7405598	0,8487858	0,4158034	0,5635314	0,5824580
1060	0,3865566	0,9014448	0,4826339	0,1761572	1,0510327	0,6046914	0,6478699	0,3564991	0,3907276	0,7791030	0,9319065	0,6981746	0,9258030	0,7316601	0,8141221	0,7232373	0,0748168	1,0043694	0,7952132	0,7680295	0,1155858	0,1878199	0,1074165	0,8653335	0,6111617	0,2271995	0,8966448	0,7441738	0,9173389	0,3879340	0,5527366	0,5520506
