"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
860	0,3421401	0,1421076	0,2482486	0,4167876	0,7324932	0,8564961	0,6512080	0,6022022	0,2729374	0,5866231	0,7148914	0,7036673	0,3409903	0,8392993	0,5873831	0,3413533	0,3322128	0,0747735	0,8013056	0,2246860	0,4073405	0,3093537	0,0157072	0,1058336	0,2747652	0,3134170	0,4577718	0,3083304	0,1951642	0,6681004	0,5916463	0,7061221
880	0,2948019	0,1965382	0,2741069	0,4048564	0,6486461	0,7855540	0,5621051	0,5926906	0,2472746	0,5995001	0,7643427	0,5778356	0,5854361	0,7354354	0,6381835	0,4674033	0,2499693	0,0339249	0,7918265	0,2359539	0,3040050	0,2823964	0,0060126	0,1189037	0,3460692	0,2675365	0,5272397	0,3242378	0,1870533	0,7327851	0,6059238	0,5650365
900	0,2652855	0,1986969	0,3425244	0,4818643	0,5273753	0,6106391	0,6139166	0,6063161	0,3614545	0,5237081	0,7137376	0,5828481	0,5189894	0,7613481	0,6560372	0,4101532	0,1877709	0,0341630	0,7729764	0,2445569	0,2392723	0,3098540	0,0012480	0,0894493	0,3358798	0,3275934	0,6407959	0,2885873	0,1835995	0,6716554	0,5272779	0,6338211
920	0,3011392	0,1340195	0,3308395	0,3567478	0,5515636	0,7238686	0,6360841	0,5752685	0,3322495	0,6080070	0,7333626	0,6310537	0,5120970	0,7805483	0,5902266	0,4673887	0,2844577	0,0759821	0,6453900	0,1752560	0,2946174	0,2413136	0,0017216	0,1135807	0,3900691	0,3162335	0,6242698	0,2950295	0,2293125	0,6951408	0,5116082	0,8739296
940	0,3695666	0,1703992	0,2268980	0,4509484	0,6592748	0,8043590	0,6539890	0,7301617	0,3587640	0,6521797	0,6248580	0,5318337	0,5623908	0,8010957	0,5921541	0,4803042	0,2489646	0,0994931	0,6397671	0,1274563	0,1992402	0,3651230	0,0053610	0,1002392	0,5849420	0,3761628	0,6316627	0,3444679	0,2418534	0,7622662	0,5711620	0,6783244
960	0,4100764	0,1870868	0,2484918	0,5435266	0,7739171	0,7391886	0,6327910	0,6401822	0,3021546	0,7104187	0,7953354	0,5419041	0,5548805	0,7406349	0,5559643	0,3991021	0,2232105	0,0617435	0,7461094	0,2692610	0,3167201	0,2972125	0,0099025	0,1153300	0,5431871	0,2938367	0,5157544	0,3260117	0,2145653	0,6945287	0,6740115	0,6873806
980	0,3679625	0,1829461	0,2682271	0,4482971	0,5818124	0,6781595	0,5548405	0,6248101	0,2426639	0,6579163	0,7401692	0,5690261	0,4780496	0,7590929	0,6436486	0,4156070	0,2769301	0,0631433	0,6932831	0,2354386	0,3053551	0,3543177	0,0050637	0,1273759	0,4531678	0,3721861	0,5836867	0,4558469	0,2282248	0,8096088	0,5546899	0,7321668
1000	0,3505382	0,1122355	0,2635760	0,4794164	0,7071439	0,7170271	0,5797330	0,6380250	0,2286175	0,6780393	0,7482955	0,5897857	0,5767092	0,7264780	0,6156270	0,4993729	0,1879097	0,0687728	0,7272593	0,2882862	0,3021179	0,3447488	0,0144742	0,1117242	0,6306126	0,3521298	0,5915234	0,3381897	0,2619181	0,6600485	0,5395874	0,7062843
1020	0,2835248	0,1841606	0,3465822	0,4336351	0,6779415	0,6663032	0,6140703	0,6377920	0,2174783	0,6365673	0,8003826	0,8054263	0,4495064	0,7683840	0,5795511	0,5000892	0,3562435	0,0362269	0,7198086	0,2621096	0,3733832	0,3029182	0,0019250	0,1185425	0,3606066	0,4468440	0,6140387	0,4107649	0,2801321	0,7254678	0,4345049	0,8079982
1040	0,3656790	0,1044930	0,3614773	0,4552568	0,5751442	0,6055281	0,5636512	0,5478690	0,3383703	0,6493678	0,7633916	0,6991905	0,4599249	0,7988444	0,6252741	0,4642763	0,2002547	0,0270650	0,6263914	0,2122637	0,2782056	0,4832543	0,0057546	0,1491894	0,4408017	0,3284557	0,4795140	0,3685838	0,2784476	0,6383313	0,4457867	0,8608259
