"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
20	0,0871581	0,6725151	0,0423744	0,1019485	0,2337427	0,6369817	0,9479955	0,5709460	0,4164970	0,5272336	0,3049290	0,6519608	0,1093563	0,5072721	0,5110029	0,4659969	0,3557560	0,3013744	0,9763643	0,0466461	0,9681170	0,0269847	0,1269407	0,3415620	0,9030728	0,0515506	1,0780849	0,8870005	1,0221321	0,1149984	0,9763429	0,4608405
40	0,2309160	0,6166397	0,0598622	0,2413157	0,2485668	0,5350590	0,8957452	0,5172314	0,4258105	0,4681550	0,2617344	0,6837105	0,1174469	0,5023517	0,4775530	0,4060752	0,4122255	0,2799793	1,0455553	0,0457686	0,9554095	0,0248523	0,2616812	0,3300662	0,9066471	0,0595414	1,0307852	0,8858782	1,0198446	0,3094594	0,9755637	0,4207440
60	0,3311985	0,6271294	0,0455896	0,3901293	0,2612775	0,6029781	0,8288593	0,5204514	0,4255613	0,4803190	0,2372900	0,6917366	0,1187552	0,5123700	0,4206084	0,3674206	0,4742075	0,3144106	1,0434912	0,0410248	0,9797389	0,0228994	0,4141091	0,3305175	0,9327707	0,0668110	1,0379777	0,8193547	0,9933271	0,4603644	1,0103435	0,4173868
80	0,4387985	0,6687402	0,0375240	0,5172037	0,2814319	0,6276890	0,8024195	0,4770187	0,3516972	0,4647304	0,2144946	0,6880319	0,1300595	0,5142930	0,4099435	0,3323433	0,5198264	0,3255880	1,0238309	0,0429270	0,9182232	0,0313293	0,4911019	0,3089401	0,8286944	0,0500658	1,0609590	0,7976409	1,0085701	0,5852176	0,9724511	0,4264054
100	0,4943257	0,6918075	0,0442069	0,6177805	0,3270086	0,6621882	0,7769144	0,5391624	0,3177200	0,4635535	0,1877021	0,6872061	0,1311773	0,5259113	0,3615363	0,3157375	0,5885941	0,3588375	0,9868859	0,0465424	0,9117145	0,0510341	0,5253782	0,2690916	0,7933990	0,0667363	1,0480732	0,7521184	1,0059269	0,7015887	0,9658724	0,3584549
120	0,5474761	0,6610542	0,0771253	0,6728925	0,3346025	0,7597504	0,7141492	0,5518996	0,3311654	0,5280747	0,1658543	0,7243253	0,1208499	0,6158489	0,4055806	0,2978683	0,5650938	0,3705236	0,9755153	0,0513945	0,9303797	0,0389428	0,6052879	0,2710872	0,7764901	0,0793792	1,0108667	0,7946624	0,9252252	0,7949294	1,0380297	0,3205634
140	0,5920844	0,7739637	0,0725988	0,7176487	0,3757042	0,7814126	0,7046179	0,5700359	0,3312886	0,5440689	0,1462391	0,7347531	0,0999471	0,5934981	0,3915250	0,2464871	0,6263317	0,3131154	0,9261842	0,0366587	0,9354135	0,0317337	0,7217843	0,2926219	0,8480756	0,0833140	1,0163241	0,8632583	0,9800540	0,9340959	1,0597200	0,3462469
160	0,5663481	0,8155012	0,0574942	0,6776519	0,2828821	0,7822801	0,6444304	0,6172456	0,3207312	0,5125413	0,1719469	0,7181209	0,1294332	0,6068896	0,4149518	0,2505777	0,6168216	0,2947734	0,9668306	0,0436103	0,9510451	0,0353392	0,7157694	0,3820926	0,8379985	0,0839487	0,9533843	0,8750728	1,0087639	0,9507610	1,0416062	0,3365944
180	0,5936625	0,8564209	0,0412597	0,7398009	0,2855681	0,8302445	0,6386229	0,5522097	0,3504458	0,4852117	0,1821844	0,6229535	0,1110456	0,5428980	0,4058165	0,2498990	0,6458787	0,2955331	1,0810391	0,0382347	0,9886052	0,0209752	0,6781098	0,3822585	0,8222374	0,0733429	1,0021455	0,8342959	1,0804227	0,8729940	1,1006441	0,4053333
200	0,5916592	0,8520971	0,0499627	0,7314371	0,3031143	0,8105066	0,5738654	0,5020904	0,3584504	0,4711958	0,2036781	0,5855824	0,1136738	0,5340376	0,4097067	0,2447467	0,6787737	0,3214359	1,1164378	0,0443883	1,0155233	0,0398005	0,6507140	0,3476535	0,8135297	0,0845030	0,9348430	0,8464472	1,0104947	0,8568996	1,0137003	0,3690318
220	0,6186558	0,8561693	0,0559953	0,7413311	0,3499773	0,8327903	0,5472812	0,5396684	0,3576689	0,5144983	0,2111154	0,6311114	0,1061495	0,5793785	0,4202320	0,2306664	0,6527255	0,3056955	1,0534467	0,0389009	0,9979267	0,0224429	0,7033211	0,3185422	0,7835327	0,0841980	0,9496537	0,7652386	0,9022970	0,8526718	0,9193007	0,3925118
240	0,5918118	0,8269588	0,0341086	0,8552659	0,3416726	0,8870536	0,5350348	0,4996730	0,3364211	0,5620516	0,1982704	0,6430868	0,1394776	0,5810883	0,3912653	0,2298705	0,6339262	0,3179025	1,0869887	0,0460897	0,9591822	0,0342707	0,6771889	0,3011381	0,7864018	0,0785673	0,8893091	0,8342937	0,9608678	0,9176396	0,9746182	0,3427254
