"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
980	0,6394022	1,0234473	0,7903510	0,9276288	0,9498685	0,2845030	0,7033895	0,6522830	1,0356894	0,9565455	0,0799924	0,9004246	0,2301809	0,4161938	1,0421029	1,0325955	0,4280805	0,8149868	0,8853156	0,3170743	0,7582272	0,3756998	0,6398870	0,9681864	0,7774121	0,9242608	0,4606182	0,8610964	0,5541770	0,8582212	0,9370081	0,5621112
1000	0,5819565	1,1376980	0,8053723	0,9308942	1,0229918	0,3181623	0,6342559	0,7083181	1,0375649	1,0669717	0,0681958	0,9470803	0,2186761	0,4330452	1,0629668	1,0382812	0,4107585	0,8512686	0,9355275	0,2775253	0,8070738	0,3826183	0,5491563	0,9170922	0,7623445	1,0144107	0,4645809	0,9295163	0,4873199	0,8637505	0,9063093	0,5738367
1020	0,5904951	1,0959157	0,8187071	0,9579451	0,9337118	0,2983493	0,6623527	0,7931308	1,0182317	1,0793303	0,0765097	0,9786545	0,2050080	0,3848540	1,1007848	1,0605013	0,3920144	0,7622913	0,9147700	0,2653746	0,8086525	0,3953088	0,5838885	1,0148123	0,6915918	1,0132926	0,5380653	0,9507142	0,5255309	0,8211187	0,9641911	0,6720158
1040	0,5995532	1,0618459	0,8826928	0,9422957	1,0488947	0,2884705	0,6677220	0,7541923	0,9769142	1,0518560	0,0545067	0,9687408	0,1602213	0,3481552	1,0685748	1,0466332	0,3945146	0,7120987	0,9202636	0,2864260	0,8750845	0,4134881	0,5879025	1,0249681	0,7133852	1,0676312	0,5451478	0,9631768	0,5664585	0,8004228	0,9510309	0,6163302
1060	0,6111774	1,0328333	0,8965312	1,0029028	1,0764223	0,3168772	0,7329916	0,7879892	0,9913073	1,0614633	0,0727698	0,9479020	0,2079669	0,3912923	1,1127842	1,0906109	0,3981365	0,6922388	0,8979954	0,3260874	0,8761340	0,3933161	0,5478557	0,9768476	0,6750973	1,0640442	0,5482825	1,0284273	0,5689029	0,8435572	1,0156996	0,6487520
1080	0,6234057	1,0086165	0,8751422	0,9724061	1,0417734	0,3083631	0,7408662	0,7313433	0,9802997	1,1494583	0,0834896	0,9876685	0,1884982	0,3589556	1,0420900	1,0326179	0,3480859	0,7995241	0,8819118	0,3086837	0,8800377	0,3438314	0,5630709	0,9809334	0,6797585	1,0279022	0,5015308	1,0136199	0,5506090	0,8224175	0,8988248	0,6597642
1100	0,6496811	1,0176550	0,8874911	0,9920375	1,0388011	0,3097733	0,7204307	0,6968664	1,0310890	1,0568744	0,0923408	1,0040546	0,2119666	0,3820904	1,0309499	1,0672819	0,3727950	0,7921441	0,8968123	0,3222297	0,8358728	0,3332413	0,6103198	0,9878522	0,7300538	1,0293623	0,4877996	1,0244612	0,4884549	0,8744963	0,9366401	0,6636333

0	0,6776255	0,8814040	0,7523487	1,0000972	0,8482329	0,3135861	0,7683059	0,6111031	0,9065550	0,9443375	0,1297928	0,9983908	0,2318293	0,4268909	1,0425524	0,9979249	0,3863140	0,7249272	0,8893328	0,2719978	0,8684257	0,4907519	0,5418675	1,0408090	0,7496603	1,0122053	0,4740913	0,9636684	0,5315092	0,8899208	0,9764248	0,6116748
20	0,6564394	1,0641460	0,8319072	0,9622726	0,8900717	0,3215982	0,6790647	0,7173792	0,9529111	0,9466623	0,0963057	1,0639654	0,2259949	0,3809973	0,9259007	0,9786855	0,3476394	0,8774559	0,9826639	0,2796598	0,7933412	0,5196375	0,6340139	0,9845555	0,7688061	1,0615073	0,5200534	1,0813427	0,6739027	0,8449509	1,0721854	0,6068631
40	0,6206371	1,1021678	0,8387261	0,9000580	0,8430619	0,3117384	0,7654981	0,7066016	0,9324029	0,9675122	0,1058992	1,0882622	0,1727958	0,4229521	0,9692824	1,0040952	0,3355741	0,8418368	1,0793364	0,2640138	0,7623148	0,6394922	0,6817818	1,0235375	0,8002763	1,0444362	0,5835036	0,9931217	0,7865654	0,7622911	1,1269722	0,6838446
60	0,6251505	1,0608007	0,8632854	0,9563772	0,9618154	0,3097399	0,7518809	0,7266970	1,0188404	0,9932888	0,0850467	1,0803585	0,1378410	0,4380273	1,0170937	0,9436823	0,3398660	0,7833312	1,0962942	0,2464253	0,8395532	0,6998504	0,6295365	1,0725295	0,8727380	1,0344740	0,5879053	0,9257615	0,8987686	0,7624344	1,0436593	0,7222956
80	0,6811526	1,0150271	0,9211414	0,9974352	0,9548124	0,3197937	0,7599699	0,8001211	1,0182267	1,0052960	0,0850662	1,0919888	0,0992138	0,4295554	0,9615491	0,9346502	0,3597906	0,7777524	1,0316481	0,2643085	0,8487506	0,7648346	0,6418323	1,0471945	0,8805684	1,0514981	0,5899171	0,9769885	0,9504746	0,7357970	1,0853322	0,7539417
100	0,6426155	1,0215533	0,9231552	1,0348723	1,0641406	0,3230451	0,7075475	0,7588008	0,9607336	0,9229334	0,0643797	1,0501751	0,0722121	0,5241711	0,9275137	0,9695553	0,3059537	0,7519310	0,9740385	0,2501542	0,8574023	0,8238286	0,6320899	1,0977469	0,8749468	1,0493001	0,5372116	0,9672829	0,9300450	0,7065308	1,1607005	0,7199540
120	0,6511819	1,0093723	0,9014382	0,9993936	1,0200812	0,3208974	0,6952343	0,7355953	0,9656686	0,9577706	0,0880808	1,0540941	0,0709777	0,4471159	0,9833720	0,9473715	0,2798291	0,8099974	1,0164926	0,2809707	0,8380144	0,8865280	0,6452597	1,0658363	0,8368618	1,0441416	0,5687966	1,0004853	0,9049397	0,7441252	1,0473876	0,6853027
140	0,6510594	0,9024811	0,8623179	1,0094821	0,8838422	0,3042421	0,7107529	0,7544352	0,8792393	0,9576003	0,0959932	0,9574149	0,0502130	0,5476132	1,0131552	0,9279446	0,2719120	0,8403053	0,9895894	0,2674089	0,8680726	0,8740322	0,7043934	1,0591752	0,8527355	0,9895771	0,5158255	1,0870509	0,9240740	0,7316164	1,0320238	0,6316932
160	0,5989972	0,8841618	0,8651365	1,0394301	0,9777241	0,2816654	0,6261145	0,7072111	0,8860257	1,0256743	0,0842308	0,8899121	0,0263308	0,5736836	0,9907874	0,9417062	0,2613643	0,8562340	1,0103147	0,2860618	0,8853077	0,9288914	0,6884460	1,0154402	0,8538685	0,9816029	0,4765886	1,1209635	0,9606556	0,6811082	1,0406139	0,6273016
180	0,6499343	0,9006395	0,8444459	1,0476773	0,9937327	0,2664997	0,5829623	0,6687140	0,8628636	1,0400491	0,0698184	0,9087302	0,0152342	0,5737366	0,9798655	0,9432297	0,2476675	0,8312264	1,0128017	0,3335930	0,9335169	1,0275064	0,6390279	1,0717496	0,9793553	1,0117536	0,4420174	1,1186033	0,9667195	0,6401568	1,0220762	0,5734701
200	0,6652609	0,8802169	0,8576769	1,0319856	0,9663720	0,2951194	0,6473885	0,6399079	0,9627417	0,9895856	0,0982535	0,8796311	0,0071663	0,5856704	0,9638512	0,9568133	0,2912693	0,8130068	0,9763620	0,3353259	0,9115255	1,0139032	0,5523151	1,1107144	0,9845737	0,9815147	0,4118947	1,0532588	1,0023988	0,6333506	1,1220491	0,5202565
220	0,5710707	0,9316293	0,8278349	1,0530438	1,0425516	0,2926840	0,7685529	0,6914795	0,8852990	0,9860738	0,0937323	0,9022490	0,0060460	0,6181004	0,9518062	0,9534016	0,3241258	0,8073416	1,0111913	0,3353004	0,8514685	1,0155437	0,6061339	1,0902132	1,0944759	1,0399885	0,4541479	1,0215998	0,9673345	0,6360884	1,0690425	0,5783692
240	0,6056277	0,9119464	0,8738231	0,9926801	0,9920390	0,2998738	0,7811917	0,7093324	0,9960387	0,9872671	0,0951302	0,9260585	0,0065862	0,5481355	0,9889419	1,0148006	0,3184353	0,7979656	1,0086788	0,3002879	0,8722606	0,9237284	0,6836335	1,0732496	1,0630498	0,9956521	0,4674108	1,0800874	0,9428392	0,6447053	0,9821001	0,6247683
