"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
700	0,0841074	0,0473747	0,4898190	0,7169027	0,8006561	0,1234152	0,6850466	0,0456331	0,1651684	0,8112848	0,5928172	0,7121959	0,7224006	0,4536536	0,5284452	0,0187769	0,0496393	0,3311602	0,0499927	0,0046349	0,6107057	0,3899148	0,3998604	0,0320078	0,1438195	0,6933260	0,2470810	0,9324583	0,0164496	0,3611776	0,0910211	0,0076029
720	0,1138933	0,0261129	0,4890150	0,9331740	0,6950984	0,1005697	0,7807724	0,0613710	0,2260015	0,6695002	0,4233362	0,6111796	0,5962074	0,4044805	0,5322363	0,0107467	0,0807248	0,2970687	0,0626295	0,0067506	0,5522722	0,3475574	0,3287417	0,0404485	0,0889197	0,6626810	0,2679119	0,8067369	0,0191838	0,4235770	0,1016239	0,0016421
740	0,1204570	0,0115955	0,5598892	0,7953414	0,7803071	0,0912295	0,8770635	0,0324818	0,2828545	0,7618659	0,5270662	0,7517285	0,5576009	0,4047683	0,6412998	0,0235077	0,0722454	0,2340427	0,0502689	0,0227396	0,6325392	0,4305619	0,3555005	0,0365161	0,0807758	0,7747476	0,2544071	0,7550492	0,0135335	0,3547774	0,0584602	0,0020164
760	0,0731411	0,0599606	0,5337055	0,9123702	0,6099764	0,0955627	0,7070804	0,0364972	0,2545166	0,6796962	0,3799272	0,7655828	0,6070286	0,4061463	0,6402258	0,0110187	0,0720629	0,3267035	0,0782074	0,0202196	0,6045634	0,4354581	0,3649482	0,0225906	0,0816817	0,7773409	0,2501933	0,7124785	0,0081088	0,3600289	0,0815271	0,0295056
780	0,0708062	0,0471906	0,5118921	0,6927378	0,7737276	0,1086186	0,7682466	0,0292777	0,2085897	0,6631414	0,3571557	0,6790020	0,6728135	0,4828409	0,5887228	0,0127482	0,0536626	0,2740472	0,0565084	0,0119363	0,6038344	0,4402773	0,4514678	0,0068336	0,0882343	0,7444684	0,1911308	0,7201679	0,0171004	0,4091945	0,1115646	0,0214804
800	0,0712190	0,0523617	0,5210396	0,8558387	0,7966284	0,0795248	0,7591352	0,0242295	0,2057478	0,6029246	0,4895498	0,6971187	0,5944425	0,3781416	0,6836695	0,0139472	0,0936504	0,3498346	0,0646574	0,0109413	0,6289680	0,3389187	0,3855989	0,0101992	0,0871384	0,7293046	0,2648693	0,7223480	0,0327019	0,4193511	0,1181783	0,0021634
820	0,1126432	0,0452046	0,4937601	0,7897382	0,7916302	0,1018602	0,6711716	0,0304632	0,2196442	0,6929210	0,3681096	0,8498611	0,5865073	0,4806023	0,6842699	0,0566064	0,0961512	0,3564189	0,0904369	0,0108774	0,7653500	0,3702981	0,3590044	0,0083564	0,1085647	0,7576957	0,3866298	0,7610001	0,0084838	0,3285702	0,0981842	0,0023090
840	0,0913960	0,0215700	0,6333845	0,7194002	0,8525189	0,1452438	0,7122256	0,0302968	0,2912857	0,7982612	0,4660976	0,8880448	0,6825049	0,4259568	0,6825851	0,0290328	0,0317799	0,3117782	0,0645790	0,0228675	0,6326966	0,3176972	0,2536873	0,0128514	0,0670718	0,5701767	0,2987374	0,7571706	0,0101238	0,3701502	0,1077844	0,0040784
860	0,0798788	0,0239316	0,5697681	0,7955234	0,7156949	0,1274181	0,7211086	0,0170875	0,2657904	0,6902599	0,4849048	0,5724822	0,7254900	0,4503160	0,5467598	0,0161143	0,0789323	0,3226188	0,0417492	0,0139074	0,6415836	0,4246070	0,3442833	0,0018339	0,1225773	0,5612838	0,3061210	0,7532188	0,0176169	0,3853466	0,1124745	0,0048013
880	0,0779781	0,0297344	0,5648955	0,8328998	0,6710632	0,0778803	0,7538811	0,0420310	0,2317133	0,9264349	0,3976854	0,6770802	0,6569092	0,5453669	0,5761482	0,0120682	0,0527513	0,3435860	0,0869530	0,0098670	0,6500649	0,3704855	0,4182530	0,0050140	0,0950387	0,7031338	0,2328829	0,7362041	0,0413233	0,3460477	0,0712492	0,0023417
