"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
660	0,3317983	0,1861984	0,3352640	0,3875948	0,1764834	0,1949911	0,1231280	0,4100775	0,5759720	0,5330351	0,4658091	0,1722942	0,4882977	0,0550994	0,0926291	0,1575263	0,3122037	0,4029923	0,7468822	0,1268446	0,7808216	0,2284213	0,5850963	0,3362563	0,2131409	0,5691617	0,6986457	0,5671143	0,2719304	0,5859955	0,2538364	0,4087228
680	0,3471954	0,2420431	0,2755568	0,4122889	0,2203947	0,1746727	0,1436160	0,5058388	0,4326299	0,4502345	0,3764067	0,1698476	0,4510558	0,0762197	0,0608092	0,1139118	0,2958477	0,3228162	0,7013391	0,0748023	0,5043016	0,2784892	0,5753320	0,3711567	0,1951270	0,4797601	0,6673499	0,6212710	0,2553703	0,5914689	0,2870897	0,3549399
700	0,4554770	0,2023370	0,3600442	0,2545813	0,1043367	0,1878333	0,1467343	0,4084695	0,4440207	0,4824796	0,5615559	0,1596938	0,5273907	0,0708540	0,0380553	0,0835812	0,2711319	0,3190240	0,7243853	0,0910888	0,6797630	0,3222839	0,4802606	0,4447466	0,1839898	0,3921315	0,7933002	0,6774719	0,2388567	0,6101326	0,2512293	0,4669840
720	0,4859815	0,2753960	0,2780626	0,2734127	0,1112501	0,2232794	0,1223469	0,3677636	0,4619908	0,4437687	0,6902567	0,0728137	0,5060013	0,0863542	0,0456737	0,1092843	0,2814175	0,3010531	0,5921686	0,1283262	0,6316162	0,3709354	0,5274356	0,3480802	0,1249113	0,4642181	0,6032242	0,6219940	0,2582504	0,5747252	0,2721637	0,4092457
740	0,4937245	0,2284942	0,2926982	0,3697650	0,1321528	0,1119577	0,1751474	0,4250315	0,4616072	0,5370489	0,5480657	0,1865464	0,5291923	0,1054286	0,0835452	0,0925354	0,3660455	0,4201283	0,7070073	0,0691026	0,5080182	0,2119449	0,4570221	0,4284669	0,0907800	0,3531934	0,6102019	0,7769406	0,2817242	0,5570656	0,2422676	0,4875561
760	0,5663814	0,1995287	0,2991106	0,2948547	0,1178386	0,1420062	0,1556613	0,4342465	0,5066159	0,5914282	0,7092036	0,1559410	0,4729649	0,1172729	0,0585643	0,0797228	0,2951196	0,3685260	0,6290457	0,0833053	0,6103016	0,1919255	0,4402664	0,3917140	0,1071636	0,2802886	0,7272734	0,6603214	0,3198540	0,5963140	0,2620532	0,4598806
780	0,4957025	0,2418936	0,1830283	0,2424950	0,1841538	0,2471519	0,0984524	0,4933768	0,4410167	0,4751913	0,6215007	0,1705312	0,6317471	0,1176366	0,0504585	0,0911038	0,2563200	0,3124546	0,5154138	0,0925174	0,5574173	0,1530760	0,4203180	0,4290801	0,0801259	0,3066431	0,7750564	0,5267309	0,3362621	0,4103217	0,2126897	0,5031483
800	0,5001645	0,2031916	0,2093167	0,2756061	0,2025449	0,1491371	0,1237731	0,3830651	0,4446609	0,6323592	0,5940578	0,2045786	0,5750335	0,1232159	0,0460501	0,1237000	0,3434779	0,3754816	0,6779898	0,0521157	0,6126692	0,1420419	0,5364272	0,5281480	0,1094591	0,2813491	0,6957018	0,6373994	0,2841690	0,5426944	0,2383324	0,4592017
820	0,3911929	0,3161694	0,1942980	0,2761081	0,2095673	0,1203090	0,1337945	0,3917941	0,3599725	0,5043856	0,6578141	0,1038819	0,5210920	0,1154260	0,0371323	0,0939875	0,3145403	0,3268824	0,7277075	0,1076561	0,5888429	0,1584061	0,3331733	0,4738987	0,1198186	0,3010677	0,6891111	0,5636902	0,3322200	0,4334646	0,1863858	0,4609151
840	0,5103434	0,3118713	0,1754368	0,2599868	0,1382262	0,0829430	0,1506634	0,3897735	0,5392514	0,4716643	0,6112864	0,1632297	0,5763023	0,0938547	0,0510019	0,1704551	0,3865627	0,4041237	0,6645689	0,0994015	0,4591911	0,2009213	0,4401838	0,4816333	0,0889284	0,2863004	0,6425841	0,5251925	0,3184768	0,5542162	0,1726851	0,3906976
860	0,5340321	0,2703973	0,1858846	0,2818717	0,2210926	0,1079410	0,1177847	0,4966827	0,3709610	0,4966503	0,7170004	0,1313484	0,5111449	0,1041564	0,0569751	0,0921147	0,3320548	0,3597470	0,6888518	0,0800827	0,5421244	0,1244217	0,3991309	0,4600407	0,0883545	0,4062117	0,7281220	0,5953919	0,3354461	0,6308952	0,3198750	0,3724247
880	0,4980492	0,1909680	0,1436609	0,2947516	0,1373026	0,1112642	0,1097335	0,3442377	0,4006302	0,5261394	0,5999222	0,2402500	0,4877050	0,1508014	0,0632053	0,1221886	0,3939352	0,3622174	0,6495943	0,0949693	0,5469189	0,1390030	0,3848291	0,5111231	0,1095560	0,3939076	0,7404817	0,6069410	0,2877447	0,5623242	0,2548831	0,4006272
900	0,5189759	0,3347725	0,1231294	0,2927972	0,1230115	0,1097312	0,1521455	0,3814754	0,5190087	0,5038622	0,6542069	0,1295251	0,6005285	0,0926725	0,1053967	0,1514806	0,4002821	0,3606962	0,8161337	0,0629045	0,5575184	0,1591852	0,2629710	0,4452641	0,1036476	0,4822510	0,8151796	0,6418448	0,3057231	0,4778592	0,2615624	0,5061947
920	0,5470441	0,3196455	0,1778266	0,2468285	0,1568605	0,1879347	0,1251020	0,4508402	0,4172577	0,4954654	0,6164553	0,1252517	0,5670349	0,0899551	0,0722732	0,1464218	0,4145283	0,3038740	0,6648173	0,0962173	0,6722056	0,1545063	0,3635451	0,5677164	0,1495344	0,5528350	0,6329106	0,6068442	0,2510999	0,5524882	0,2442537	0,5198698
940	0,4864131	0,2818118	0,2084806	0,3329008	0,1799727	0,1286123	0,1239502	0,4487032	0,4338235	0,5013076	0,6760284	0,1124749	0,7107797	0,1668780	0,0700239	0,0975351	0,3966878	0,3226576	0,6299771	0,0698090	0,4739675	0,1409125	0,4132617	0,5328603	0,1251585	0,4271957	0,6218137	0,7006167	0,2878423	0,4886987	0,2223315	0,4394019
960	0,5003555	0,2847830	0,2032567	0,2214102	0,1468202	0,1070640	0,1642847	0,4074472	0,4145997	0,4822768	0,5769087	0,1166072	0,5716305	0,1022001	0,0565777	0,1225748	0,3118093	0,3166127	0,7075308	0,0881115	0,5856675	0,1360710	0,3063625	0,5234699	0,1406281	0,5678819	0,6512080	0,6867791	0,3237937	0,5317383	0,1775041	0,4817954
980	0,3941989	0,2732566	0,1727601	0,3114816	0,2087415	0,1189801	0,1520575	0,4640169	0,5512592	0,5190563	0,6361591	0,0873109	0,6216222	0,1205954	0,0631043	0,1113533	0,3225301	0,3374782	0,7404171	0,0799400	0,4859000	0,1133224	0,4175336	0,3596001	0,1109518	0,5474077	0,6381430	0,5818054	0,3358191	0,5328651	0,1689445	0,4245369
1000	0,5199000	0,2240317	0,2398839	0,3369576	0,2075863	0,1191644	0,0972083	0,4104009	0,4487236	0,4289714	0,6127118	0,1017440	0,5222584	0,0893288	0,0415360	0,0810385	0,3304084	0,3708403	0,6343457	0,0791450	0,5674011	0,1125373	0,4238639	0,4629132	0,1214542	0,6001430	0,6701059	0,6805399	0,3356007	0,5245509	0,2106461	0,3505673
1020	0,5804276	0,3020735	0,2027273	0,2657508	0,2986215	0,0950149	0,1584697	0,3698608	0,5088285	0,5446712	0,5816391	0,1567470	0,5762147	0,1628209	0,0332617	0,1387482	0,2811529	0,2633463	0,5692421	0,0618492	0,6565218	0,1160790	0,3615956	0,5190604	0,1397168	0,3940200	0,6488422	0,7568204	0,2208848	0,5808234	0,2055453	0,5454713
1040	0,4622900	0,2920209	0,1785743	0,2775738	0,1575397	0,1191372	0,1318173	0,3977160	0,5594045	0,5554739	0,6347478	0,1198215	0,5357586	0,1315762	0,1115469	0,0962075	0,3459375	0,3740492	0,6154008	0,0751917	0,7204310	0,0738840	0,3931589	0,4963640	0,0953270	0,4424182	0,7141453	0,5932315	0,3143002	0,5897968	0,2487244	0,4606951
1060	0,5146371	0,2848629	0,2399729	0,2881330	0,1636020	0,1201611	0,1358632	0,3816011	0,4184128	0,5215086	0,5549395	0,0885568	0,4647389	0,1069779	0,0774841	0,1909865	0,2817187	0,3805778	0,5675012	0,1003764	0,6244701	0,1213544	0,3640779	0,4173226	0,1169530	0,5358057	0,8973527	0,6938131	0,2822664	0,5385014	0,1882056	0,4290749
1080	0,4911384	0,3193290	0,2414656	0,2853816	0,1505810	0,1226139	0,0784154	0,3639707	0,4803806	0,6648597	0,5032161	0,1697884	0,5064261	0,0492843	0,0716412	0,1094241	0,2620022	0,4255183	0,6136901	0,0724443	0,5115819	0,1145564	0,4359669	0,3466541	0,0688565	0,4885057	0,7780271	0,5901990	0,3155750	0,6130039	0,2084279	0,3747558
1100	0,5322454	0,2666714	0,1910130	0,3794780	0,1458683	0,1908702	0,1152143	0,3699035	0,4768798	0,5529530	0,5518851	0,1516807	0,5032260	0,1075627	0,0960477	0,0874522	0,2091492	0,4288988	0,8246028	0,0813139	0,5108535	0,1243737	0,4339378	0,4154310	0,0936434	0,4734978	0,6861078	0,5794301	0,3584859	0,7302004	0,2350050	0,3924770

0	0,6134234	0,3801142	0,1654368	0,3636118	0,1188545	0,1591927	0,1221556	0,3126159	0,3807502	0,5567188	0,6461777	0,1275330	0,5477591	0,1251606	0,0515737	0,1252262	0,2719511	0,4504937	0,5007230	0,1003246	0,6058754	0,1019972	0,3483816	0,5325266	0,1046139	0,4693786	0,7193887	0,7970288	0,3913195	0,5798194	0,1996676	0,4627231
20	0,5671616	0,3396527	0,2390781	0,2452637	0,1207551	0,1911584	0,0993316	0,3972106	0,4324645	0,4158420	0,5669273	0,1329274	0,5798894	0,1013272	0,0619552	0,2262365	0,2766883	0,3066907	0,6257439	0,0840575	0,5200570	0,0846647	0,4278432	0,4738592	0,2031708	0,3886774	0,5974389	0,5343077	0,2633677	0,5396072	0,3749336	0,5373322
40	0,6118860	0,2845942	0,1926501	0,1782951	0,1608979	0,1189005	0,1338174	0,3846691	0,4287350	0,5821558	0,6321237	0,1283851	0,4316973	0,0869161	0,0510784	0,2757527	0,3289328	0,2497000	0,6629721	0,0617855	0,5502399	0,1887300	0,4014460	0,4926106	0,1089183	0,3687719	0,5978666	0,6477537	0,1402381	0,5050729	0,4142442	0,5790903
60	0,6405644	0,3330925	0,1644573	0,1391464	0,1236059	0,0904139	0,1218567	0,3038674	0,4413900	0,6533381	0,6277936	0,1652621	0,3771628	0,1310403	0,0315981	0,4184422	0,2225553	0,2990042	0,5845608	0,0816352	0,7126959	0,1363597	0,3736391	0,4369647	0,1710172	0,3520146	0,6046477	0,6406499	0,1160427	0,6345646	0,4525049	0,4779280
80	0,6807683	0,3293901	0,1480298	0,1870522	0,1477742	0,0987035	0,0972210	0,4327874	0,4665475	0,6468915	0,5781352	0,1375764	0,4079704	0,0946892	0,0541824	0,2875941	0,3164063	0,3133449	0,7208157	0,0761248	0,5600427	0,1200810	0,3401927	0,5435822	0,1414387	0,2705362	0,7910828	0,5568394	0,0782012	0,4622668	0,4956790	0,5729002
100	0,7128871	0,2913149	0,1406981	0,1721698	0,1766237	0,1100165	0,1267125	0,4290512	0,4463352	0,6242718	0,7572952	0,1701751	0,4657056	0,1165629	0,0664056	0,4084301	0,2713042	0,3836222	0,6417576	0,0816165	0,5345799	0,1157879	0,3883362	0,6489699	0,1587077	0,2736666	0,7533904	0,4848215	0,0738776	0,7024860	0,5323587	0,4609840
120	0,6593487	0,3179489	0,1127409	0,1034181	0,1754566	0,1052197	0,1964578	0,4782747	0,4183000	0,5870818	0,5839573	0,2154609	0,5291835	0,0727280	0,0787127	0,3358502	0,3430366	0,3568873	0,6891250	0,0676558	0,5496791	0,1037271	0,3006475	0,6896197	0,1797888	0,3254166	0,5920375	0,4281305	0,0511811	0,6353778	0,6073602	0,5399423
140	0,6614889	0,2629407	0,1082616	0,1346980	0,1223743	0,0750686	0,1774977	0,3923853	0,4625243	0,7362182	0,6975084	0,2266551	0,4621996	0,0910643	0,1096954	0,3539154	0,4206909	0,3827298	0,6570295	0,0712047	0,5542884	0,1046027	0,2723249	0,5447780	0,1962902	0,3111642	0,6933806	0,4449148	0,0327113	0,5632597	0,6910006	0,4810804
160	0,6542577	0,2802313	0,1152760	0,2136184	0,1926884	0,0688118	0,1252269	0,4611511	0,3731450	0,5810300	0,5730002	0,2510010	0,4131515	0,1383196	0,0619284	0,3268974	0,4440126	0,3392475	0,6742280	0,1297168	0,5049647	0,0692889	0,2478564	0,6265403	0,2046223	0,3530353	0,7331992	0,5177916	0,0323618	0,4983563	0,5791768	0,6788524
180	0,6110288	0,2732308	0,0850094	0,1431330	0,1175533	0,0650871	0,1380670	0,4079077	0,5149139	0,5308720	0,6267024	0,2526283	0,4316149	0,1601906	0,0471475	0,5806402	0,4756154	0,4023635	0,6253011	0,1294755	0,5628903	0,0506647	0,2568031	0,4676420	0,2003601	0,2933609	0,6543771	0,3873536	0,0267075	0,4838833	0,6591462	0,5815907
