"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
880	0,0079501	0,4811140	0,0167824	0,0354879	0,2848799	0,5226311	0,8182787	0,4113799	0,3472154	0,3513302	0,2518845	0,4651944	0,1362899	0,4120070	0,4330188	0,3524524	0,2483451	0,2680535	0,7413450	0,0117222	0,5380126	0,0182696	0,0545713	0,2539922	0,5725520	0,0183618	0,7944180	0,4477832	0,6638554	0,0019482	0,6377756	0,2476294
900	0,0046724	0,4944293	0,0178744	0,0420325	0,1812054	0,4280877	0,7499172	0,3263296	0,2846346	0,3158026	0,3006922	0,4835336	0,0916440	0,4030722	0,4785898	0,3543737	0,2037153	0,2089655	0,7409169	0,0140272	0,6195438	0,0190574	0,0263304	0,2537950	0,5997584	0,0304966	0,8141885	0,5577658	0,6252443	0,0013481	0,7289763	0,2708770
920	0,0017271	0,3932300	0,0165920	0,0171261	0,2624594	0,3745694	0,8629627	0,4041708	0,2553605	0,4294144	0,2632259	0,5977688	0,0980692	0,5098125	0,6016595	0,4320662	0,1595111	0,1980951	0,5303171	0,0371580	0,6724544	0,0041940	0,0296411	0,2460326	0,6924058	0,0466598	0,8078459	0,6077871	0,7427449	0,0265277	0,6396827	0,2277067
940	0,0075991	0,4676968	0,0206483	0,0373325	0,2401430	0,4052596	0,6652135	0,3890629	0,3255597	0,3454655	0,2355335	0,5721645	0,0669671	0,5036165	0,4144379	0,3637251	0,2626272	0,2268640	0,7006854	0,0243728	0,6781269	0,0426526	0,0320023	0,2678661	0,7227038	0,0391548	0,7758018	0,4853128	0,6192082	0,0033738	0,7821370	0,2649152
960	0,0218031	0,5559667	0,0173478	0,0181406	0,1815607	0,4431081	0,5868191	0,3927246	0,3117827	0,4007414	0,2636552	0,5275849	0,0680710	0,4416183	0,4527204	0,3959381	0,1859248	0,2660397	0,7837814	0,0290497	0,8174909	0,0164835	0,0404198	0,2750046	0,6137750	0,0670802	0,7008432	0,4920598	0,6792397	0,0001579	0,7394569	0,2247490
980	0,0130960	0,4875357	0,0355714	0,0320734	0,1666913	0,3854297	0,6501657	0,4223437	0,3133625	0,2826310	0,2282581	0,5358269	0,0752623	0,4197709	0,4004473	0,3190517	0,1994799	0,2539639	0,6708321	0,0277712	0,6163448	0,0254530	0,0473268	0,2384379	0,6127747	0,0339552	0,7010356	0,5141425	0,7627661	0,0038114	0,7163771	0,3341457
1000	0,0072671	0,4323068	0,0263651	0,0338672	0,1716273	0,4413356	0,6678292	0,3865531	0,2750682	0,3630482	0,2165432	0,5433486	0,1132479	0,4793480	0,2930995	0,3252819	0,2617664	0,3471463	0,7004637	0,0241031	0,6013081	0,0394708	0,0162537	0,3326687	0,6938431	0,0399323	0,6471773	0,5530425	0,5995503	0,0000159	0,7024447	0,2705807
1020	0,0160495	0,4294411	0,0271913	0,0346583	0,2079778	0,3879477	0,7035691	0,3510145	0,2807883	0,3322758	0,2389749	0,5857721	0,1063099	0,3766643	0,4347205	0,3910593	0,1827646	0,2416198	0,7415763	0,0711945	0,6953415	0,0294833	0,0281780	0,1691328	0,6279449	0,0386676	0,6741550	0,4307524	0,7756403	0,0007491	0,6748403	0,2246190
1040	0,0105905	0,4571689	0,0343092	0,0195604	0,2109552	0,5028653	0,7113365	0,3479860	0,3044347	0,4480120	0,2355498	0,5049184	0,0642058	0,3985590	0,3964211	0,3158590	0,2187851	0,2868644	0,6603250	0,0197254	0,6865605	0,0381762	0,0822590	0,2349520	0,4812336	0,0207523	0,6175900	0,5491408	0,6666247	0,0022358	0,8461590	0,2476513
1060	0,0020548	0,4417826	0,0309370	0,0096409	0,2229848	0,4800310	0,7837500	0,3943644	0,3487595	0,4542166	0,2953412	0,5245122	0,0931590	0,4736397	0,3605063	0,4285882	0,1909856	0,2520505	0,6421100	0,0162932	0,6763721	0,0261995	0,0546028	0,2505067	0,5208019	0,0242977	0,6252148	0,5000759	0,6420030	0,0000000	0,7457777	0,2375535
1080	0,0132001	0,4564318	0,0370002	0,0151860	0,1751398	0,5200671	0,8274459	0,3551260	0,3066308	0,3237903	0,2581801	0,5759362	0,0455711	0,4009562	0,3190975	0,3429334	0,1796751	0,2463550	0,6007343	0,0320834	0,6220117	0,0242377	0,0390230	0,1687239	0,5378246	0,0365460	0,7393047	0,5321184	0,6695709	0,0004041	0,6829036	0,3195011
1100	0,0137058	0,4244703	0,0488775	0,0232766	0,1999639	0,4474521	0,7476254	0,4674936	0,3298852	0,3816488	0,2307274	0,5109131	0,0887047	0,4669646	0,3655043	0,4100531	0,2251304	0,2458618	0,6846069	0,0464027	0,5912333	0,0190657	0,0251625	0,3132689	0,5950699	0,0260074	0,6019915	0,5148636	0,6881149	0,0023737	0,7397907	0,3214048

0	0,0122266	0,4414823	0,0256050	0,0228487	0,1661663	0,4799977	0,7256076	0,3807801	0,2832298	0,3854486	0,2488427	0,4747163	0,1364706	0,3483974	0,5247454	0,4099882	0,2113379	0,2389409	0,7317195	0,0343693	0,7691146	0,0188310	0,0353483	0,2377563	0,6102910	0,0421270	0,6560933	0,6059665	0,7515876	0,0050557	0,8494882	0,4335871
