"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
760	0,3968114	0,3524256	0,2495583	0,4732301	0,4630334	0,8570152	0,1842927	0,6551140	0,9709022	0,9695705	0,6004314	0,9289687	0,1530305	0,5966329	0,7334201	0,9137081	0,8566620	0,7071432	0,5638750	0,2218162	0,4001564	0,1161586	0,8823470	0,1555570	0,9250647	0,6118705	0,7274318	0,7300913	0,1173291	0,0379378	0,2437781	0,4753085
780	0,3446408	0,3809617	0,2460008	0,4074862	0,4654879	0,7977211	0,1802652	0,6403169	0,9861718	0,9004521	0,5891193	0,9299891	0,1510649	0,5638564	0,6480949	0,9319204	0,8528416	0,7512504	0,6154074	0,2551789	0,4077239	0,1088211	0,9225907	0,1557153	0,9440736	0,7065368	0,7552060	0,7852444	0,1194370	0,0346300	0,2691486	0,4306363
800	0,3588984	0,3675826	0,2694363	0,4342189	0,4792224	0,7829594	0,1814347	0,6221219	0,9091342	0,9562031	0,5817455	0,9476678	0,1821116	0,6346941	0,6510776	0,8449856	0,7869519	0,7838408	0,6214642	0,2975058	0,4273346	0,1173680	0,8929501	0,1757522	0,9347044	0,7548811	0,7536234	0,8221741	0,1134533	0,0385957	0,2831070	0,4412148
820	0,4254030	0,3819364	0,2740516	0,4196921	0,4450122	0,7936285	0,1593486	0,6734093	0,9257597	0,9301806	0,5489348	0,9518974	0,1794135	0,5863793	0,7556491	0,8783078	0,8400044	0,8048501	0,5720074	0,2508885	0,4127945	0,1097943	0,8632979	0,1927694	0,9440850	0,6998658	0,7759485	0,8344595	0,0968337	0,0307782	0,2967983	0,4641975
840	0,4013564	0,3682597	0,2840604	0,3943563	0,4255378	0,7859107	0,1770344	0,6288672	0,9118342	0,9445013	0,5969111	1,0256124	0,1825330	0,5742037	0,7479321	0,8757053	0,8707218	0,7416654	0,5837238	0,2612296	0,4118925	0,1172984	0,8955550	0,1947608	1,0147475	0,6310117	0,8046986	0,7745872	0,0848138	0,0361329	0,2599705	0,4780885
860	0,4378502	0,4049917	0,2343741	0,4069016	0,3886060	0,8104807	0,1627123	0,5793955	0,9314757	0,9645677	0,6228093	1,0803061	0,1679520	0,5958638	0,7627418	0,7983679	0,9244863	0,7318632	0,5611129	0,2276314	0,3904464	0,1008673	0,9118509	0,1965148	0,9782280	0,6796905	0,7307894	0,8241868	0,0946380	0,0410694	0,2831549	0,4469922
880	0,4801543	0,3776625	0,2535304	0,4328077	0,4350627	0,8431918	0,1754664	0,6230696	0,9476013	0,8889035	0,5853970	1,0300706	0,1937094	0,6646905	0,7487070	0,8011250	0,9014491	0,7509573	0,5726327	0,2083325	0,3596975	0,1239537	0,8741560	0,1644227	0,9711446	0,7189631	0,7336254	0,7766634	0,0978305	0,0343466	0,2863037	0,3953189
900	0,4489559	0,4049479	0,2383809	0,4250577	0,3906927	0,8211386	0,1844163	0,5892866	0,9417926	0,8666775	0,6186225	1,0189946	0,1729698	0,5923416	0,7655114	0,8568604	0,9300252	0,7811355	0,5499813	0,2292003	0,3681887	0,1208352	0,8965376	0,1712051	1,0035240	0,7672422	0,7889063	0,8103191	0,1018693	0,0311640	0,3030301	0,4401487
920	0,3687929	0,3709793	0,2734068	0,4038167	0,3713035	0,7761098	0,1656593	0,6209564	0,9896108	0,9405450	0,6473425	1,0230842	0,1836381	0,6331582	0,7193899	0,8681135	0,9496629	0,7634806	0,5760444	0,2361510	0,3887799	0,1226648	0,8499849	0,1493512	1,0355474	0,8011300	0,7892190	0,9014476	0,0888838	0,0342640	0,2898336	0,4406581
940	0,3765959	0,3911263	0,2752221	0,4049339	0,3982484	0,7656751	0,1467852	0,6794452	0,9500890	0,9447772	0,6526695	1,0502516	0,1671860	0,5984266	0,7226152	0,8915925	0,9356023	0,7688594	0,5997873	0,2468789	0,3802849	0,1330511	0,8444342	0,1701083	0,9735672	0,7833061	0,7370832	0,8309977	0,0944517	0,0312290	0,2823717	0,5282953
