"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
760	0,3630688	0,4735525	0,0617546	0,0514216	0,4488785	0,8970173	0,3874258	0,0146266	0,7661595	0,2759763	0,5151531	0,3912786	0,1474969	0,3183569	0,4475786	0,4288508	0,3875435	0,5931616	0,1940517	0,7931491	0,6768812	0,3544521	0,5717430	0,3328255	0,0726158	0,2779195	0,6453575	0,4345064	0,1459305	0,2954814	0,5782105	0,1332337
780	0,3845683	0,4612157	0,0680523	0,0633246	0,4380114	0,6542341	0,3279791	0,0106559	0,8676036	0,1600462	0,8463019	0,5338209	0,1632863	0,4058938	0,4115061	0,2507422	0,5432323	0,6438935	0,2047874	0,7428981	0,8274876	0,3658139	0,6673372	0,3039819	0,0403603	0,2953406	0,7359286	0,4076825	0,1512952	0,2601937	0,6563434	0,1468532
800	0,3786062	0,5555401	0,0469596	0,0754938	0,5704108	0,7197419	0,3017795	0,0112001	0,8072410	0,1550474	0,5474395	0,3870177	0,1786090	0,3506816	0,3930581	0,3724785	0,4168920	0,5548830	0,2048757	0,6370738	0,7470773	0,3360668	0,6737181	0,3324921	0,0822740	0,2847109	0,6465609	0,4376354	0,2032810	0,3049978	0,7570536	0,1658276
820	0,3766577	0,5634736	0,0443252	0,0269142	0,4776426	0,7110950	0,3283443	0,0345945	0,7686299	0,2124092	0,5377016	0,4674724	0,1632825	0,2574386	0,4305577	0,3384176	0,3756321	0,5386077	0,3810557	0,7869989	0,7192913	0,3882172	0,6378474	0,3228219	0,0471486	0,3674126	0,7292980	0,4145571	0,1768761	0,4080246	0,5260854	0,1463550
840	0,2918149	0,4088160	0,0330134	0,0459334	0,4821619	0,6968335	0,3565524	0,0237717	0,9736419	0,2411273	0,6752468	0,4294114	0,1619265	0,2514298	0,4602433	0,3630419	0,4024745	0,5494420	0,2641965	0,7937153	0,8291340	0,4446676	0,8929564	0,4202208	0,0268221	0,3430362	0,6359745	0,3549515	0,1612639	0,2208961	0,5813889	0,1743239
860	0,3490387	0,5212298	0,0435563	0,0565141	0,5697372	0,6906673	0,2771653	0,0089083	0,8330301	0,2318919	0,5678622	0,4506750	0,1355719	0,2115034	0,4467986	0,2930163	0,3711762	0,6165791	0,2992593	0,8725168	0,5936739	0,3699763	0,7171737	0,3390345	0,0623411	0,2562586	0,7459910	0,5023844	0,1395832	0,2759363	0,6742290	0,1057964
880	0,3755704	0,4463236	0,0902456	0,0634430	0,5328296	0,6077843	0,3523745	0,0189333	0,8195836	0,1907650	0,5933470	0,3800304	0,1838978	0,2546991	0,4255134	0,4792917	0,3388247	0,6653693	0,2616488	0,7031771	0,7749763	0,3883097	0,8616177	0,3558901	0,0374899	0,3625734	0,6477368	0,4350429	0,1439616	0,2966780	0,6772008	0,1151314
900	0,4090269	0,5572449	0,0382911	0,0554257	0,4080953	0,6070329	0,2880309	0,0173818	0,7957810	0,1810225	0,5556721	0,4069984	0,1521479	0,3243816	0,4368967	0,3785122	0,4591505	0,6602204	0,2773656	0,6618621	0,6666660	0,3031227	0,6742634	0,3656216	0,0381599	0,4028817	0,6961758	0,3979592	0,1426150	0,3094999	0,5572555	0,1190796
920	0,4007748	0,4646459	0,0475738	0,0352624	0,4485982	0,6228624	0,3382445	0,0286312	0,7723982	0,1356588	0,5647313	0,3794650	0,1768830	0,3687724	0,4302063	0,3178006	0,4321524	0,6281711	0,2673213	0,6896704	0,6572838	0,4127974	0,7511035	0,2739992	0,0515005	0,4167076	0,6592496	0,3528493	0,1622241	0,3799629	0,5241429	0,1568094
940	0,3476908	0,5909942	0,0374403	0,0451379	0,4250258	0,6434100	0,3986472	0,0270516	0,6975650	0,1593454	0,6125968	0,3497332	0,1667270	0,4491744	0,3726537	0,2725821	0,3772020	0,4921099	0,2369202	0,8705849	0,7682559	0,2897322	0,7996777	0,3103909	0,0235872	0,2894486	0,6315585	0,3849996	0,2197383	0,2532204	0,4594967	0,1844777
