"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
1100	0,4247122	1,0095969	0,5053763	0,1960148	1,0390011	0,6123697	0,6105671	0,3006616	0,3470418	0,6837395	0,9533164	0,6997738	0,9631859	0,6759926	0,8853091	0,6618555	0,0615125	0,9066389	0,8106093	0,8045950	0,1172819	0,1946922	0,0981546	0,8463085	0,6718958	0,2019824	0,8937381	0,7513254	0,7921040	0,4290246	0,5791340	0,5970745

0	0,3797472	1,0069859	0,4962104	0,1419365	1,0408979	0,6459544	0,6407191	0,3423498	0,3800704	0,6743583	0,9370274	0,6851140	1,0102985	0,7758036	0,7431678	0,6368622	0,0529465	0,9139532	0,9028721	0,7796675	0,1448862	0,1672057	0,1058284	0,9431133	0,7436778	0,2704797	0,8301376	0,6894770	1,0107683	0,3969576	0,5056652	0,5135836
20	0,3738144	1,0340797	0,5210893	0,1937758	0,8936317	0,5771346	0,6850793	0,3554086	0,4248795	0,7421729	0,8977831	0,6857596	0,8943801	0,6606194	0,7446376	0,6377880	0,0702875	1,0606795	0,8160131	0,7308009	0,1155219	0,1690691	0,0843059	0,7951665	0,6435181	0,2181841	0,7317547	0,7373300	0,9546062	0,3566460	0,5779127	0,6188111
40	0,3596638	1,0339280	0,4973552	0,1696806	0,8630945	0,6336957	0,6784436	0,3137211	0,4326808	0,7495718	0,9021319	0,6865230	0,9018823	0,7030649	0,6667778	0,6864356	0,0730196	1,0008567	0,8490921	0,7381909	0,0957533	0,1483043	0,0584711	0,7332063	0,6307507	0,2006876	0,7260697	0,8236291	1,0869501	0,4542853	0,5962384	0,6451898
60	0,3630777	1,0237171	0,5090547	0,1631064	0,9471152	0,7151806	0,6820161	0,3910648	0,4171610	0,7246017	0,9477706	0,6602720	0,8932531	0,7778687	0,7325654	0,6841881	0,0601876	0,9406591	0,9323330	0,7415456	0,0960040	0,1265058	0,0649654	0,7352554	0,6256822	0,1896914	0,7031751	0,7507758	1,0294929	0,5308801	0,6690385	0,6162078
80	0,3337488	0,9814644	0,5444147	0,1549513	0,9607096	0,7263519	0,6570567	0,3897729	0,4221815	0,6595925	0,9121878	0,6202508	0,8827508	0,7914700	0,7458907	0,6482429	0,0565374	0,9669046	0,8880995	0,7713836	0,1210118	0,1179751	0,0521780	0,7142098	0,6049855	0,2165444	0,6990536	0,7516402	1,0297293	0,6748690	0,7017035	0,6071132
100	0,3192176	0,9588501	0,5366494	0,1630716	0,8877911	0,6659345	0,6366291	0,3802218	0,4455282	0,6301208	0,9346512	0,6111016	0,8923922	0,8103350	0,7100814	0,7253331	0,0629300	0,9674359	0,8230384	0,8897565	0,0950366	0,1244270	0,0414354	0,6597341	0,6574881	0,2423752	0,7026721	0,6726787	1,0067016	0,7599931	0,7688548	0,6244965
120	0,3163117	1,0801157	0,5433751	0,1641858	0,8722436	0,6069463	0,6105150	0,3817769	0,4165419	0,7338880	0,9119158	0,6477639	0,8772663	0,8102779	0,7623667	0,7600471	0,0539037	0,9566573	0,8077074	0,9002858	0,0904404	0,1252043	0,0211223	0,7647623	0,6150875	0,2621509	0,7254917	0,7691704	0,9808366	0,7767529	0,7869391	0,6975122
140	0,3015869	1,0360729	0,4843030	0,1751939	0,8385575	0,5923314	0,5911773	0,3722145	0,3780992	0,7505045	0,9013178	0,6674662	0,8984341	0,8349016	0,7932969	0,7318400	0,0703948	0,9673191	0,7978133	0,8649607	0,0852294	0,1105759	0,0161419	0,8018257	0,5769545	0,2415544	0,7557385	0,8049727	1,0256888	0,8181723	0,8732589	0,7007148
160	0,3352323	0,9440869	0,4384839	0,1694779	0,8496172	0,6118773	0,5893479	0,3473895	0,4011032	0,7068989	0,8585580	0,6528522	0,8854531	0,8346353	0,7449227	0,7210393	0,0816845	0,9564959	0,7883242	0,9482725	0,0773592	0,1177501	0,0169864	0,7648339	0,5402965	0,2514585	0,7707409	0,7549451	1,0866323	0,8891045	0,8420453	0,7244483
180	0,3264004	0,9406615	0,4994978	0,1888208	0,8658898	0,6531585	0,5746102	0,3832022	0,3930554	0,6677234	0,8186163	0,7125619	0,8853198	0,8948353	0,7246657	0,6767630	0,0642520	0,9444180	0,7888713	1,0039338	0,0830074	0,1082990	0,0180447	0,7566093	0,5487192	0,2367388	0,7983370	0,7882499	0,9971764	0,8691510	0,8858308	0,7439536
200	0,2735087	1,0135621	0,5239415	0,2176482	0,8171182	0,6031523	0,6750721	0,3916917	0,4017030	0,6826014	0,8105411	0,6455284	0,8755469	0,8453749	0,7182713	0,6745143	0,0778042	0,8987028	0,7272135	0,9751320	0,0714905	0,1090809	0,0102104	0,8021314	0,5493190	0,2341500	0,8208210	0,7910125	0,9398053	0,9252768	0,8766277	0,7260632
220	0,2516474	1,0053940	0,4728088	0,2319269	0,8544637	0,6755234	0,6709613	0,3974864	0,4048704	0,6780756	0,9910749	0,6059407	0,8566503	0,8085171	0,7635954	0,7177136	0,0857261	0,8854959	0,6985320	0,9205852	0,0704129	0,1041626	0,0069029	0,8111512	0,6109755	0,2111344	0,8234380	0,7655828	1,0083620	0,9058372	0,8166965	0,6565952
240	0,2694364	1,0272481	0,5154394	0,2287766	0,8538246	0,6827680	0,6941629	0,3769036	0,4205660	0,6357774	1,0304539	0,6333249	0,8658282	0,7437065	0,7451877	0,7353022	0,0953444	0,8503867	0,6795961	0,8328451	0,0732170	0,1052372	0,0053921	0,8251684	0,6174606	0,2036104	0,7548755	0,7002834	1,0343927	0,9239504	0,8113276	0,6668623
