"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
720	0,6331206	0,3638782	0,3386503	0,3968793	0,2215269	0,2142460	0,1749215	0,5382566	0,6471324	0,7040729	0,7341989	0,1837098	0,6804504	0,1217721	0,1038955	0,1395604	0,3456185	0,4467081	0,9057075	0,1793188	0,7805996	0,3163153	0,6403896	0,5186279	0,2355187	0,4864870	0,8899296	0,7835764	0,3628906	0,8212919	0,2297088	0,5637986
740	0,6502541	0,3670510	0,3287920	0,3957684	0,2215269	0,2059550	0,1761846	0,5368173	0,6505978	0,7028269	0,7878195	0,1827968	0,6885074	0,1347109	0,0963482	0,1389602	0,3761078	0,4494750	0,9045784	0,1569489	0,7806600	0,2882058	0,6230419	0,5541120	0,2148187	0,4887336	0,8867199	0,8083489	0,3627798	0,8248308	0,2404711	0,5703526
760	0,6633350	0,3700971	0,3172400	0,3964584	0,2215269	0,1995182	0,1764924	0,5359458	0,6527512	0,7016614	0,8220058	0,1817985	0,6946811	0,1456730	0,0915039	0,1403951	0,4009327	0,4527024	0,9048353	0,1424445	0,7807141	0,2618758	0,6062913	0,5813647	0,2008350	0,5008534	0,8865434	0,8243722	0,3639413	0,8248934	0,2496941	0,5751788
780	0,6729734	0,3728064	0,3051711	0,3987914	0,2215269	0,1949124	0,1764295	0,5355274	0,6538875	0,7006718	0,8429207	0,1807967	0,6990348	0,1544156	0,0884172	0,1433499	0,4199493	0,4564599	0,9063446	0,1331237	0,7807589	0,2386397	0,5910437	0,6013180	0,1913172	0,5209601	0,8892012	0,8343471	0,3660667	0,8227661	0,2572144	0,5784784
800	0,6798837	0,3750678	0,2934516	0,4024690	0,2215269	0,1918174	0,1762802	0,5353773	0,6543428	0,6998980	0,8552825	0,1798596	0,7018951	0,1610688	0,0864570	0,1472491	0,4338520	0,4606187	0,9088425	0,1271695	0,7807940	0,2190314	0,5777723	0,6153779	0,1847726	0,5466187	0,8941517	0,8404016	0,3687893	0,8194489	0,2631073	0,5805890
820	0,6847357	0,3768545	0,2826425	0,4071218	0,2215269	0,1898231	0,1761535	0,5353530	0,6544056	0,6993365	0,8623801	0,1790329	0,7036585	0,1659514	0,0852134	0,1515670	0,4436489	0,4649705	0,9120101	0,1233811	0,7808204	0,2030454	0,5666226	0,6249846	0,1802275	0,5751963	0,9006870	0,8441098	0,3717593	0,8156583	0,2675783	0,5818572
840	0,6880900	0,3781987	0,2730498	0,4123661	0,2215269	0,1885600	0,1760738	0,5353721	0,6542837	0,6989576	0,8663598	0,1783388	0,7046825	0,1694367	0,0844244	0,1558941	0,4503545	0,4693020	0,9155352	0,1209780	0,7808395	0,1903622	0,5575252	0,6313916	0,1770461	0,6042684	0,9080892	0,8465620	0,3746962	0,8118660	0,2708830	0,5825735
860	0,6903836	0,3791655	0,2647882	0,4178473	0,2215269	0,1877525	0,1760330	0,5353969	0,6541055	0,6987211	0,8685520	0,1777805	0,7052427	0,1718737	0,0839239	0,1599570	0,4548411	0,4734349	0,9191505	0,1194576	0,7808530	0,1805170	0,5502862	0,6355875	0,1748083	0,6319370	0,9157365	0,8484587	0,3774108	0,8083525	0,2732750	0,5829528
880	0,6919405	0,3798318	0,2578417	0,4232674	0,2215269	0,1872214	0,1760162	0,5354150	0,6539380	0,6985861	0,8697463	0,1773481	0,7055303	0,1735524	0,0836065	0,1636041	0,4577921	0,4772416	0,9226520	0,1184982	0,7808625	0,1730103	0,5446531	0,6383015	0,1732306	0,6569670	0,9231547	0,8502059	0,3797996	0,8052592	0,2749785	0,5831396
900	0,6929928	0,3802727	0,2521144	0,4283990	0,2215269	0,1868600	0,1760117	0,5354250	0,6538076	0,6985179	0,8703946	0,1770241	0,7056674	0,1746967	0,0834057	0,1667755	0,4597098	0,4806461	0,9259009	0,1178945	0,7808689	0,1673708	0,5403576	0,6400446	0,1721178	0,6787452	0,9300257	0,8520031	0,3818263	0,8026345	0,2761773	0,5832238
920	0,6937025	0,3805528	0,2474688	0,4330870	0,2215269	0,1866086	0,1760120	0,5354294	0,6537181	0,6984899	0,8707483	0,1767885	0,7057264	0,1754714	0,0832788	0,1694715	0,4609469	0,4836166	0,9288159	0,1175158	0,7808734	0,1631864	0,5371432	0,6411619	0,1713337	0,6971375	0,9361690	0,8539158	0,3834988	0,8004689	0,2770145	0,5832573
940	0,6941805	0,3807239	0,2437517	0,4372429	0,2215269	0,1864326	0,1760135	0,5354307	0,6536629	0,6984837	0,8709436	0,1766218	0,7057479	0,1759933	0,0831989	0,1717257	0,4617423	0,4861545	0,9313619	0,1172791	0,7808764	0,1601139	0,5347794	0,6418796	0,1707818	0,7123206	0,9415116	0,8559310	0,3848498	0,7987211	0,2775966	0,5832682
960	0,6945025	0,3808245	0,2408119	0,4408334	0,2215269	0,1863105	0,1760149	0,5354308	0,6536325	0,6984875	0,8710534	0,1765065	0,7057530	0,1763438	0,0831487	0,1735873	0,4622538	0,4882845	0,9335369	0,1171315	0,7808785	0,1578780	0,5330694	0,6423432	0,1703939	0,7246379	0,9460560	0,8579971	0,3859226	0,7973354	0,2780010	0,5832702
