"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
900	0,7061484	0,4773724	0,2527086	0,4478709	0,1815107	0,1650749	0,1825149	0,5384828	0,6344435	0,7132635	1,0127644	0,2159666	0,7518133	0,1363106	0,0626639	0,1414850	0,5458797	0,4909307	0,9024021	0,1303244	0,7955169	0,2226162	0,5516209	0,7508771	0,1836553	0,5671931	0,9505192	0,8303163	0,3926401	0,7874323	0,3914149	0,6312340
920	0,6784263	0,4535676	0,2619462	0,4095147	0,2085529	0,1854051	0,2078451	0,5380677	0,6315479	0,6571623	0,9455565	0,2045131	0,7285223	0,1598715	0,0711128	0,1847858	0,5820391	0,4663716	0,9043852	0,1579313	0,7293152	0,1890999	0,5311265	0,8133057	0,1647362	0,5770165	0,9949677	0,8702338	0,3799089	0,7235070	0,3892760	0,6570281
940	0,6789199	0,4402031	0,2483056	0,4157517	0,2372321	0,1870123	0,1914804	0,5516711	0,6965037	0,6327840	0,8802374	0,1718174	0,7266985	0,1949456	0,1009867	0,1909537	0,5759139	0,4380162	0,9559680	0,1296503	0,7573781	0,2372895	0,5552084	0,8006998	0,1690072	0,6630178	0,9686363	0,8955914	0,3589386	0,7330521	0,3619205	0,6136936
960	0,6866457	0,3920884	0,2886443	0,4033679	0,2295182	0,2073924	0,1924611	0,5012596	0,6352256	0,6158921	0,8072660	0,1635029	0,7911721	0,1829922	0,0974402	0,1806814	0,5461084	0,4708116	0,8867160	0,1016639	0,7346161	0,2205580	0,5222227	0,7456809	0,1614468	0,7497557	0,9306554	0,8983720	0,3474128	0,7639354	0,3026940	0,6710388
980	0,7603628	0,4097299	0,2692637	0,4306294	0,1972201	0,1983229	0,1876760	0,5518245	0,5944391	0,5984050	0,8567054	0,1883577	0,7966028	0,1962261	0,0866248	0,1794651	0,5256424	0,4657398	0,9607476	0,1208493	0,7781378	0,2091064	0,5892301	0,6790022	0,1726596	0,6569316	0,9765250	0,9199295	0,3543464	0,6838675	0,3028926	0,6581323
1000	0,6845496	0,3929423	0,2868849	0,4142599	0,1787176	0,1900892	0,1781890	0,5648448	0,5838189	0,6587517	0,8892828	0,1615219	0,8211116	0,2000785	0,0781511	0,1520556	0,4845978	0,4795688	0,8825146	0,1030618	0,7712842	0,1669615	0,6153372	0,6848191	0,1487984	0,6580658	0,9417001	0,9374426	0,4134432	0,7067628	0,2745671	0,6258458
1020	0,6723668	0,3715407	0,3064038	0,4325256	0,2498775	0,1870007	0,1508714	0,5853377	0,6275695	0,8125853	0,9107748	0,1620894	0,8520352	0,1839413	0,0550906	0,1579145	0,4336467	0,4232781	0,9513536	0,0958006	0,8180039	0,1545675	0,6022184	0,6199524	0,1696505	0,6139915	0,9351301	0,9526232	0,4013566	0,7125553	0,2675156	0,5834649
1040	0,6506509	0,3895167	0,2770292	0,4229980	0,2864158	0,1692202	0,1475864	0,5280625	0,6778963	0,7402230	0,8590959	0,1620009	0,8248481	0,1719730	0,0567489	0,1628864	0,4881173	0,4826289	0,9577162	0,1084503	0,7905713	0,1310921	0,5370848	0,5876980	0,1568683	0,6558935	0,9159527	0,9148403	0,3677478	0,6907129	0,2874384	0,6362570
1060	0,6426106	0,3953825	0,2542963	0,4062639	0,2533677	0,1710434	0,1255194	0,5111867	0,7321708	0,7572505	0,8334535	0,1820439	0,7406777	0,1540160	0,0783039	0,1735939	0,4723101	0,5137615	0,9674289	0,0804081	0,8195970	0,1058696	0,5535983	0,6030399	0,1602359	0,6287548	0,9230378	0,8791815	0,4063730	0,7299186	0,2659661	0,6313693
1080	0,6368552	0,4243230	0,2476265	0,4168258	0,2749905	0,1976665	0,1525268	0,4756266	0,7536751	0,7095392	0,8342567	0,1769938	0,7463309	0,1378144	0,0668936	0,2076627	0,4041879	0,4765689	0,9206078	0,1030759	0,8010156	0,1190853	0,5277513	0,5581381	0,1613233	0,6619353	0,9833261	0,8938755	0,4648583	0,7371841	0,2656181	0,5706176
1100	0,6956997	0,4132685	0,2275798	0,4470442	0,2247363	0,1816957	0,1731757	0,5370274	0,7391666	0,6941469	0,8014053	0,1937744	0,7732045	0,1261177	0,0544381	0,2018027	0,3700361	0,5618154	0,9400958	0,1277884	0,8442405	0,1314685	0,5022045	0,6089756	0,1612350	0,7228289	0,9685780	0,8588648	0,4008544	0,8754553	0,3164887	0,5668331

0	0,7514212	0,3926482	0,2451894	0,4658713	0,2269241	0,1933102	0,1830412	0,5507068	0,6036915	0,7193291	0,9109791	0,2226542	0,7426565	0,1688618	0,0879503	0,1940063	0,4247748	0,6476873	0,9081621	0,1689128	0,8027307	0,1069914	0,4633996	0,6431929	0,1721407	0,8256954	1,0082710	0,8700986	0,4318444	0,8691894	0,3091886	0,6213513
20	0,6903633	0,3308000	0,3119270	0,4097187	0,2017201	0,2227517	0,1581276	0,5074329	0,6547042	0,7570931	0,8950932	0,1431638	0,8044269	0,1341732	0,0635307	0,1888581	0,4479842	0,4932083	0,9311486	0,1041331	0,7759057	0,1432189	0,5614616	0,5964800	0,2015203	0,5950270	0,9563329	0,7994510	0,3719801	0,8683769	0,3734526	0,6272918
40	0,7179463	0,3416422	0,2957317	0,3586659	0,1847669	0,1946436	0,1366788	0,5542050	0,5765618	0,7628881	0,8526525	0,1686584	0,7003278	0,1368835	0,0521528	0,2362712	0,4821527	0,4351795	0,9716332	0,1221477	0,8237736	0,1574013	0,5454541	0,6298859	0,1881274	0,5791832	0,8991893	0,7856752	0,3277682	0,8287426	0,4521309	0,6710815
60	0,7726115	0,3613278	0,2933440	0,2550553	0,2115838	0,1811625	0,1218794	0,5245153	0,5783102	0,8317053	0,8506847	0,1875930	0,5981500	0,1694091	0,0737134	0,2772815	0,4712390	0,4086251	0,9124654	0,1090563	0,7959598	0,1616961	0,5588866	0,5592044	0,2123399	0,4723563	0,8761063	0,8323672	0,2752960	0,7908561	0,5325560	0,6673486
80	0,8469823	0,3975120	0,2634594	0,2426266	0,1989900	0,1867032	0,1671958	0,4995865	0,5947072	0,8653772	0,8632177	0,1870302	0,5834378	0,1394974	0,0676522	0,2994315	0,4387043	0,4178845	0,9513066	0,1114292	0,8263886	0,2026094	0,5286665	0,5971347	0,2251748	0,3919574	0,8344632	0,8290111	0,2014838	0,7815208	0,5605018	0,7610477
100	0,8523101	0,3807894	0,2433567	0,2506726	0,1900680	0,1782789	0,1710622	0,5247772	0,6009734	0,9493544	0,8144334	0,2001594	0,5791836	0,1419556	0,0662521	0,4211763	0,4555998	0,4462050	0,9043950	0,1295178	0,8336459	0,2195622	0,5136934	0,5591643	0,2429126	0,3930959	0,9064649	0,7983555	0,1758610	0,7691757	0,6312726	0,7643786
120	0,9308387	0,3959543	0,1921489	0,2471755	0,2319348	0,1834450	0,1904114	0,5856200	0,5938374	0,9288722	0,8454364	0,1953812	0,6847917	0,1422481	0,0626468	0,4473621	0,4853725	0,4475696	0,8809393	0,1261328	0,8342306	0,1713680	0,4680768	0,6451632	0,2340135	0,4913452	0,9055075	0,7509356	0,0982829	0,8277149	0,6728052	0,7542765
140	0,9639449	0,4129528	0,1717895	0,2191156	0,2019375	0,1461183	0,1728136	0,5638163	0,5518959	0,8643312	0,8673153	0,2467786	0,6674011	0,1348954	0,0834114	0,4775577	0,5305632	0,4347398	0,9672111	0,1119373	0,8440716	0,1451886	0,4146037	0,7510128	0,2269156	0,5114840	0,9196606	0,6804609	0,0778554	0,8394402	0,7735701	0,7476038
160	1,0003859	0,3958126	0,1692658	0,2154073	0,2018958	0,1365741	0,1938696	0,5546690	0,5306569	0,9113360	0,8271034	0,2528267	0,7145656	0,1434406	0,0709393	0,4861465	0,5705846	0,4349172	0,8581259	0,1107320	0,8064971	0,1646836	0,3521032	0,7147789	0,2267178	0,4133892	0,9211026	0,6470110	0,0728890	0,8135270	0,8597177	0,7717106
180	0,9648953	0,3619376	0,1644396	0,2016956	0,2194621	0,1630663	0,1693391	0,5885874	0,5370994	0,8698139	0,8974024	0,2793145	0,6650402	0,1398666	0,0641939	0,4548838	0,5957100	0,4789408	0,9550555	0,1050157	0,7778891	0,1557249	0,3268012	0,7792562	0,2255091	0,4435644	1,0108092	0,6349851	0,0655874	0,7784024	0,9090661	0,7791133
200	0,9864884	0,3671806	0,1878973	0,2117823	0,1767372	0,1456170	0,1864359	0,5651122	0,5787294	0,8570919	0,8656191	0,2794281	0,6525205	0,1513027	0,0568686	0,5744049	0,6477568	0,4726364	0,9126346	0,1592509	0,7943189	0,1138823	0,3065901	0,6794969	0,2382569	0,4508251	1,0056242	0,6112972	0,0592343	0,7058347	0,9631661	0,8019917
220	0,9251980	0,3983684	0,1799084	0,2228961	0,1497087	0,1287665	0,1501637	0,5351421	0,5872099	0,8338711	0,8950101	0,2704564	0,6990344	0,1625699	0,0800145	0,5733115	0,6032320	0,5317277	0,9891221	0,1709201	0,7577421	0,1048295	0,3960755	0,7151194	0,2875983	0,4279017	0,9688109	0,5784244	0,0498293	0,6661732	0,8682050	0,7777762
240	0,9976503	0,3667852	0,1639924	0,2071505	0,1683701	0,1474617	0,1744797	0,5149877	0,5929426	0,9195634	0,9697730	0,2495874	0,6592158	0,1633531	0,0849119	0,4919131	0,5976976	0,5540314	0,9786646	0,1615737	0,7823655	0,0883831	0,3758335	0,6124562	0,2584260	0,4555315	0,9694384	0,6144094	0,0466070	0,6539983	0,8720328	0,8027853
