"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
800	0,6887369	0,3806278	0,2591075	0,4098674	0,2215269	0,1873319	0,1759575	0,5352821	0,6547071	0,6990366	0,8655576	0,1775769	0,7049225	0,1732165	0,0838260	0,1568163	0,4605039	0,4697501	0,9133745	0,1180799	0,7808769	0,1900901	0,5577928	0,6328033	0,1773693	0,5624713	0,9077065	0,8492862	0,3744696	0,8122141	0,2761873	0,5835269
820	0,6908959	0,3811332	0,2516337	0,4158873	0,2215269	0,1869721	0,1759264	0,5353623	0,6543099	0,6987350	0,8681983	0,1770720	0,7054647	0,1747258	0,0835444	0,1615719	0,4621210	0,4742783	0,9173404	0,1176079	0,7808813	0,1798045	0,5501021	0,6367262	0,1750623	0,5919926	0,9170533	0,8497014	0,3776213	0,8080251	0,2773581	0,5835643
840	0,6923210	0,3813407	0,2459809	0,4218428	0,2215269	0,1867526	0,1759466	0,5354075	0,6540061	0,6985678	0,8695872	0,1767302	0,7056979	0,1756254	0,0833655	0,1655568	0,4628335	0,4783602	0,9212017	0,1173210	0,7808831	0,1721453	0,5442269	0,6391390	0,1734195	0,6207423	0,9256894	0,8505361	0,3802777	0,8045616	0,2780265	0,5835049
860	0,6932639	0,3813743	0,2417801	0,4274585	0,2215269	0,1865818	0,1759749	0,5354277	0,6538038	0,6984885	0,8703169	0,1765128	0,7057797	0,1761631	0,0832522	0,1688015	0,4631073	0,4819159	0,9247811	0,1171471	0,7808836	0,1665158	0,5398306	0,6406230	0,1722532	0,6471837	0,9332939	0,8518396	0,3824299	0,8017783	0,2783977	0,5834274
880	0,6938905	0,3813211	0,2387029	0,4325514	0,2215269	0,1864368	0,1759964	0,5354340	0,6536849	0,6984610	0,8707047	0,1763837	0,7057954	0,1764889	0,0831810	0,1714016	0,4631898	0,4849306	0,9279786	0,1170424	0,7808836	0,1624219	0,5366048	0,6415434	0,1714283	0,6704652	0,9397572	0,8535452	0,3841271	0,7995898	0,2786014	0,5833628
900	0,6943088	0,3812368	0,2364749	0,4370220	0,2215269	0,1863184	0,1760089	0,5354343	0,6536242	0,6984604	0,8709156	0,1763132	0,7057875	0,1766901	0,0831366	0,1734695	0,4632013	0,4874318	0,9307534	0,1169800	0,7808834	0,1594706	0,5342820	0,6421229	0,1708471	0,6902962	0,9451077	0,8555328	0,3854414	0,7978983	0,2787148	0,5833183
920	0,6945893	0,3811524	0,2348771	0,4408388	0,2215269	0,1862294	0,1760148	0,5354329	0,6535994	0,6984709	0,8710340	0,1762791	0,7057743	0,1768169	0,0831091	0,1751091	0,4631938	0,4894705	0,9331064	0,1169432	0,7808832	0,1573584	0,5326391	0,6424947	0,1704388	0,7067691	0,9494501	0,8576707	0,3864467	0,7966087	0,2787814	0,5832914
940	0,6947778	0,3810824	0,2337404	0,4440207	0,2215269	0,1861679	0,1760170	0,5354314	0,6535938	0,6984841	0,8711028	0,1762658	0,7057626	0,1768981	0,0830921	0,1764069	0,4631863	0,4911081	0,9350644	0,1169217	0,7808831	0,1558557	0,5314963	0,6427379	0,1701524	0,7201943	0,9529222	0,8598394	0,3872086	0,7956361	0,2788241	0,5832770
960	0,6949048	0,3810310	0,2329369	0,4466193	0,2215269	0,1861284	0,1760173	0,5354304	0,6535971	0,6984957	0,8711441	0,1762633	0,7057541	0,1769506	0,0830818	0,1774321	0,4631834	0,4924075	0,9366686	0,1169092	0,7808831	0,1547920	0,5307136	0,6428998	0,1699518	0,7309774	0,9556667	0,8619427	0,3877816	0,7949094	0,2788545	0,5832703
980	0,6949902	0,3809969	0,2323721	0,4487044	0,2215269	0,1861042	0,1760171	0,5354299	0,6536031	0,6985045	0,8711695	0,1762656	0,7057484	0,1769846	0,0830754	0,1782396	0,4631845	0,4934279	0,9379657	0,1169019	0,7808831	0,1540424	0,5301847	0,6430090	0,1698112	0,7395404	0,9578168	0,8639115	0,3882095	0,7943704	0,2788778	0,5832679
1000	0,6950478	0,3809764	0,2319769	0,4503522	0,2215269	0,1860896	0,1760167	0,5354297	0,6536090	0,6985104	0,8711853	0,1762693	0,7057447	0,1770066	0,0830715	0,1788731	0,4631878	0,4942221	0,9390029	0,1168977	0,7808831	0,1535161	0,5298315	0,6430832	0,1697127	0,7462789	0,9594891	0,8657018	0,3885268	0,7939732	0,2788965	0,5832676
1020	0,6950864	0,3809655	0,2317014	0,4516374	0,2215269	0,1860806	0,1760165	0,5354296	0,6536136	0,6985141	0,8711953	0,1762728	0,7057424	0,1770207	0,0830691	0,1793680	0,4631919	0,4948355	0,9398242	0,1168953	0,7808831	0,1531478	0,5295976	0,6431340	0,1696436	0,7515417	0,9607819	0,8672912	0,3887606	0,7936820	0,2789115	0,5832682
1040	0,6951124	0,3809608	0,2315101	0,4526288	0,2215269	0,1860747	0,1760163	0,5354297	0,6536168	0,6985161	0,8712017	0,1762756	0,7057410	0,1770298	0,0830677	0,1797531	0,4631957	0,4953061	0,9404693	0,1168939	0,7808831	0,1528908	0,5294436	0,6431687	0,1695951	0,7556255	0,9617764	0,8686739	0,3889319	0,7934696	0,2789236	0,5832690
1060	0,6951299	0,3809596	0,2313777	0,4533864	0,2215269	0,1860706	0,1760163	0,5354297	0,6536188	0,6985170	0,8712057	0,1762776	0,7057401	0,1770356	0,0830668	0,1800516	0,4631989	0,4956650	0,9409720	0,1168930	0,7808831	0,1527119	0,5293423	0,6431924	0,1695611	0,7587764	0,9625377	0,8698560	0,3890569	0,7933153	0,2789330	0,5832697
1080	0,6951416	0,3809600	0,2312862	0,4539607	0,2215269	0,1860676	0,1760163	0,5354297	0,6536200	0,6985174	0,8712082	0,1762788	0,7057395	0,1770393	0,0830662	0,1802821	0,4632013	0,4959373	0,9413614	0,1168925	0,7808831	0,1525876	0,5292757	0,6432085	0,1695372	0,7611949	0,9631181	0,8708513	0,3891478	0,7932037	0,2789401	0,5832702
