"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
860	0,3566814	0,7049267	0,6571960	0,5992905	0,7153728	0,1387487	0,4706608	0,5070429	0,6878431	0,6879001	0,0806273	0,6089711	0,1822756	0,3605846	0,6236286	0,6432909	0,2253354	0,5661284	0,5229498	0,1820725	0,5316529	0,2522630	0,5143223	0,6950950	0,5414710	0,6240684	0,3367317	0,6502060	0,3136555	0,4840967	0,6506239	0,3645460
880	0,4858308	0,6530053	0,6138167	0,6679435	0,7924158	0,1853268	0,4199411	0,5300868	0,7057475	0,5821927	0,0603999	0,5655764	0,2339217	0,2806100	0,7409114	0,5747143	0,2733993	0,6584004	0,5691908	0,1919446	0,5199299	0,3043165	0,4830407	0,7663195	0,5490025	0,7697113	0,3374751	0,7557282	0,3674835	0,5504868	0,7109916	0,3294472
900	0,5042614	0,8223630	0,5181585	0,7696558	0,7054216	0,2269799	0,3987977	0,5795486	0,6823603	0,6476926	0,0717350	0,6030059	0,2244326	0,2203230	0,7363642	0,6405284	0,2639203	0,6160202	0,5699068	0,1943121	0,5664862	0,2700461	0,3548594	0,7392666	0,5678758	0,6945152	0,2763641	0,6622519	0,3450727	0,4356143	0,7805801	0,3975177
920	0,5333087	0,7233727	0,5268309	0,6694883	0,7507072	0,2095959	0,4700687	0,6228963	0,7879681	0,5847319	0,0468026	0,5892749	0,2179154	0,2423772	0,6093744	0,7150601	0,3730096	0,6188867	0,5780769	0,2238138	0,5095059	0,3255409	0,4668812	0,8272547	0,5868817	0,6341125	0,3358892	0,6242513	0,3838063	0,5369126	0,6845419	0,5398316
940	0,4621249	0,6496721	0,5504091	0,6098824	0,6504116	0,1479853	0,5136245	0,4474622	0,6663077	0,6360495	0,0541998	0,6813950	0,2075464	0,2241393	0,5879474	0,7646689	0,2245421	0,6331954	0,6317791	0,2202035	0,5244670	0,3167790	0,4628127	0,6801691	0,5415582	0,7042432	0,2544408	0,6982627	0,4812684	0,6292506	0,6288844	0,3317558
960	0,3413714	0,9897867	0,6082488	0,5652625	0,6593424	0,2277124	0,4580691	0,4478399	0,6585316	0,6466775	0,0551434	0,5471225	0,1824179	0,2816878	0,6811898	0,6491547	0,3061160	0,6325340	0,6445073	0,2236438	0,5407448	0,2722810	0,4718305	0,8475905	0,5431039	0,7891891	0,3719465	0,6192796	0,4344074	0,5699172	0,6908299	0,4165980
980	0,3646507	0,7111767	0,6426148	0,6500336	0,5615405	0,2198144	0,4818916	0,4332779	0,7205311	0,6857691	0,0652209	0,5283896	0,1288853	0,3205909	0,7514406	0,8008235	0,3315527	0,5939232	0,6402631	0,2176913	0,5068475	0,2828276	0,5466603	0,6720945	0,6366202	0,7017412	0,2768192	0,5903562	0,2979121	0,5798423	0,6685541	0,3326297
1000	0,4284362	0,7509065	0,5463261	0,5720637	0,7313945	0,2581095	0,3684623	0,4876899	0,7315801	0,7227295	0,0651543	0,7476376	0,1273021	0,3619927	0,8216464	0,7851933	0,2612416	0,6120302	0,7020861	0,1821031	0,5098201	0,2422808	0,4197730	0,6584961	0,5270611	0,6649681	0,3845887	0,7054756	0,3485596	0,6716348	0,6043383	0,3381723
1020	0,4117071	0,8680104	0,5763089	0,6050725	0,6768708	0,2197033	0,3933552	0,6380495	0,6439549	0,8084034	0,0357505	0,6137231	0,1404883	0,2542014	0,7540842	0,7514008	0,2925077	0,6281533	0,6605855	0,2288938	0,5498064	0,3196710	0,4123355	0,6580001	0,4722601	0,7644831	0,3661386	0,6175612	0,3539862	0,5379182	0,7103247	0,5219971
1040	0,4681749	0,6920560	0,5474980	0,7506888	0,7644153	0,2220631	0,5341323	0,5484118	0,7093662	0,7958433	0,0409980	0,6141175	0,1162718	0,2774498	0,6908338	0,7268374	0,3078974	0,4713340	0,6079824	0,2175987	0,6623133	0,3244269	0,4635038	0,7727832	0,4802200	0,6974371	0,4640071	0,6805040	0,3660371	0,6246551	0,6457903	0,4966485
1060	0,3742125	0,8653872	0,5782637	0,6919201	0,7470259	0,2422829	0,4701781	0,5515494	0,6611786	0,7735850	0,0328937	0,6781400	0,1295124	0,2869277	0,7281196	0,8462663	0,2600421	0,4063770	0,5709848	0,2178517	0,6316109	0,2816720	0,3412409	0,6457578	0,4436275	0,6904246	0,4213061	0,7276762	0,4399011	0,5297462	0,7355693	0,5198630
1080	0,4267514	0,7442492	0,6223889	0,6796366	0,7329658	0,2182069	0,5661797	0,5564142	0,6674883	0,7218766	0,0580804	0,8340319	0,1198370	0,2575323	0,8373509	0,9110682	0,2262060	0,6142725	0,6964359	0,2075017	0,6192152	0,2797543	0,3418860	0,7729679	0,5004292	0,7077981	0,3575040	0,7077022	0,3316993	0,5865550	0,6714668	0,3963240
1100	0,4341352	0,7174396	0,5914571	0,6493019	0,6973282	0,1974101	0,5043729	0,4625026	0,6843552	0,7244222	0,0559774	0,6656401	0,1704740	0,2034557	0,8007328	0,7921962	0,2409124	0,6072867	0,6482599	0,2333809	0,6970009	0,2202467	0,3999514	0,7740502	0,5374002	0,7216973	0,3001998	0,6993222	0,3890814	0,6347222	0,5623965	0,4646079

0	0,4907101	0,6068083	0,6087495	0,7037803	0,5757264	0,1860843	0,4992126	0,4076718	0,6755638	0,6807536	0,0806309	0,6853998	0,1700320	0,3601019	0,8049712	0,6176830	0,2754781	0,4859707	0,5852746	0,1804605	0,6570492	0,3493352	0,4391644	0,6962487	0,4928563	0,7565162	0,3934433	0,7026122	0,3010360	0,6581248	0,6706900	0,5192938
20	0,4702758	0,8041913	0,6579929	0,6308275	0,6349888	0,1966832	0,4400051	0,5138424	0,8320908	0,7335104	0,0588977	0,7221071	0,1835784	0,2508286	0,6276796	0,8025187	0,2320709	0,6344476	0,7301512	0,1989054	0,5515560	0,3758463	0,4965641	0,7660267	0,4825931	0,6869284	0,3374716	0,7735825	0,5973048	0,5166094	0,8001489	0,4060559
40	0,4701249	0,8264412	0,6360629	0,7090065	0,6146351	0,2522445	0,5220559	0,4705742	0,6217996	0,6442604	0,0730556	0,7487284	0,1327937	0,2519775	0,6579436	0,6894858	0,1760562	0,6113221	0,6973454	0,2046689	0,5180193	0,4372262	0,5399503	0,6078983	0,5734139	0,7115737	0,4075514	0,6334966	0,5311516	0,5859956	0,7495087	0,4942209
60	0,4479660	0,6290967	0,6663729	0,6784261	0,6272928	0,2407838	0,5931162	0,5158282	0,6605312	0,7070562	0,0498564	0,7489705	0,1131705	0,2270459	0,6608337	0,6757060	0,2690030	0,4821999	0,7397933	0,1750506	0,7499092	0,5256286	0,4765426	0,7092779	0,5728809	0,7862053	0,5117035	0,6603703	0,5915533	0,5944762	0,7722803	0,5151334
80	0,4802340	0,8844287	0,5760211	0,8227288	0,6850693	0,2462107	0,5258701	0,5507241	0,6823045	0,7870396	0,0436597	0,7371728	0,0734393	0,2694344	0,7061509	0,5701986	0,2517760	0,5029284	0,8065157	0,2353785	0,6642195	0,4852352	0,3923374	0,7031971	0,6980625	0,7910567	0,3818014	0,6437253	0,8245355	0,4903060	0,7302823	0,5706494
