"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
840	0,4577374	0,1848956	0,4546759	0,6208248	0,8691510	1,0993442	0,7817796	0,7903215	0,4004952	0,8494195	1,0473688	0,8512897	0,6593610	1,1193564	0,8479607	0,6056256	0,3637586	0,0524091	0,9451184	0,2775246	0,4622160	0,5019038	0,0100323	0,1563932	0,5467292	0,4606200	0,7656873	0,3862422	0,2717230	0,9650777	0,7255092	0,9278864
860	0,4838624	0,2168612	0,4761010	0,6335408	0,9266378	1,0328263	0,8355598	0,8263886	0,4029177	0,8745873	1,0463441	0,8619327	0,7329926	1,0567641	0,8700005	0,6509498	0,3408432	0,0561395	0,9547900	0,2657631	0,4569692	0,4506078	0,0064778	0,1011232	0,5261691	0,4829935	0,7732185	0,4409964	0,2968858	0,9411743	0,7724019	0,9566912
880	0,4744219	0,2297027	0,4377328	0,6248397	0,9438341	1,0758434	0,8544776	0,8131035	0,4327929	0,7744766	1,0308636	0,9244680	0,7541249	1,0342480	0,8251578	0,5891405	0,3495136	0,0615337	0,9889360	0,2450339	0,4201261	0,4464400	0,0119521	0,1104009	0,5195427	0,5091161	0,7620087	0,3861058	0,2699960	0,8415932	0,7954629	1,0075626
900	0,4773486	0,2303544	0,4093016	0,6337255	0,9023476	0,9846637	0,8750701	0,7843015	0,4054088	0,8427539	1,0105678	0,8857602	0,7162833	1,0153999	0,8018648	0,5613925	0,3092387	0,0517312	0,9669893	0,2492868	0,3629320	0,4640919	0,0071076	0,1481620	0,5992818	0,5376721	0,7228688	0,4096280	0,2749009	0,8877725	0,8568007	1,0602915
920	0,5073804	0,2006556	0,3808159	0,6200811	0,8916752	1,0353803	0,9213351	0,8778455	0,4061089	0,9367303	0,9741497	0,9116757	0,6603182	1,0230209	0,8029112	0,5380477	0,3160104	0,0650981	0,9870383	0,2465159	0,3855753	0,4130381	0,0047412	0,1419749	0,6045848	0,5264237	0,7179642	0,4615893	0,2494700	0,9592571	0,8470742	0,9692247
940	0,5373710	0,2205064	0,4282800	0,6008561	0,8876936	0,9727442	0,9040598	0,8538712	0,4204928	0,9107345	1,0372612	0,8957612	0,6968254	1,0645889	0,7888150	0,5192247	0,3433254	0,0605617	1,0583143	0,2399724	0,3783092	0,4163964	0,0121148	0,1193856	0,5848270	0,4868586	0,7263052	0,4711112	0,3193185	0,9414169	0,8633117	1,0032529
960	0,4887320	0,1896758	0,4657504	0,6458884	0,8963653	0,9179907	0,8510684	0,8489149	0,3692171	0,9582938	1,1314967	0,8809659	0,6609590	1,0644235	0,8494899	0,5645655	0,3339512	0,0649627	1,1379518	0,2629078	0,4514686	0,4805762	0,0053360	0,2060408	0,6098254	0,4768797	0,7052121	0,5502488	0,3723783	0,9444997	0,7333366	1,0227540
980	0,5058492	0,2019771	0,4671147	0,6928565	1,0145179	0,8702458	0,8369048	0,8083252	0,3636415	0,9329853	1,0796802	0,9638164	0,7445694	1,0433316	0,9185444	0,6094022	0,3623725	0,0770894	1,0915586	0,3427220	0,4583626	0,4642837	0,0098579	0,1543824	0,6100450	0,5394255	0,7207005	0,5125789	0,3927859	0,9478560	0,6633607	1,0386310
1000	0,5045719	0,1934621	0,4809541	0,6649708	0,9851264	1,0010088	0,8920193	0,7753821	0,3259946	0,9607215	1,0616230	0,9080331	0,7287653	1,0329464	0,9209081	0,6021375	0,3501730	0,0546848	1,0248405	0,3607383	0,4631814	0,5164201	0,0129949	0,1607933	0,5953842	0,4698763	0,7337391	0,5221835	0,3865086	0,9574666	0,6265119	1,0397998
1020	0,5015294	0,1740739	0,4811140	0,6777799	0,9414291	0,9812265	0,8468501	0,8340267	0,3671774	0,9696453	1,0702536	0,8718583	0,7486641	1,0724266	0,9040624	0,6575578	0,3824526	0,0641147	1,0256814	0,3493946	0,4778638	0,5236785	0,0184276	0,1307418	0,6087353	0,5240607	0,7475097	0,4857647	0,3685137	0,9362882	0,6503242	1,0163489
