"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
900	0,0920408	0,0436353	0,6418295	1,0000000	1,0000000	0,1474218	0,9999961	0,0471991	0,3428594	1,0000000	0,6321795	0,9757361	0,8720714	0,5758465	0,7717078	0,0293285	0,0911859	0,4215432	0,0781027	0,0158817	0,8232665	0,5033026	0,5104943	0,0167199	0,1419158	0,9674537	0,3421468	0,9977454	0,0321628	0,5471453	0,1145774	0,0041873
920	0,0920408	0,0436353	0,6417914	1,0000000	1,0000000	0,1474262	0,9999977	0,0471991	0,3428589	1,0000000	0,6320841	0,9757293	0,8720601	0,5758481	0,7717078	0,0293285	0,0911944	0,4214861	0,0781027	0,0158817	0,8231795	0,5031780	0,5105019	0,0165817	0,1419158	0,9674489	0,3422244	0,9977451	0,0321628	0,5471732	0,1145774	0,0041873
940	0,0920408	0,0436353	0,6417647	1,0000000	1,0000000	0,1474288	0,9999987	0,0471991	0,3428585	1,0000000	0,6320151	0,9757245	0,8720518	0,5758493	0,7717078	0,0293285	0,0912004	0,4214509	0,0781027	0,0158817	0,8231139	0,5030968	0,5105073	0,0164935	0,1419158	0,9674453	0,3422792	0,9977450	0,0321628	0,5471926	0,1145774	0,0041873
960	0,0920408	0,0436353	0,6417461	1,0000000	1,0000000	0,1474302	0,9999992	0,0471991	0,3428582	1,0000000	0,6319656	0,9757211	0,8720458	0,5758502	0,7717078	0,0293285	0,0912044	0,4214291	0,0781027	0,0158817	0,8230650	0,5030439	0,5105112	0,0164373	0,1419158	0,9674428	0,3423177	0,9977448	0,0321628	0,5472061	0,1145774	0,0041873
980	0,0920408	0,0436353	0,6417332	1,0000000	1,0000000	0,1474310	0,9999995	0,0471991	0,3428580	1,0000000	0,6319300	0,9757187	0,8720415	0,5758509	0,7717078	0,0293285	0,0912072	0,4214157	0,0781027	0,0158817	0,8230287	0,5030095	0,5105140	0,0164014	0,1419158	0,9674410	0,3423445	0,9977447	0,0321628	0,5472154	0,1145774	0,0041873
1000	0,0920408	0,0436353	0,6417242	1,0000000	1,0000000	0,1474315	0,9999997	0,0471991	0,3428579	1,0000000	0,6319047	0,9757170	0,8720383	0,5758513	0,7717078	0,0293285	0,0912091	0,4214074	0,0781027	0,0158817	0,8230021	0,5029871	0,5105159	0,0163785	0,1419158	0,9674397	0,3423631	0,9977446	0,0321628	0,5472219	0,1145774	0,0041873
1020	0,0920408	0,0436353	0,6417180	1,0000000	1,0000000	0,1474318	0,9999998	0,0471991	0,3428578	1,0000000	0,6318866	0,9757158	0,8720361	0,5758516	0,7717078	0,0293285	0,0912104	0,4214024	0,0781027	0,0158817	0,8229827	0,5029726	0,5105173	0,0163639	0,1419158	0,9674388	0,3423760	0,9977446	0,0321629	0,5472263	0,1145774	0,0041873
1040	0,0920408	0,0436353	0,6417138	1,0000000	1,0000000	0,1474319	0,9999999	0,0471991	0,3428577	1,0000000	0,6318738	0,9757149	0,8720345	0,5758518	0,7717078	0,0293285	0,0912112	0,4213992	0,0781027	0,0158817	0,8229686	0,5029632	0,5105182	0,0163546	0,1419158	0,9674381	0,3423849	0,9977445	0,0321629	0,5472293	0,1145774	0,0041873
1060	0,0920408	0,0436353	0,6417108	1,0000000	1,0000000	0,1474320	0,9999999	0,0471991	0,3428577	1,0000000	0,6318648	0,9757144	0,8720333	0,5758520	0,7717078	0,0293285	0,0912118	0,4213973	0,0781027	0,0158817	0,8229585	0,5029572	0,5105189	0,0163487	0,1419158	0,9674376	0,3423910	0,9977445	0,0321629	0,5472314	0,1145774	0,0041873
1080	0,0920408	0,0436353	0,6417088	1,0000000	1,0000000	0,1474321	1,0000000	0,0471991	0,3428576	1,0000000	0,6318585	0,9757140	0,8720325	0,5758521	0,7717078	0,0293285	0,0912122	0,4213961	0,0781027	0,0158817	0,8229512	0,5029533	0,5105194	0,0163449	0,1419158	0,9674373	0,3423952	0,9977445	0,0321629	0,5472329	0,1145774	0,0041873
1100	0,0920409	0,0436353	0,6417074	1,0000000	1,0000000	0,1474321	1,0000000	0,0471991	0,3428576	1,0000000	0,6318540	0,9757137	0,8720319	0,5758521	0,7717078	0,0293285	0,0912125	0,4213954	0,0781027	0,0158817	0,8229460	0,5029507	0,5105197	0,0163424	0,1419158	0,9674371	0,3423980	0,9977444	0,0321629	0,5472338	0,1145774	0,0041873

0	0,0918836	0,0436353	0,6417045	1,0000000	1,0000000	0,1474322	1,0000000	0,0471991	0,3428583	1,0000000	0,6318444	0,9757130	0,8720311	0,5758523	0,7717079	0,0293212	0,0912131	0,4209271	0,0781002	0,0158817	0,8229347	0,5029445	0,5105200	0,0163382	0,1419158	0,9674366	0,3424042	0,9977410	0,0320101	0,5472359	0,1145774	0,0041873
20	0,0919072	0,0436353	0,6424226	1,0000000	0,7378107	0,1492375	0,9174232	0,0471991	0,3478969	0,1584725	0,6314090	0,9757838	0,8716645	0,5757817	0,7717080	0,0943724	0,0906580	0,6242212	0,0781006	0,0158817	0,8229403	0,5343604	0,5104331	0,0163382	0,1878496	0,9697280	0,3405491	0,9977421	0,2365476	0,7342885	0,7453296	0,0711156
40	0,0919273	0,0436353	0,6460130	1,0000000	0,5748947	0,1590046	0,8691160	0,0471991	0,3697629	0,0721834	0,6292060	0,9761027	0,8698520	0,5754565	0,7717085	0,1394800	0,0885589	0,7496874	0,0781009	0,0158817	0,8230640	0,5540418	0,5099882	0,0163382	0,2195095	0,9709653	0,3319694	0,9977431	0,3783763	0,8363601	0,9136381	0,1186626
60	0,0919444	0,0436353	0,6528571	1,0000000	0,4736638	0,1803715	0,8408564	0,0471991	0,4074391	0,0633354	0,6248686	0,9766217	0,8665072	0,5748928	0,7717098	0,1707584	0,0857317	0,8271223	0,0781012	0,0158817	0,8236032	0,5653309	0,5091153	0,0163382	0,2413310	0,9716655	0,3173287	0,9977447	0,4767221	0,8917186	0,9585491	0,1524409
80	0,0919589	0,0436353	0,6621294	1,0000000	0,4107622	0,2150029	0,8243245	0,0471991	0,4553449	0,0624281	0,6185631	0,9772120	0,8621262	0,5741898	0,7717120	0,1924474	0,0830220	0,8749146	0,0781014	0,0158817	0,8248676	0,5709091	0,5078833	0,0163382	0,2563715	0,9721144	0,2996312	0,9977477	0,5449165	0,9214788	0,9705330	0,1764375
100	0,0919712	0,0436353	0,6724834	1,0000000	0,3716772	0,2623327	0,8146534	0,0471991	0,5073635	0,0623351	0,6106458	0,9777727	0,8573103	0,5734473	0,7717153	0,2074869	0,0807944	0,9044127	0,0781016	0,0158817	0,8270045	0,5728139	0,5064192	0,0163382	0,2667381	0,9724605	0,2816518	0,9977524	0,5922037	0,9372777	0,9737307	0,1934851
120	0,0919817	0,0436353	0,6825139	1,0000000	0,3473910	0,3190213	0,8089959	0,0471990	0,5583694	0,0623256	0,6016067	0,9782512	0,8525587	0,5727405	0,7717196	0,2179156	0,0791008	0,9226202	0,0781018	0,0158817	0,8299392	0,5725254	0,5048627	0,0163382	0,2738833	0,9727691	0,2652035	0,9977586	0,6249937	0,9455153	0,9745840	0,2055960
140	0,0919906	0,0436353	0,6911166	1,0000000	0,3323003	0,3796976	0,8056862	0,0471990	0,6048623	0,0623246	0,5920369	0,9786320	0,8482030	0,5721146	0,7717249	0,2251470	0,0778654	0,9338594	0,0781019	0,0158817	0,8334160	0,5710675	0,5033363	0,0163382	0,2788081	0,9730589	0,2511652	0,9977658	0,6477310	0,9496993	0,9748116	0,2141998
160	0,0919982	0,0436353	0,6976918	1,0000000	0,3229234	0,4387658	0,8037501	0,0471990	0,6449835	0,0623245	0,5825356	0,9789203	0,8444165	0,5715896	0,7717308	0,2301615	0,0769841	0,9407978	0,0781021	0,0158817	0,8370910	0,5691093	0,5019293	0,0163382	0,2822025	0,9733260	0,2397531	0,9977733	0,6634977	0,9517411	0,9748724	0,2203121
180	0,0920046	0,0436353	0,7021552	1,0000000	0,3170969	0,4920054	0,8026174	0,0471990	0,6781770	0,0623245	0,5735985	0,9791296	0,8412528	0,5711672	0,7717370	0,2336386	0,0763627	0,9450817	0,0781022	0,0158817	0,8406308	0,5670586	0,5006939	0,0163382	0,2845421	0,9735600	0,2307995	0,9977806	0,6744309	0,9526739	0,9748885	0,2246544
200	0,0920100	0,0436353	0,7047947	1,0000000	0,3134766	0,5371682	0,8019548	0,0471990	0,7047465	0,0623245	0,5655505	0,9792749	0,8386890	0,5708385	0,7717430	0,2360498	0,0759277	0,9477272	0,0781022	0,0158817	0,8437809	0,5651412	0,4996507	0,0163382	0,2861547	0,9737527	0,2239598	0,9977871	0,6820125	0,9530497	0,9748929	0,2277392
220	0,0920147	0,0436353	0,7060697	1,0000000	0,3112270	0,5737223	0,8015672	0,0471990	0,7254617	0,0623245	0,5585447	0,9793702	0,8366608	0,5705893	0,7717484	0,2377217	0,0756243	0,9493612	0,0781023	0,0158817	0,8463946	0,5634637	0,4987972	0,0163382	0,2872662	0,9739013	0,2188414	0,9977925	0,6872699	0,9531584	0,9748940	0,2299307
240	0,0920186	0,0436353	0,7064455	1,0000000	0,3098291	0,6022556	0,8013404	0,0471990	0,7412733	0,0623245	0,5526027	0,9794277	0,8350872	0,5704042	0,7717531	0,2388811	0,0754133	0,9503707	0,0781024	0,0158817	0,8484278	0,5620598	0,4981166	0,0163382	0,2880323	0,9740081	0,2150728	0,9977968	0,6909157	0,9531491	0,9748943	0,2314876
