"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
880	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427392	0,7068141	0,0508540	0,0271144	0,3480164	0,1844920	0,1467013	0,5064481	0,5889542	0,7030637	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293877	0,0416028	0,7714438	0,0190640	0,2773802
900	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427393	0,7068141	0,0508540	0,0271144	0,3480164	0,1849076	0,1467013	0,5089212	0,5889543	0,7032425	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293813	0,0416028	0,7714275	0,0190640	0,2773802
920	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427393	0,7068141	0,0508540	0,0271144	0,3480164	0,1852026	0,1467013	0,5107835	0,5889544	0,7033534	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293776	0,0416028	0,7714184	0,0190640	0,2773802
940	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427393	0,7068141	0,0508540	0,0271144	0,3480164	0,1854115	0,1467013	0,5121817	0,5889545	0,7034221	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293755	0,0416028	0,7714132	0,0190640	0,2773801
960	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427394	0,7068141	0,0508540	0,0271144	0,3480164	0,1855589	0,1467013	0,5132287	0,5889545	0,7034647	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293744	0,0416028	0,7714103	0,0190640	0,2773801
980	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427394	0,7068141	0,0508540	0,0271144	0,3480164	0,1856626	0,1467013	0,5140108	0,5889546	0,7034910	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293737	0,0416028	0,7714087	0,0190640	0,2773801
1000	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427394	0,7068141	0,0508540	0,0271144	0,3480164	0,1857355	0,1467013	0,5145938	0,5889546	0,7035073	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293733	0,0416028	0,7714078	0,0190640	0,2773801
1020	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427394	0,7068141	0,0508540	0,0271144	0,3480164	0,1857866	0,1467013	0,5150276	0,5889547	0,7035174	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293731	0,0416028	0,7714073	0,0190640	0,2773801
1040	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427394	0,7068141	0,0508540	0,0271144	0,3480164	0,1858223	0,1467013	0,5153498	0,5889547	0,7035237	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293730	0,0416028	0,7714070	0,0190640	0,2773801
1060	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427395	0,7068141	0,0508540	0,0271144	0,3480164	0,1858473	0,1467013	0,5155888	0,5889547	0,7035275	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293729	0,0416028	0,7714069	0,0190640	0,2773801
