"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
700	0,3282377	0,6204151	0,2936504	0,0772281	0,8209838	0,4509219	0,5051730	0,3232875	0,2976674	0,6200811	0,6064606	0,5002451	0,7018608	0,6990748	0,5141538	0,6591057	0,0528446	0,6733726	0,5382060	0,6962467	0,0998574	0,1462605	0,0915046	0,6551869	0,5469559	0,1860034	0,4675557	0,5379478	0,7648914	0,5651013	0,3100186	0,4207486
720	0,4225692	0,7190287	0,3901234	0,1659427	0,7692053	0,4651601	0,4735562	0,3256782	0,3578682	0,5090339	0,6623542	0,4807126	0,6572447	0,6021750	0,5736624	0,5778089	0,0422533	0,6509752	0,4893734	0,7883868	0,0842107	0,1291217	0,0509199	0,6799727	0,4894453	0,1598401	0,5769756	0,4962143	0,6925310	0,3380703	0,4098311	0,4180383
740	0,3570065	0,8109976	0,3269402	0,1076474	0,7030267	0,4494605	0,4919230	0,2897783	0,2908770	0,5580044	0,8550823	0,4699654	0,7000242	0,6032060	0,5518113	0,6778024	0,0702855	0,7039012	0,5766264	0,6649543	0,0964805	0,1485162	0,0471954	0,7808475	0,5241986	0,1525165	0,5632358	0,7096616	0,6965809	0,3716450	0,5215609	0,4060608
760	0,2858431	0,8457351	0,3605615	0,1953391	0,5928316	0,5059667	0,4589221	0,2530795	0,2569160	0,5611284	0,7770114	0,4616552	0,8341297	0,5422398	0,6557713	0,6399755	0,0265908	0,6821292	0,5356396	0,7830581	0,0646940	0,1254912	0,0232977	0,6676974	0,4261027	0,1556061	0,5143308	0,5799145	0,7944989	0,3515041	0,4258102	0,4741326
780	0,3754482	0,8323527	0,2952703	0,1292570	0,6469088	0,5011385	0,4891321	0,2434158	0,2672007	0,4993567	0,6963614	0,4284008	0,6986869	0,7574940	0,6667431	0,5944464	0,0144628	0,6650368	0,5245058	0,5935880	0,0694992	0,1359828	0,0649235	0,6351687	0,4311880	0,1962373	0,6697706	0,6251615	0,7704347	0,3556165	0,3795821	0,4851808
800	0,2425182	0,9119491	0,3450424	0,1486241	0,7296711	0,4905206	0,4826774	0,2103427	0,3112941	0,5601695	0,7352749	0,5476489	0,5770640	0,5969690	0,7187081	0,5543916	0,0250068	0,6722019	0,6215235	0,6156164	0,0859633	0,0952224	0,0566317	0,5687489	0,3519645	0,1667888	0,5559561	0,6583090	0,7194991	0,4051017	0,4924535	0,4213132
820	0,2457139	0,7252096	0,3600569	0,1066461	0,6626823	0,5016952	0,5908108	0,2232341	0,2220561	0,5023681	0,7974485	0,4804350	0,7381865	0,6524225	0,5406266	0,5825078	0,0351726	0,5713019	0,6047263	0,6812064	0,1074704	0,0857461	0,0449855	0,6656179	0,5018325	0,1369689	0,6064329	0,6042340	0,8184542	0,3808458	0,4608632	0,4437104
840	0,3444421	0,6838984	0,3523343	0,1406596	0,6423035	0,4593656	0,5811532	0,3216739	0,2841132	0,5867791	0,6583578	0,4549612	0,6435444	0,5047136	0,6428913	0,4893189	0,0788383	0,7066579	0,5283719	0,6140305	0,1257005	0,1223132	0,0627600	0,6507494	0,4481430	0,1824500	0,6083056	0,6576230	0,6822425	0,3289495	0,4204693	0,5265284
860	0,2712014	0,8137272	0,4577663	0,0941657	0,5941855	0,4605123	0,5696014	0,2572142	0,2366929	0,5858575	0,6964152	0,4850578	0,7704234	0,5520836	0,5282710	0,3955556	0,0234254	0,8186853	0,7568503	0,5785620	0,0861036	0,1270118	0,0518934	0,6163568	0,3944821	0,2106369	0,6685811	0,4464590	0,6436504	0,3060943	0,4936200	0,3966547
880	0,3447782	0,8192229	0,2630879	0,1183926	0,7458883	0,3876665	0,4846891	0,2362490	0,4350278	0,5326607	0,7104707	0,5602370	0,7230384	0,5847157	0,6978107	0,4569050	0,0674516	0,7025459	0,6129584	0,5629962	0,0877950	0,1044843	0,0583964	0,6641898	0,4966346	0,2036664	0,7406576	0,5331353	0,5491345	0,3615584	0,5585570	0,4471221
