"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
780	0,5341342	0,6552547	0,5112023	0,7082969	0,0980825	0,3173644	0,0121828	0,0246615	0,4967002	0,4691799	0,0341163	0,0244501	0,2984166	0,1811681	0,1061788	0,4034340	0,6023945	0,5633815	0,4006260	0,0015382	0,7098247	0,4154307	0,0598077	0,6669856	0,0291710	0,0936125	0,0388912	0,6114105	0,0312026	0,6219392	0,0239809	0,2061970
800	0,7746506	0,7071182	0,6147297	0,9130093	0,0659390	0,2832942	0,0224875	0,0334210	0,4889167	0,5107617	0,0232894	0,0540276	0,2466698	0,1307093	0,1580041	0,4449808	0,5700519	0,5587319	0,5681931	0,0070717	0,6645858	0,3025681	0,0960594	0,7625197	0,0260642	0,0958730	0,0293016	0,8065113	0,0247109	0,4956036	0,0054274	0,2296092
820	0,8778549	0,6394369	0,5826689	0,8203268	0,0631890	0,4540944	0,0130006	0,0317448	0,4956983	0,4378669	0,0335515	0,0144941	0,2177396	0,1420565	0,1443901	0,4418225	0,5479491	0,5703964	0,4443975	0,0147484	0,7533736	0,3803398	0,0576307	0,6373014	0,0129540	0,1364199	0,0371456	0,7142526	0,0217382	0,4359700	0,0282996	0,2845464
840	0,7732457	0,6924432	0,5199026	0,7951847	0,0449331	0,3852898	0,0186307	0,0756433	0,5163987	0,4365403	0,0334154	0,0148179	0,2473190	0,1426404	0,1048309	0,4286822	0,5198209	0,6265455	0,4938499	0,0111271	0,7234148	0,2973643	0,0483436	0,5011751	0,0175455	0,1162523	0,0671554	0,6358866	0,0368926	0,4450035	0,0291862	0,2482451
860	0,6750959	0,6422403	0,5290003	0,7373477	0,0813263	0,3580029	0,0105106	0,0333456	0,5109356	0,4240116	0,0217791	0,0131618	0,2722180	0,1411483	0,1224557	0,4212445	0,4979328	0,5749491	0,5235906	0,0112223	0,6118657	0,3257263	0,0679477	0,4567808	0,0102347	0,1401191	0,0569529	0,6938939	0,0302371	0,5324818	0,0521251	0,2543386
880	0,5992211	0,6724950	0,5433323	0,6753072	0,0767017	0,3354214	0,0127745	0,0280179	0,4915663	0,5553859	0,0403328	0,0107499	0,2719098	0,1783788	0,1099197	0,4257869	0,5524222	0,4603231	0,5270152	0,0022467	0,6471841	0,4140621	0,0542133	0,6021629	0,0306416	0,0785499	0,0422858	0,6717899	0,0351819	0,6414917	0,0336865	0,2382914
900	0,6841313	0,8524653	0,5850345	0,7846391	0,0318228	0,3974024	0,0095636	0,0241939	0,5560151	0,4623913	0,0304154	0,0250507	0,3454641	0,1660953	0,1159816	0,3896252	0,4217915	0,5370450	0,5394347	0,0082061	0,6717180	0,3280230	0,0760635	0,4692578	0,0207352	0,0787382	0,0350602	0,6408181	0,0342718	0,6063404	0,0306330	0,1888227
920	0,7851365	0,7038777	0,5568805	0,6569875	0,0391826	0,4354176	0,0139041	0,0165916	0,4985275	0,5524662	0,0670287	0,0124598	0,2544670	0,1529965	0,1289165	0,4111714	0,5219903	0,5629573	0,5642000	0,0101088	0,7834579	0,3315352	0,0620595	0,4923123	0,0144907	0,0854558	0,0517617	0,6722244	0,0702459	0,5849624	0,0181609	0,1550326
940	0,7203541	0,7511267	0,6564817	0,6470428	0,0328682	0,3801183	0,0100200	0,0310353	0,5748174	0,5378689	0,0486087	0,0238572	0,2634473	0,1763652	0,1542226	0,3786510	0,5686429	0,7114553	0,5634020	0,0075844	0,6339195	0,3195662	0,1005370	0,4979246	0,0545976	0,0936077	0,0484681	0,8134856	0,0322038	0,6005669	0,0152463	0,2006127
960	0,7941038	0,6386523	0,6592021	0,7526583	0,0547612	0,3370141	0,0050986	0,0354954	0,6346631	0,5623405	0,0638757	0,0198729	0,2519485	0,1566624	0,1731273	0,3364851	0,5821539	0,5191115	0,6054720	0,0113339	0,7820352	0,3438723	0,1153557	0,5469176	0,0210171	0,1065285	0,0461376	0,5963872	0,0164856	0,5560539	0,0100107	0,1922902
