"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
880	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4333509	0,5184762	0,3183038	0,7084634	0,1073787	0,5673756	0,5787500	0,5339935	0,3129366	0,3085485	0,9813395	0,0515829	0,9747399	0,0270946	0,0503956	0,3406517	0,8406760	0,0567970	0,9979673	0,7801901	0,9940654	0,0018666	0,9879834	0,3796094
900	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4333314	0,5185872	0,3183038	0,7084634	0,1073452	0,5668973	0,5787500	0,5340245	0,3129366	0,3085485	0,9813316	0,0515829	0,9747399	0,0270946	0,0503956	0,3404879	0,8406512	0,0567970	0,9979673	0,7801888	0,9940654	0,0018567	0,9879834	0,3796094
920	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4333174	0,5186356	0,3183038	0,7084634	0,1073239	0,5665474	0,5787500	0,5340255	0,3129366	0,3085485	0,9813264	0,0515829	0,9747399	0,0270946	0,0503956	0,3403824	0,8406354	0,0567970	0,9979673	0,7801881	0,9940654	0,0018516	0,9879834	0,3796094
940	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4333076	0,5186449	0,3183038	0,7084634	0,1073106	0,5662925	0,5787500	0,5340125	0,3129366	0,3085485	0,9813230	0,0515829	0,9747399	0,0270946	0,0503956	0,3403144	0,8406252	0,0567970	0,9979673	0,7801877	0,9940654	0,0018490	0,9879834	0,3796094
960	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4333009	0,5186343	0,3183038	0,7084634	0,1073022	0,5661075	0,5787500	0,5339960	0,3129366	0,3085485	0,9813207	0,0515829	0,9747399	0,0270946	0,0503956	0,3402707	0,8406187	0,0567970	0,9979673	0,7801875	0,9940654	0,0018476	0,9879834	0,3796094
980	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332963	0,5186173	0,3183038	0,7084634	0,1072970	0,5659737	0,5787500	0,5339817	0,3129366	0,3085485	0,9813192	0,0515829	0,9747399	0,0270946	0,0503956	0,3402425	0,8406145	0,0567970	0,9979673	0,7801874	0,9940654	0,0018469	0,9879834	0,3796094
1000	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332933	0,5186013	0,3183038	0,7084634	0,1072938	0,5658772	0,5787500	0,5339716	0,3129366	0,3085485	0,9813182	0,0515829	0,9747399	0,0270946	0,0503956	0,3402244	0,8406119	0,0567970	0,9979673	0,7801873	0,9940654	0,0018465	0,9879834	0,3796094
1020	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332912	0,5185895	0,3183038	0,7084634	0,1072919	0,5658078	0,5787500	0,5339658	0,3129366	0,3085485	0,9813175	0,0515829	0,9747399	0,0270946	0,0503956	0,3402127	0,8406102	0,0567970	0,9979673	0,7801873	0,9940654	0,0018463	0,9879834	0,3796094
1040	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332899	0,5185822	0,3183038	0,7084634	0,1072907	0,5657580	0,5787500	0,5339631	0,3129366	0,3085485	0,9813171	0,0515829	0,9747399	0,0270946	0,0503956	0,3402051	0,8406091	0,0567970	0,9979673	0,7801872	0,9940654	0,0018462	0,9879834	0,3796094
1060	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332890	0,5185787	0,3183038	0,7084634	0,1072900	0,5657223	0,5787500	0,5339625	0,3129366	0,3085485	0,9813168	0,0515829	0,9747399	0,0270946	0,0503956	0,3402003	0,8406084	0,0567970	0,9979673	0,7801872	0,9940654	0,0018462	0,9879834	0,3796094
1080	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332884	0,5185777	0,3183038	0,7084634	0,1072896	0,5656968	0,5787500	0,5339630	0,3129366	0,3085485	0,9813166	0,0515829	0,9747399	0,0270946	0,0503956	0,3401972	0,8406079	0,0567970	0,9979673	0,7801872	0,9940654	0,0018461	0,9879834	0,3796094
1100	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332880	0,5185780	0,3183038	0,7084634	0,1072893	0,5656786	0,5787500	0,5339638	0,3129366	0,3085485	0,9813165	0,0515829	0,9747399	0,0270946	0,0503956	0,3401952	0,8406076	0,0567970	0,9979673	0,7801872	0,9940654	0,0018461	0,9879834	0,3796094

0	0,0152137	0,6187870	0,0381285	0,0299583	0,2699720	0,6042165	1,0000000	0,5599376	0,4332892	0,5185722	0,3183039	0,7084603	0,1072890	0,5654951	0,5787493	0,5339598	0,3129385	0,3085494	0,9812949	0,0516040	0,9746002	0,0270942	0,0503953	0,3402042	0,8406033	0,0567970	0,9979673	0,7801877	0,9940655	0,0018461	0,9879835	0,3796106
20	0,4226402	0,6188932	0,0381285	0,4142053	0,2713345	0,6045073	0,8223036	0,5599375	0,3876400	0,5185740	0,2072827	0,7084607	0,1080946	0,5658649	0,4995072	0,3866913	0,4813663	0,3085499	0,9813021	0,0515970	0,9746401	0,0270943	0,2905011	0,3402008	0,8406052	0,0567970	0,9989405	0,7801883	0,9940655	0,4259263	0,9879836	0,3796108
40	0,5631715	0,6242486	0,0381285	0,6144683	0,2809417	0,6221627	0,7162644	0,5599378	0,3606206	0,5185764	0,1644957	0,7084048	0,1109557	0,5675719	0,4557260	0,3059494	0,5624806	0,3085498	0,9813069	0,0515922	0,9746687	0,0270944	0,4486364	0,3401982	0,8406062	0,0567970	0,9994298	0,7801883	0,9940655	0,6460104	0,9879835	0,3796106
60	0,6116441	0,6503942	0,0381285	0,7223237	0,2994510	0,6807008	0,6529861	0,5599381	0,3449576	0,5185786	0,1585591	0,7075641	0,1149783	0,5708022	0,4309655	0,2616815	0,6015449	0,3085495	0,9813100	0,0515891	0,9746890	0,0270944	0,5527853	0,3401962	0,8406067	0,0567970	0,9996759	0,7801881	0,9940654	0,7602270	0,9879835	0,3796103
80	0,6283635	0,6931457	0,0381285	0,7813051	0,3206380	0,7420314	0,6152253	0,5599384	0,3362195	0,5185801	0,1664082	0,7038990	0,1192700	0,5751886	0,4150948	0,2374110	0,6203581	0,3085492	0,9813121	0,0515870	0,9747035	0,0270945	0,6213785	0,3401947	0,8406069	0,0567970	0,9997995	0,7801879	0,9940654	0,8195018	0,9879835	0,3796101
100	0,6341304	0,7355057	0,0381285	0,8134371	0,3392004	0,7899991	0,5926917	0,5599387	0,3316723	0,5185810	0,1780312	0,6955978	0,1232499	0,5801957	0,4024669	0,2241042	0,6294185	0,3085489	0,9813135	0,0515856	0,9747139	0,0270945	0,6665544	0,3401937	0,8406070	0,0567970	0,9998617	0,7801876	0,9940654	0,8502636	0,9879834	0,3796099
120	0,6361196	0,7691554	0,0381285	0,8306030	0,3530163	0,8252719	0,5792450	0,5599388	0,3296002	0,5185814	0,1896590	0,6826510	0,1266020	0,5853125	0,3910123	0,2168085	0,6337819	0,3085488	0,9813144	0,0515846	0,9747213	0,0270945	0,6963075	0,3401929	0,8406071	0,0567970	0,9998930	0,7801875	0,9940654	0,8662279	0,9879834	0,3796097
140	0,6368057	0,7931371	0,0381285	0,8394735	0,3621705	0,8508568	0,5712207	0,5599389	0,3289171	0,5185816	0,1998574	0,6666351	0,1292184	0,5901448	0,3805521	0,2128084	0,6358833	0,3085486	0,9813150	0,0515840	0,9747266	0,0270945	0,7159031	0,3401924	0,8406071	0,0567970	0,9999087	0,7801874	0,9940654	0,8745129	0,9879834	0,3796096
160	0,6370424	0,8091841	0,0381285	0,8438420	0,3676500	0,8693340	0,5664323	0,5599390	0,3289449	0,5185815	0,2081682	0,6496612	0,1311332	0,5944423	0,3714243	0,2106153	0,6368953	0,3085486	0,9813154	0,0515836	0,9747304	0,0270946	0,7288089	0,3401921	0,8406071	0,0567970	0,9999166	0,7801873	0,9940654	0,8788126	0,9879834	0,3796095
180	0,6371240	0,8194675	0,0381285	0,8458457	0,3705720	0,8826263	0,5635748	0,5599390	0,3292781	0,5185814	0,2146047	0,6335160	0,1324573	0,5980864	0,3638709	0,2094128	0,6373827	0,3085485	0,9813157	0,0515833	0,9747331	0,0270946	0,7373088	0,3401919	0,8406071	0,0567970	0,9999206	0,7801872	0,9940654	0,8810440	0,9879834	0,3796094
